Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2017,2017,kg,23.4,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2018,2018,kg,23.55,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2019,2019,kg,23.68,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2020,2020,kg,23.03,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2021,2021,kg,23.01,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2017,2017,kg,2.97,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2018,2018,kg,2.97,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2019,2019,kg,2.57,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2020,2020,kg,2.45,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2021,2021,kg,2.4,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2017,2017,kg,33.51,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2018,2018,kg,34.21,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2019,2019,kg,33.44,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2020,2020,kg,33.04,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2021,2021,kg,33.48,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2017,2017,kg,25.99,E,Estimated value
