Code,Name,L1 Category,L2 Category,Amount (g),"Carbon footprint, total (kg CO2e)","Carbon dioxide, total (kg CO2)","Methane, fossil, total (kg CH4)","Methane, biogenic, total (kg CH4)","Nitrous oxide, total (kg N2O)","Carbon footprint, primary production (kg CO2e)","Carbon dioxide, primary production (kg CO2)","Methane, fossil, primary production (kg CH4)","Methane, biogenic, primary production (kg CH4)","Nitrous oxide, primary production (kg N2O)",Cropland (m2*year),New N input (kg N),New P input (kg P),Water (m3),Pesticides (g a.i),Biodiversity (E/MSY),Ammonia (kg NH3),Animal welfare (index),Antibiotics (index),Mineral fertiliser production (kg CO2e),Capital goods (kg CO2e),Soil emissions (kg CO2e),Energy primary production (kg CO2e),Land use change (kg CO2e),Enteric fermentation (kg CO2e),Manure management (kg CO2e),Mineral fertiliser production (kg CO2),Capital goods (kg CO2),Energy primary production (kg CO2),Land use change (kg CO2),"Mineral fertiliser production (kg CH4, fossil)","Capital goods (kg CH4, fossil)","Energy primary production (kg CH4, fossil)","Soil emissions (kg CH4, biogenic)","Enteric fermentation (kg CH4, biogenic)","Manure management (kg CH4, biogenic)",Mineral fertiliser production (kg N2O),Capital goods (kg N2O),Soil emissions (kg N2O),Energy primary production (kg N2O),Manure management (kg N2O),Processing (kg CO2e),Processing (kg CO2),"Processing (kg CH4, fossil)",Processing (kg N2O),Packaging (kg CO2e),Packaging (kg CO2),"Packaging (kg CH4, fossil)","Packaging (kg CH4, biogenic)",Packaging (kg N2O),Transports (kg CO2e),Transports (kg CO2),"Transports (kg CH4, fossil)",Transports (kg N2O),Processes,Packaging,RPCs with missing data
A.06.01.001,Beef meat (Bos spp.),Meat and meat products (including edible offal),Livestock meat,1000,32.193162466307854,4.718725064814542,0.00897883870669834,0.7898954963250279,0.02153732456871029,32.017663660950944,4.5831291292343925,0.00767409082451108,0.7898696142167226,0.02153614300840501,11.78842710912484,0.5943273167996682,0.03186577852856984,0.07233562724480072,3.084347524299867,2.6086766983088247e-12,0.19863121684605525,0.3747879851657082,10.21277332681336,2.048192632595255,0.9804207274334849,2.934597281504812,2.4877444491708,0.10862924722646217,18.766205824888747,4.691873498131364,1.2216931693522173,0.8729045958280609,2.430162438696843,0.10851483008975028,0.00223556850536324,0.00310512281995127,0.5059636590554705,0,0.695044660181064,0.09482495403565888,0.00278344147173336,5.488451124862e-5,0.01074944059159272,0.5047151774144436,0.00780805765263213,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.00834825841378433,0.00800464308257256,7.11013405992e-6,4.825396931355338e-7,,P9,
A.06.01.003,Pork / piglet meat (Sus scrofa),Meat and meat products (including edible offal),Livestock meat,1000,6.404761682225156,3.4224284640654457,0.0054712265791896,0.04215621174211022,0.00615777637019371,6.206263103890757,3.2647679870465085,0.00414689063761352,0.04213032963380498,0.00615530723710854,12.472189109202112,0.1628030737419199,0.02412672215970112,0.3220714231676559,2.671007036434942,2.6438603059495537e-12,0.05690381824369867,4.423905262267755,90.57578191590882,0.7181799907355643,0.21462085676628076,0.9857076169935984,2.4088773668049854,0.33922633837943517,0.31705491161528143,1.2225960225956152,0.4371231931087789,0.19169826785927227,2.33746758180062,0.33922633837943517,7.9580700801785e-4,7.0246351069488e-4,0.5479140217312594,0,0.01174277450426968,0.03038755512953529,9.4264376845367e-4,7.2863600304e-6,0.00361065061169816,0.5463004140608922,0.00147301111391268,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.03134803139126896,0.03006918452136002,2.669819344873e-5,1.77011247302e-6,,P9,
A.06.01.004,Mutton / lamb meat (Ovis aries),Meat and meat products (including edible offal),Livestock meat,1000,48.4431558235693,16.18298183376719,0.02180296673557417,0.8337197285913953,0.03333338061946642,48.25580697772333,16.035991283613832,0.02048803201016312,0.8336938464830901,0.03333164280279561,45.6296810682214,1.3691751400505447,0.090575697179136,0.04174693199328426,7.758576969953723,1.4516535669443038e-11,0.11579552177788546,4.4114952150138205,26.651166244307937,3.917939419044675,1.7977814155267489,7.224502404388425,10.037072845355253,2.5198265581521393,21.773280782328865,0.98540355292723,2.339458879526105,1.6010907985659075,9.9428257122139,2.5198265581521393,0.00445341471557215,0.00570289303437187,6.6890701912324095,0,0.8064178067529209,0.02727603973016948,0.00529585634063927,9.796485178226e-5,0.02646337877065353,6.687080018620434,9.1190652092547e-4,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.0201982989028508,0.01939925765578184,1.72969772837e-5,1.03879605866e-6,,P9,
A.06.01.007,Rabbit meat (Lepus cuniculus),Meat and meat products (including edible offal),Livestock meat,1000,10.471292988343196,3.935458063953101,0.01123426797992794,0.02949725043718076,0.01979717207613317,10.154940893140637,3.664736359195575,0.00980933562832799,0.02947136832887552,0.0197881296239606,22.48013536107785,0.302715571425282,0.0271916828748862,0.0741850688361379,1.9012174460604696,7.637365707528791e-12,0.23230983139816744,132.2185722815092,2654.5087464490907,1.2877752395168214,0.3513549721739783,3.55852404800647,2.550745926187459,0.33513854215637084,0.01170105034727077,2.059701114752259,0.7742894608455422,0.31421919601506687,2.4817553139084003,0.33513854215637084,0.00145909688842081,0.00113419538076355,1.3725868233087888,0,4.333722350841e-4,0.02903799609379141,0.00172162890621369,1.222254143647e-5,0.01303488662273432,1.3706931006871963,0.00467280300446846,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.1492015482594293,0.1431304122599485,1.2729460347261e-4,8.34343156042e-6,,P9,
A.06.02.001,Chicken meat (Gallus domesticus),Meat and meat products (including edible offal),Poultry,1000,2.426082142159129,1.6282127841041745,0.00308403942916421,0.00309312108146899,0.00228003924493112,2.195999852976554,1.4401871782452325,0.00173245099815976,0.00306723897316375,0.00227608125535069,6.403688262352583,0.06799753935797755,0.01200513086975803,0.03757070953268394,1.3692929419683388,1.3592012409764794e-12,0.06236599724403164,93.86293795054311,38.54068668094286,0.2455768296146123,0.1030930704317229,0.4518681684437308,1.0529011500235734,0.1908750380861298,0,0.1516855963767844,0.15045480706380948,0.09142654685451522,1.0267419038322152,0.19077750289885495,2.8448922019e-4,3.591729760925e-4,0.38437590024922713,0,0,0.00306723897316375,3.173781823778e-4,3.52809117088e-6,0.00165519475620414,0.38376197477372503,2.5227159011488e-4,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06293174223944502,0.0604343133613647,5.39506828771e-5,3.25896896828e-6,,P9,
A.06.06.003,Pork liver,Meat and meat products (including edible offal),"Edible offal, farmed animals",1000,6.404761682225156,3.4224284640654457,0.0054712265791896,0.04215621174211022,0.00615777637019371,6.206263103890757,3.2647679870465085,0.00414689063761352,0.04213032963380498,0.00615530723710854,12.472189109202112,0.1628030737419199,0.02412672215970112,0.3220714231676559,2.671007036434942,2.6438603059495537e-12,0.05690381824369867,4.423905262267755,90.57578191590882,0.7181799907355643,0.21462085676628076,0.9857076169935984,2.4088773668049854,0.33922633837943517,0.31705491161528143,1.2225960225956152,0.4371231931087789,0.19169826785927227,2.33746758180062,0.33922633837943517,7.9580700801785e-4,7.0246351069488e-4,0.5479140217312594,0,0.01174277450426968,0.03038755512953529,9.4264376845367e-4,7.2863600304e-6,0.00361065061169816,0.5463004140608922,0.00147301111391268,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.03134803139126896,0.03006918452136002,2.669819344873e-5,1.77011247302e-6,,P9,
A.07.01.001,Herring (Clupea),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,5.2603706363124285,5.228267049817053,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,4.885889727434087,4.885889727434087,0,0,0,0,0,0,0,0,0,0,10.71647450160913,0,0,0,0,4.885889727434087,0,0,0,0,0,4.885889727434087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.01.010,Perch (Perca),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,12.866133396614392,12.834029810119018,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,12.49165248773605,12.49165248773605,0,0,0,0,0,0,0,0,0,0,5.911533488659383,0,0,0,0,12.49165248773605,0,0,0,0,0,12.49165248773605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.04.001,Crab (Cancer spp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Crustaceans,1000,15.4655215160353,15.437058742303458,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,15.06451966282698,15.06451966282698,0,0,0,0,0,0,0,0,0,0,15.663199131551892,0,0,0,0,15.06451966282698,0,0,0,0,0,15.06451966282698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.05.002,Octopus (Octopus vulgaris),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,1000,10.713373881389511,10.68491110765767,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,10.312372028181192,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0.6175308593138156,0,0,0,0,10.312372028181192,0,0,0,0,0,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
