Code,Name,L1 Category,L2 Category,Amount (g),"Carbon footprint, total (kg CO2e)","Carbon dioxide, total (kg CO2)","Methane, fossil, total (kg CH4)","Methane, biogenic, total (kg CH4)","Nitrous oxide, total (kg N2O)","Carbon footprint, primary production (kg CO2e)","Carbon dioxide, primary production (kg CO2)","Methane, fossil, primary production (kg CH4)","Methane, biogenic, primary production (kg CH4)","Nitrous oxide, primary production (kg N2O)",Cropland (m2*year/kg),New N input (kg N/kg),New P input (kg P/kg),Water (m3/kg),Pesticides (g a.i/kg),Biodiversity (E/MSY/kg),Ammonia (kg NH3/kg),Animal welfare (index),Antibiotics (index),Mineral fertiliser production (kg CO2e),Capital goods (kg CO2e),Soil emissions (kg CO2e),Energy primary production (kg CO2e),Land use change (kg CO2e),Enteric fermentation (kg CO2e),Manure management (kg CO2e),Mineral fertiliser production (kg CO2),Capital goods (kg CO2),Energy primary production (kg CO2),Land use change (kg CO2),"Mineral fertiliser production (kg CH4, fossil)","Capital goods (kg CH4, fossil)","Energy primary production (kg CH4, fossil)","Soil emissions (kg CH4, biogenic)","Enteric fermentation (kg CH4, biogenic)","Manure management (kg CH4, biogenic)",Mineral fertiliser production (kg N2O),Capital goods (kg N2O),Soil emissions (kg N2O),Energy primary production (kg N2O),Manure management (kg N2O),Processing (kg CO2e),Processing (kg CO2),"Processing (kg CH4, fossil)",Processing (kg N2O),Packaging (kg CO2e),Packaging (kg CO2),"Packaging (kg CH4, fossil)","Packaging (kg CH4, biogenic)",Packaging (kg N2O),Transports (kg CO2e),Transports (kg CO2),"Transports (kg CH4, fossil)",Transports (kg N2O),Processes,Packaging,RPCs with missing data
A.06.01.001,Beef meat (Bos spp.),Meat and meat products (including edible offal),Livestock meat,1000,31.52314084463886,4.968332730939153,0.02367682800165597,0.8548160296628824,0.23709131302528635,31.29095670378342,4.778373593883254,0.02232366195034731,0.8547901475545772,0.2370869106862889,24.41777011178545,0.5115026325631918,0.03056927846449928,0.805190957361743,1.7619783446994837,3.869554264543711e-10,0.24912359863181463,0.34812926618633655,89.80743155713598,1.3962631190172703,0.7604823759151631,2.764817149270107,3.4742689618916955,0.4881990829824922,16.76847167187666,5.63845434283001,0.8362641683932988,0.678229310481872,3.352304719155167,0.48813079274171,0.00151279434739867,0.00240028126554203,1.4988300366178875,0,0.6210545063658014,0.11949132643755496,0.00188614534458421,3.928455575142e-5,0.01012753534531176,1.4954300726752707,0.00883585541764113,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06503359391231145,0.06236784455832163,5.552830318132e-5,3.70331838529e-6,,P9,
A.06.01.003,Pork / piglet meat (Sus scrofa),Meat and meat products (including edible offal),Livestock meat,1000,7.72517905411496,3.2118323701431812,0.00669759786710887,0.11241689672372072,0.00468315771425448,7.492052352911386,3.0210085809363463,0.0053439248061967,0.11239101461541548,0.00467852534115076,13.433987448758032,0.16131440936843955,0.03005084073124385,0.6417373674957376,1.8378083453208496,1.0294328664497563e-10,0.06563265708992201,4.008088579919565,252.58201283046336,0.6411597589642793,0.2126998009083039,0.5760529784341775,2.233950067666197,0.3543389591415954,0.3059211004963056,3.1679296873005236,0.388163606504763,0.1898797170226844,2.1089616725023586,0.3543389591415954,7.3110939143866e-4,7.0003124852962e-4,0.38116168754160734,0,0.0113304111294928,0.1010606034859227,8.4691975309393e-4,7.17638344116e-6,0.00211008417008856,0.37775618497869246,0.00160913330835389,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06597615426044443,0.06323249670925797,5.603531278483e-5,3.93335249156e-6,,P9,
A.06.01.004,Mutton / lamb meat (Ovis aries),Meat and meat products (including edible offal),Livestock meat,1000,36.04912487462542,7.939797704782371,0.03218058345249926,0.7482559372727079,0.02544848159925077,35.77481245510525,7.709414121374868,0.03079155954448714,0.7482300551644027,0.02544175227057066,33.216027039294566,0.9977090503148832,0.04913961512033803,0.43058540930669714,1.6457669495555425,1.3411097403464967e-9,0.09743653035102665,3.573166688923681,91.18728263174438,2.582539854379835,1.7837584412134089,5.025665529932963,5.088228232580188,0.6280450990929923,19.678986216518148,0.98758908138772,1.528942681235121,1.5850778138413686,4.965142309431564,0.6280450990929923,0.00291022157686884,0.00565986080606326,2.6028626115949347,0,0.7288513413525239,0.01937871381187883,0.00354165776613195,1.0995155806357e-4,0.01840903124517572,2.5996893422728937,0.00170096633138092,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.1071618725770438,0.1027922909099251,9.138615988478e-5,6.03030806795e-6,,P9,
A.06.02.001,Chicken meat (Gallus domesticus),Meat and meat products (including edible offal),Poultry,1000,1.8489635735016072,1.320568658225499,0.00368535694119166,0.00281533656031047,0.00125478824652093,1.6622497751579033,1.174224533120864,0.00237098566106071,0.00278945445200522,0.00125294724957248,6.4503239235363194,0.06495830411043005,0.0153815376593112,0.22850255441676195,0.7723605202312711,5.895509038135777e-11,0.04821327906985741,94.55827930490116,153.57182928815124,0.25131114302559027,0.10351074549639432,0.1869789119283096,0.8403804709147671,0.15179348565786585,0,0.1282750181349757,0.1518214427572612,0.0923812958743826,0.7886017886097155,0.15178656866753928,2.9615023835268e-4,3.416748856952e-4,0.15209594732555615,0,0,0.00278945445200522,3.3210411415904e-4,3.47083526847e-6,6.8490443929783e-4,0.1506376494045248,1.9399175066239e-4,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.01956325140057371,0.01875283260705758,1.67335320036e-5,1.14197633629e-6,,P9,
A.06.06.003,Pork liver,Meat and meat products (including edible offal),"Edible offal, farmed animals",1000,7.72517905411496,3.2118323701431812,0.00669759786710887,0.11241689672372072,0.00468315771425448,7.492052352911386,3.0210085809363463,0.0053439248061967,0.11239101461541548,0.00467852534115076,13.433987448758032,0.16131440936843955,0.03005084073124385,0.6417373674957376,1.8378083453208496,1.0294328664497563e-10,0.06563265708992201,4.008088579919565,252.58201283046336,0.6411597589642793,0.2126998009083039,0.5760529784341775,2.233950067666197,0.3543389591415954,0.3059211004963056,3.1679296873005236,0.388163606504763,0.1898797170226844,2.1089616725023586,0.3543389591415954,7.3110939143866e-4,7.0003124852962e-4,0.38116168754160734,0,0.0113304111294928,0.1010606034859227,8.4691975309393e-4,7.17638344116e-6,0.00211008417008856,0.37775618497869246,0.00160913330835389,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06597615426044443,0.06323249670925797,5.603531278483e-5,3.93335249156e-6,,P9,
A.07.01.001,Herring (Clupea),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,5.2603706363124285,5.228267049817053,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,4.885889727434087,4.885889727434087,0,0,0,0,0,0,0,0,0,0,10.71647450160913,0,0,0,0,4.885889727434087,0,0,0,0,0,4.885889727434087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.01.010,Perch (Perca),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,12.866133396614392,12.834029810119018,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,12.49165248773605,12.49165248773605,0,0,0,0,0,0,0,0,0,0,5.911533488659383,0,0,0,0,12.49165248773605,0,0,0,0,0,12.49165248773605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.04.001,Crab (Cancer spp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Crustaceans,1000,15.4655215160353,15.437058742303458,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,15.06451966282698,15.06451966282698,0,0,0,0,0,0,0,0,0,0,15.663199131551892,0,0,0,0,15.06451966282698,0,0,0,0,0,15.06451966282698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.05.002,Octopus (Octopus vulgaris),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,1000,10.713373881389511,10.68491110765767,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,10.312372028181192,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0.6175308593138156,0,0,0,0,10.312372028181192,0,0,0,0,0,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.06.004,Snail (Helix sp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)","Amphibians, reptiles, snails, insects",1000,14.807922736754698,14.755509141405378,0.00159857989257933,2.730420216816e-5,1.479377689346e-5,14.36313552804579,14.36313552804579,0,0,0,0,0,0,0,0,0,0,13.61306872416902,0,0,0,0,14.36313552804579,0,0,0,0,0,14.36313552804579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17633464292901646,0.13460180307436717,0.00136893652549697,2.730420216816e-5,7.374283380911222e-7,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P9,
