Code,Name,L1 Category,L2 Category,Amount (g),"Carbon footprint, total (kg CO2e)","Carbon dioxide, total (kg CO2)","Methane, fossil, total (kg CH4)","Methane, biogenic, total (kg CH4)","Nitrous oxide, total (kg N2O)","Carbon footprint, primary production (kg CO2e)","Carbon dioxide, primary production (kg CO2)","Methane, fossil, primary production (kg CH4)","Methane, biogenic, primary production (kg CH4)","Nitrous oxide, primary production (kg N2O)",Cropland (m2*year),New N input (kg N),New P input (kg P),Water (m3),Pesticides (g a.i),Biodiversity (E/MSY),Ammonia (kg NH3),Animal welfare (index),Antibiotics (index),Mineral fertiliser production (kg CO2e),Capital goods (kg CO2e),Soil emissions (kg CO2e),Energy primary production (kg CO2e),Land use change (kg CO2e),Enteric fermentation (kg CO2e),Manure management (kg CO2e),Mineral fertiliser production (kg CO2),Capital goods (kg CO2),Energy primary production (kg CO2),Land use change (kg CO2),"Mineral fertiliser production (kg CH4, fossil)","Capital goods (kg CH4, fossil)","Energy primary production (kg CH4, fossil)","Soil emissions (kg CH4, biogenic)","Enteric fermentation (kg CH4, biogenic)","Manure management (kg CH4, biogenic)",Mineral fertiliser production (kg N2O),Capital goods (kg N2O),Soil emissions (kg N2O),Energy primary production (kg N2O),Manure management (kg N2O),Processing (kg CO2e),Processing (kg CO2),"Processing (kg CH4, fossil)",Processing (kg N2O),Packaging (kg CO2e),Packaging (kg CO2),"Packaging (kg CH4, fossil)","Packaging (kg CH4, biogenic)",Packaging (kg N2O),Transports (kg CO2e),Transports (kg CO2),"Transports (kg CH4, fossil)",Transports (kg N2O),Processes,Packaging,RPCs with missing data
A.06.01.001,Beef meat (Bos spp.),Meat and meat products (including edible offal),Livestock meat,1000,32.54292896033522,8.637385140660529,0.01830072972656619,0.6135988509589149,0.02488283186055812,32.36781172068422,8.502161048537483,0.01699617878087331,0.6135729688506096,0.02488166441578867,29.32308856348722,0.46739692478560246,0.04160948602239012,0.09001745472464874,2.3082561788535725,8.077703411910971e-12,0.1966517827130795,0.46069559437890223,41.61866640800388,3.2582792356656687,0.7826807684038449,3.025593113092777,6.079528333654049,0.22115043522073996,16.083740209493197,2.916839625153966,1.967203944394521,0.6992098385296783,5.89304754150188,0.22115043522073996,0.00367727902725003,0.0025579936225185,1.3493487568202875,0,0.5956940818330825,0.01787888701752676,0.00432781090204793,2.653010960848e-5,0.01108275865601752,1.3442488429139934,0.00891615265817121,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.00796669270786517,0.00763279962546816,6.91319756554e-6,4.6842415730337083e-7,,P9,
A.06.01.003,Pork / piglet meat (Sus scrofa),Meat and meat products (including edible offal),Livestock meat,1000,7.690502248489524,4.586551893136046,0.00836977339780517,0.0394651126656339,0.00655301489423725,7.490706907872326,4.427678321030557,0.00704433316324946,0.03943923055732865,0.00655035982977678,16.97789919410311,0.16077563031728873,0.02553774757008846,0.31054124926748,1.9590954608814908,2.3844344964632216e-12,0.07472469023930821,4.545505393607717,317.98563448923716,0.7388242203920231,0.22590233082294336,0.9755158880464864,3.6917034639414257,0.28170990108040517,0.3186900818295651,1.2583610217594812,0.4476472078995009,0.20170183339459868,3.538883246608965,0.28170990108040517,8.2892757615587e-4,7.4242204448484e-4,0.5744887537045356,0,0.01180333636405796,0.02763589419327069,9.7609879385742e-4,7.60556960694e-6,0.00357331827123254,0.5702344190144623,0.00187616072725704,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.03264479367406732,0.03128227960791199,2.780248642837e-5,1.95604384831e-6,,P9,
A.06.01.004,Mutton / lamb meat (Ovis aries),Meat and meat products (including edible offal),Livestock meat,1000,46.097498916105096,12.865024659596155,0.05142286886989945,0.845413190714177,0.03250518906557938,45.8157848318713,12.627540042228205,0.05002748061533087,0.8453873086058717,0.03249805324156668,59.193265091993766,1.2370951046811214,0.06967913426815299,0.12517397817714332,2.700257043143074,1.2642829650175086e-11,0.188983549919974,6.413033039124675,80.06423263415127,3.0800928114129142,2.078258303631501,5.628618025036093,9.978725459293544,0.9055366760454032,22.249663139559463,1.8948904168923613,1.823447817115663,1.846689894988106,9.847602054387831,0.9055366760454032,0.00347613894141611,0.00658852278323349,6.579863454889424,0,0.8240615977614616,0.02132571084441028,0.00422364854887564,1.2904919305141e-4,0.02061764844335569,6.5765535776749,0.00483185430070799,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.11456353729067456,0.1098933248703769,9.775050644124e-5,6.43680340054e-6,,P9,
A.06.01.007,Rabbit meat (Lepus cuniculus),Meat and meat products (including edible offal),Livestock meat,1000,11.123595772747016,4.362661621914775,0.00730397063768819,0.03225125448157597,0.02077835880888857,10.913343318933352,4.193761391529031,0.00596956325004188,0.03222537237327073,0.02077510581858887,24.26916691578244,0.2924069174415305,0.02604443014808358,0.05622742257207934,2.159196274525332,3.7268101461733745e-12,0.22678409113952624,129.32353882242168,4471.165309873681,1.6119440364517894,0.3610419167801865,3.51673423735313,2.9277346311059502,0.0971968763145404,0.0111551747472238,2.387536446180522,0.9730073172421552,0.3223887173949014,2.8615657300000605,0.0971968763145404,0.00181982240101737,0.00118630776506856,0.4431561131761302,0,4.1315462026754e-4,0.03181221775300318,0.00214178026248833,1.209241020601e-5,0.01288181039323494,0.4415536716593652,0.00559929145366093,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.04310190687053405,0.04130893788816714,3.676963951896e-5,2.55396968755e-6,,P9,
A.06.02.001,Chicken meat (Gallus domesticus),Meat and meat products (including edible offal),Poultry,1000,2.9912876124210217,2.1012177168915547,0.00441516008693496,0.00412428411053339,0.00237048517932016,2.8161703727700265,1.9659936247685093,0.00311060914124208,0.00409840200222815,0.0023693177345507,8.942109889238834,0.06836518620781125,0.01296355432301035,0.02233415834400239,0.880294937494169,9.75863350805683e-13,0.05621206162084135,94.8416487380284,166.71328382073094,0.3107435385896546,0.11532768529189612,0.45999951927385313,1.6221273908190057,0.13583132643373183,0,0.1721409123618906,0.18759214599272045,0.1022929040892774,1.5629378301419687,0.13566269489300914,3.6679956453887e-4,4.022071875294e-4,0.3877467030266792,0,0,0.00409840200222815,4.1106507536144e-4,3.84251653568e-6,0.00168497992408005,0.3860619724617724,2.2521633077556e-4,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.00796669270786517,0.00763279962546816,6.91319756554e-6,4.6842415730337083e-7,,P9,
A.06.06.003,Pork liver,Meat and meat products (including edible offal),"Edible offal, farmed animals",1000,7.690502248489524,4.586551893136046,0.00836977339780517,0.0394651126656339,0.00655301489423725,7.490706907872326,4.427678321030557,0.00704433316324946,0.03943923055732865,0.00655035982977678,16.97789919410311,0.16077563031728873,0.02553774757008846,0.31054124926748,1.9590954608814908,2.3844344964632216e-12,0.07472469023930821,4.545505393607717,317.98563448923716,0.7388242203920231,0.22590233082294336,0.9755158880464864,3.6917034639414257,0.28170990108040517,0.3186900818295651,1.2583610217594812,0.4476472078995009,0.20170183339459868,3.538883246608965,0.28170990108040517,8.2892757615587e-4,7.4242204448484e-4,0.5744887537045356,0,0.01180333636405796,0.02763589419327069,9.7609879385742e-4,7.60556960694e-6,0.00357331827123254,0.5702344190144623,0.00187616072725704,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.03264479367406732,0.03128227960791199,2.780248642837e-5,1.95604384831e-6,,P9,
A.07.01.001,Herring (Clupea),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,5.2603706363124285,5.228267049817053,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,4.885889727434087,4.885889727434087,0,0,0,0,0,0,0,0,0,0,10.71647450160913,0,0,0,0,4.885889727434087,0,0,0,0,0,4.885889727434087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.01.010,Perch (Perca),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,12.866133396614392,12.834029810119018,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,12.49165248773605,12.49165248773605,0,0,0,0,0,0,0,0,0,0,5.911533488659383,0,0,0,0,12.49165248773605,0,0,0,0,0,12.49165248773605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.04.001,Crab (Cancer spp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Crustaceans,1000,15.4655215160353,15.437058742303458,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,15.06451966282698,15.06451966282698,0,0,0,0,0,0,0,0,0,0,15.663199131551892,0,0,0,0,15.06451966282698,0,0,0,0,0,15.06451966282698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.05.002,Octopus (Octopus vulgaris),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,1000,10.713373881389511,10.68491110765767,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,10.312372028181192,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0.6175308593138156,0,0,0,0,10.312372028181192,0,0,0,0,0,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.05.007,Mussel (Mytilus edulis),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,1000,2.1822297318511605,2.153766958119319,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,1.7812278786428406,1.7812278786428406,0,0,0,0,0,0,0,0,0,0,4.469962864652526,0,0,0,0,1.7812278786428406,0,0,0,0,0,1.7812278786428406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.06.004,Snail (Helix sp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)","Amphibians, reptiles, snails, insects",1000,14.807922736754698,14.755509141405378,0.00159857989257933,2.730420216816e-5,1.479377689346e-5,14.36313552804579,14.36313552804579,0,0,0,0,0,0,0,0,0,0,13.61306872416902,0,0,0,0,14.36313552804579,0,0,0,0,0,14.36313552804579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17633464292901646,0.13460180307436717,0.00136893652549697,2.730420216816e-5,7.374283380911222e-7,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P9,
