ISO3CD,ROMNAM,habitat_id,habitat,species_group,abs_CF_cty
PNG,Papua New Guinea,2.5,Cropland_LightIntense,Amphibians,1.42E-07
PNG,Papua New Guinea,4,Cropland_Minimal,Amphibians,8.64E-08
PNG,Papua New Guinea,8.5,Pasture_LightIntense,Amphibians,1.21E-07
PNG,Papua New Guinea,10,Pasture_Minimal,Amphibians,7.90E-08
PNG,Papua New Guinea,11.5,Plantation_LightIntense,Amphibians,5.46E-07
PNG,Papua New Guinea,13,Plantation_Minimal,Amphibians,7.09E-08
PNG,Papua New Guinea,14,Urban_Intense,Amphibians,2.89E-07
PNG,Papua New Guinea,15,Urban_Light,Amphibians,1.58E-07
PNG,Papua New Guinea,16,Urban_Minimal,Amphibians,4.50E-08
PNG,Papua New Guinea,2.5,Cropland_LightIntense,Birds,6.32E-07
PNG,Papua New Guinea,4,Cropland_Minimal,Birds,3.87E-07
PNG,Papua New Guinea,8.5,Pasture_LightIntense,Birds,5.27E-07
PNG,Papua New Guinea,10,Pasture_Minimal,Birds,3.36E-07
PNG,Papua New Guinea,11.5,Plantation_LightIntense,Birds,1.29E-06
PNG,Papua New Guinea,13,Plantation_Minimal,Birds,1.46E-07
PNG,Papua New Guinea,14,Urban_Intense,Birds,6.83E-07
PNG,Papua New Guinea,15,Urban_Light,Birds,3.75E-07
PNG,Papua New Guinea,16,Urban_Minimal,Birds,1.48E-07
PNG,Papua New Guinea,2.5,Cropland_LightIntense,Mammals,2.07E-07
PNG,Papua New Guinea,4,Cropland_Minimal,Mammals,1.24E-07
PNG,Papua New Guinea,8.5,Pasture_LightIntense,Mammals,1.57E-07
PNG,Papua New Guinea,10,Pasture_Minimal,Mammals,1.02E-07
PNG,Papua New Guinea,11.5,Plantation_LightIntense,Mammals,4.99E-07
PNG,Papua New Guinea,13,Plantation_Minimal,Mammals,5.46E-08
PNG,Papua New Guinea,14,Urban_Intense,Mammals,2.16E-07
PNG,Papua New Guinea,15,Urban_Light,Mammals,1.18E-07
PNG,Papua New Guinea,16,Urban_Minimal,Mammals,5.00E-08
PNG,Papua New Guinea,2,Cropland_Intense,Plants,7.45E-06
PNG,Papua New Guinea,3,Cropland_Light,Plants,4.98E-06
PNG,Papua New Guinea,4,Cropland_Minimal,Plants,4.40E-06
