"ECO_ID","ECO_NAME","ISO3CD","ROMNAM","M49Code","area"
-9999,"Rock and Ice","AFG","Afghanistan","4",689.360798057702
40502,"Western Himalayan subalpine conifer forests","AFG","Afghanistan","4",216.13161947285
80506,"East Afghan montane conifer forests","AFG","Afghanistan","4",12757.8541371339
80808,"Gissaro-Alai open woodlands","AFG","Afghanistan","4",3644.18780487965
81004,"Ghorat-Hazarajat alpine meadow","AFG","Afghanistan","4",66482.1027617189
81005,"Hindu Kush alpine meadow","AFG","Afghanistan","4",28268.3421725328
81006,"Karakoram-West Tibetan Plateau alpine steppe","AFG","Afghanistan","4",4506.02386524161
81012,"Northwestern Himalayan alpine shrub and meadows","AFG","Afghanistan","4",1523.36762887246
81014,"Pamir alpine desert and tundra","AFG","Afghanistan","4",5015.52656514659
81018,"Sulaiman Range alpine meadows","AFG","Afghanistan","4",4265.09742249254
81301,"Afghan Mountains semi-desert","AFG","Afghanistan","4",13682.4732289083
81306,"Badghyz and Karabil semi-desert","AFG","Afghanistan","4",53773.487575093
81307,"Baluchistan xeric woodlands","AFG","Afghanistan","4",33226.9540244558
81309,"Central Afghan Mountains xeric woodlands","AFG","Afghanistan","4",139310.176457399
81313,"Central Persian desert basins","AFG","Afghanistan","4",22623.5884859505
81322,"Paropamisus xeric woodlands","AFG","Afghanistan","4",92418.8230284507
81326,"Registan-North Pakistan sandy desert","AFG","Afghanistan","4",159410.855434327
30102,"Atlantic Equatorial coastal forests","AGO","Angola","24",2474.00250130165
30203,"Zambezian Cryptosepalum dry forests","AGO","Angola","24",3046.96291144982
30701,"Angolan Miombo woodlands","AGO","Angola","24",628699.744196892
30702,"Angolan Mopane woodlands","AGO","Angola","24",51052.4261170611
30704,"Central Zambezian Miombo woodlands","AGO","Angola","24",40484.0527355537
30718,"Southern Congolian forest-savanna mosaic","AGO","Angola","24",58332.5550893934
30723,"Western Congolian forest-savanna mosaic","AGO","Angola","24",169161.996699125
30724,"Western Zambezian grasslands","AGO","Angola","24",4602.26690509052
30726,"Zambezian Baikiaea woodlands","AGO","Angola","24",130861.54742256
30907,"Zambezian flooded grasslands","AGO","Angola","24",3169.69498675316
31001,"Angolan montane forest-grassland mosaic","AGO","Angola","24",25418.4764148942
31002,"Angolan scarp savanna and woodlands","AGO","Angola","24",73971.3037223647
31310,"Kaokoveld desert","AGO","Angola","24",20636.025917194
31316,"Namibian savanna woodlands","AGO","Angola","24",33506.931601666
31401,"Central African mangroves","AGO","Angola","24",1156.39832930975
80404,"Balkan mixed forests","ALB","Albania","8",588.832698992356
80418,"Dinaric Mountains mixed forests","ALB","Albania","8",1887.47523940662
81201,"Aegean and Western Turkey sclerophyllous and mixed forests","ALB","Albania","8",0.978093909314416
81210,"Illyrian deciduous forests","ALB","Albania","8",12769.0105782624
81217,"Pindus Mountains mixed forests","ALB","Albania","8",13152.3797678389
80433,"Pyrenees conifer and mixed forests","AND","Andorra","20",464.453989814887
30801,"Al Hajar montane woodlands","ARE","United Arab Emirates","784",80.7438641630838
31306,"Gulf of Oman desert and semi-desert","ARE","United Arab Emirates","784",10919.3793801818
81303,"Arabian Desert and East Sahero-Arabian xeric shrublands","ARE","United Arab Emirates","784",56785.6792040785
81323,"Persian Gulf desert and semi-desert","ARE","United Arab Emirates","784",2141.08657686559
-9999,"Rock and Ice","ARG","Argentina","32",1427.04901987048
60101,"Araucaria moist forests","ARG","Argentina","32",4620.83108927069
60150,"Alto Paraná Atlantic forests","ARG","Argentina","32",22564.178313864
60165,"Southern Andean Yungas","ARG","Argentina","32",47466.0799561571
60210,"Dry Chaco","ARG","Argentina","32",489166.147750212
60402,"Magellanic subpolar forests","ARG","Argentina","32",28782.501618373
60404,"Valdivian temperate forests","ARG","Argentina","32",44561.8194515847
60708,"Humid Chaco","ARG","Argentina","32",162171.238179723
60710,"Uruguayan savanna","ARG","Argentina","32",231.913160003644
60801,"Espinal","ARG","Argentina","32",298563.501304157
60802,"Low Monte","ARG","Argentina","32",353596.034599066
60803,"Humid Pampas","ARG","Argentina","32",398433.776254242
60805,"Patagonian steppe","ARG","Argentina","32",536361.542114312
60908,"Paraná flooded savanna","ARG","Argentina","32",36991.5728498514
60909,"Southern Cone Mesopotamian savanna","ARG","Argentina","32",26770.8267547694
61001,"Central Andean dry puna","ARG","Argentina","32",29655.7171212748
61002,"Central Andean puna","ARG","Argentina","32",87049.5523332843
61008,"Southern Andean steppe","ARG","Argentina","32",94896.6281026077
61010,"High Monte","ARG","Argentina","32",116566.891967806
80408,"Caucasus mixed forests","ARM","Armenia","51",15423.9767924324
80805,"Eastern Anatolian montane steppe","ARM","Armenia","51",14290.4343612817
81305,"Azerbaijan shrub desert and steppe","ARM","Armenia","51",0.602001919985235
-9999,"Rock and Ice","ATA","Antarctica","1055",9111743.76564864
21101,"Marielandia Antarctic tundra","ATA","Antarctica","1055",1064025.78680968
21102,"Maudlandia Antarctic desert","ATA","Antarctica","1055",2053437.97045316
21103,"Scotia Sea Islands tundra","ATA","Antarctica","1055",3346.09227176145
60134,"Leeward Islands moist forests","ATG","Antigua and Barbuda","28",27.0091138586646
60220,"Lesser Antillean dry forests","ATG","Antigua and Barbuda","28",71.9130851401042
61305,"Caribbean shrublands","ATG","Antigua and Barbuda","28",328.80721591407
10109,"Lord Howe Island subtropical forests","AUS","Australia","36",8.95609870733866
10114,"Norfolk Island subtropical forests","AUS","Australia","36",34.5739573150182
10117,"Queensland tropical rain forests","AUS","Australia","36",32202.8639244479
10402,"Eastern Australian temperate forests","AUS","Australia","36",220925.663806234
10409,"Southeast Australia temperate forests","AUS","Australia","36",271801.287320623
10411,"Tasmanian Central Highland forests","AUS","Australia","36",18680.271999229
10412,"Tasmanian temperate forests","AUS","Australia","36",17912.0946732203
10413,"Tasmanian temperate rain forests","AUS","Australia","36",30997.0735297385
10701,"Arnhem Land tropical savanna","AUS","Australia","36",156469.392331419
10702,"Brigalow tropical savanna","AUS","Australia","36",341188.300026102
10703,"Cape York Peninsula tropical savanna","AUS","Australia","36",115579.177806652
10704,"Carpentaria tropical savanna","AUS","Australia","36",357979.55496487
10705,"Einasleigh upland savanna","AUS","Australia","36",128067.431174572
10706,"Kimberly tropical savanna","AUS","Australia","36",345343.407485005
10707,"Mitchell grass downs","AUS","Australia","36",459495.913238473
10709,"Victoria Plains tropical savanna","AUS","Australia","36",224881.539989132
10802,"Eastern Australia mulga shrublands","AUS","Australia","36",253515.374978459
10803,"Southeast Australia temperate savanna","AUS","Australia","36",321998.86201329
11001,"Australian Alps montane grasslands","AUS","Australia","36",11999.4183326447
11101,"Antipodes Subantarctic Islands tundra","AUS","Australia","36",103.922570232466
11201,"Coolgardie woodlands","AUS","Australia","36",137255.088596131
11202,"Esperance mallee","AUS","Australia","36",115419.751123052
11203,"Eyre and York mallee","AUS","Australia","36",60670.2696844997
11204,"Jarrah-Karri forest and shrublands","AUS","Australia","36",10409.1124827737
11205,"Swan Coastal Plain Scrub and Woodlands","AUS","Australia","36",15149.0957680752
11206,"Mount Lofty woodlands","AUS","Australia","36",23681.5389870366
11207,"Murray-Darling woodlands and mallee","AUS","Australia","36",197880.063299127
11208,"Naracoorte woodlands","AUS","Australia","36",27401.3547981953
11209,"Southwest Australia savanna","AUS","Australia","36",168378.568508286
11210,"Southwest Australia woodlands","AUS","Australia","36",46022.0240886375
11301,"Carnarvon xeric shrublands","AUS","Australia","36",89819.2047182327
11302,"Central Ranges xeric scrub","AUS","Australia","36",281050.878892437
11303,"Gibson desert","AUS","Australia","36",155523.721847132
11304,"Great Sandy-Tanami desert","AUS","Australia","36",820766.086423156
11305,"Great Victoria desert","AUS","Australia","36",423734.03815624
11306,"Nullarbor Plains xeric shrublands","AUS","Australia","36",195000.533182097
11307,"Pilbara shrublands","AUS","Australia","36",179053.581006083
11308,"Simpson desert","AUS","Australia","36",583394.408258733
11309,"Tirari-Sturt stony desert","AUS","Australia","36",376449.235330106
11310,"Western Australian Mulga shrublands","AUS","Australia","36",459615.982987618
11401,"New Guinea mangroves","AUS","Australia","36",3.75458555902664
21104,"Southern Indian Ocean Islands tundra","AUS","Australia","36",346.354745814374
40110,"Christmas and Cocos Islands tropical forests","AUS","Australia","36",40.1731636715699
80412,"Central European mixed forests","AUT","Austria","40",2212.6889534514
80431,"Pannonian mixed forests","AUT","Austria","40",16001.5579844003
80445,"Western European broadleaf forests","AUT","Austria","40",17080.7557637309
80501,"Alps conifer and mixed forests","AUT","Austria","40",48642.3730484605
-9998,"Lake","AZE","Azerbaijan","31",78375.9112411937
80407,"Caspian Hyrcanian mixed forests","AZE","Azerbaijan","31",3977.91793182462
80408,"Caucasus mixed forests","AZE","Azerbaijan","31",25661.0352921434
80805,"Eastern Anatolian montane steppe","AZE","Azerbaijan","31",5149.22826008877
81305,"Azerbaijan shrub desert and steppe","AZE","Azerbaijan","31",51199.6533098809
-9998,"Lake","BDI","Burundi","108",1798.32567080481
30101,"Albertine Rift montane forests","BDI","Burundi","108",6757.76615044231
30704,"Central Zambezian Miombo woodlands","BDI","Burundi","108",15241.7452015642
30721,"Victoria Basin forest-savanna mosaic","BDI","Burundi","108",3046.15288113226
80402,"Atlantic mixed forests","BEL","Belgium","56",22782.1120257067
80445,"Western European broadleaf forests","BEL","Belgium","56",7846.20107971713
30111,"Eastern Guinean forests","BEN","Benin","204",641.461089466431
30123,"Nigerian lowland forests","BEN","Benin","204",799.796131867008
30707,"Guinean forest-savanna mosaic","BEN","Benin","204",16322.282487193
30722,"West Sudanian savanna","BEN","Benin","204",97830.9766986542
30713,"Sahelian Acacia savanna","BFA","Burkina Faso","854",22973.0246621853
30722,"West Sudanian savanna","BFA","Burkina Faso","854",250274.135541939
40105,"Brahmaputra Valley semi-evergreen forests","BGD","Bangladesh","50",40.9341615758814
40120,"Lower Gangetic Plains moist deciduous forests","BGD","Bangladesh","50",107385.074226989
40126,"Meghalaya subtropical forests","BGD","Bangladesh","50",133.764362188973
40131,"Mizoram-Manipur-Kachin rain forests","BGD","Bangladesh","50",6967.64513612883
40132,"Myanmar coastal rain forests","BGD","Bangladesh","50",21.3278630700812
40162,"Sundarbans freshwater swamp forests","BGD","Bangladesh","50",7664.89501717407
40701,"Terai-Duar savanna and grasslands","BGD","Bangladesh","50",129.873289716927
41404,"Myanmar Coast mangroves","BGD","Bangladesh","50",317.818098911752
41406,"Sundarbans mangroves","BGD","Bangladesh","50",14095.6925245899
80404,"Balkan mixed forests","BGR","Bulgaria","100",79896.7760159181
80419,"East European forest steppe","BGR","Bulgaria","100",2339.11203573157
80422,"Euxine-Colchic broadleaf forests","BGR","Bulgaria","100",189.631569667453
80435,"Rodope montane mixed forests","BGR","Bulgaria","100",27856.7625895117
80814,"Pontic steppe","BGR","Bulgaria","100",470.440582313141
81201,"Aegean and Western Turkey sclerophyllous and mixed forests","BGR","Bulgaria","100",208.828401663228
81323,"Persian Gulf desert and semi-desert","BHR","Bahrain","48",537.029241870436
60301,"Bahamian pine mosaic","BHS","Bahamas","44",6443.19568357579
61402,"Bahamian-Antillean mangroves","BHS","Bahamas","44",6207.43758584254
80404,"Balkan mixed forests","BIH","Bosnia and Herzegovina","70",1795.33899007382
80418,"Dinaric Mountains mixed forests","BIH","Bosnia and Herzegovina","70",27498.48469051
80431,"Pannonian mixed forests","BIH","Bosnia and Herzegovina","70",16947.3334529485
81210,"Illyrian deciduous forests","BIH","Bosnia and Herzegovina","70",4956.32942492073
80412,"Central European mixed forests","BLR","Belarus","112",120399.540798785
80436,"Sarmatic mixed forests","BLR","Belarus","112",87220.7402499882
60111,"Central American Atlantic moist forests","BLZ","Belize","84",0.466913369733713
60154,"Petén-Veracruz moist forests","BLZ","Belize","84",16676.8844852117
60181,"Yucatán moist forests","BLZ","Belize","84",66.7800068354751
60302,"Belizian pine forests","BLZ","Belize","84",2815.19089050305
61403,"Mesoamerican Gulf-Caribbean mangroves","BLZ","Belize","84",2368.53087676872
-9998,"Lake","BOL","Bolivia (Plurinational State of)","68",2986.34149695895
60105,"Bolivian Yungas","BOL","Bolivia (Plurinational State of)","68",85517.8430578474
60128,"Iquitos varzeá","BOL","Bolivia (Plurinational State of)","68",27.6959872315924
60135,"Madeira-Tapajós moist forests","BOL","Bolivia (Plurinational State of)","68",59418.2669977833
60141,"Monte Alegre varzeá","BOL","Bolivia (Plurinational State of)","68",32.3391012246597
60157,"Purus-Madeira moist forests","BOL","Bolivia (Plurinational State of)","68",5.84117417735941
60165,"Southern Andean Yungas","BOL","Bolivia (Plurinational State of)","68",27691.20735232
60166,"Southwest Amazon moist forests","BOL","Bolivia (Plurinational State of)","68",168840.228350395
60206,"Bolivian montane dry forests","BOL","Bolivia (Plurinational State of)","68",72779.57265828
60210,"Dry Chaco","BOL","Bolivia (Plurinational State of)","68",122675.653968693
