"Food code (level 2)","Food name (level 2)","Country ","Country code","Retail waste","Consumer waste"
"A.01","Grains and grain-based products","Sweden","SE",0.02,0.25
"A.01.01","Grains as crops","Sweden","SE",0.02,0.25
"A.01.02","Grains for human consumption","Sweden","SE",0.02,0.25
"A.01.03","Grain milling products","Sweden","SE",0.02,0.25
"A.01.04","Bread and rolls","Sweden","SE",0.02,0.25
"A.01.05","Pasta (Raw)","Sweden","SE",0.02,0.25
"A.01.06","Breakfast cereals","Sweden","SE",0.02,0.25
"A.01.07","Fine bakery wares","Sweden","SE",0.02,0.25
"A.02","Vegetables and vegetable products (including fungi)","Sweden","SE",0.1,0.19
"A.02.01","Root vegetables","Sweden","SE",0.1,0.19
"A.02.02","Bulb vegetables","Sweden","SE",0.1,0.19
"A.02.03","Fruiting vegetables","Sweden","SE",0.1,0.19
"A.02.04","Brassica vegetables","Sweden","SE",0.1,0.19
"A.02.05","Leaf vegetables","Sweden","SE",0.1,0.19
"A.02.06","Legume vegetables","Sweden","SE",0.1,0.19
"A.02.07","Stem vegetables (Fresh)","Sweden","SE",0.1,0.19
"A.02.08","Sugar plants","Sweden","SE",0.1,0.19
"A.02.09","Sea weeds","Sweden","SE",0.09,0.11
"A.02.10","Tea and herbs for infusions (Solid)","Sweden","SE",0.01,0.04
"A.02.11","Cocoa beans and cocoa products","Sweden","SE",0.01,0.04
"A.02.12","Coffee beans and coffee products (Solid)","Sweden","SE",0.01,0.04
"A.02.13","Coffee imitates (Solid)","Sweden","SE",0.01,0.04
"A.02.14","Vegetable products","Sweden","SE",0.1,0.19
"A.02.15","Fungi, cultivated","Sweden","SE",0.1,0.19
"A.02.16","Fungi, wild, edible","Sweden","SE",0.1,0.19
"A.03","Starchy roots and tubers","Sweden","SE",0.07,0.17
"A.03.01","Potatoes and potatoes products","Sweden","SE",0.07,0.17
"A.03.02","Other starchy roots and tubers","Sweden","SE",0.07,0.17
"A.04","Legumes, nuts and oilseeds","Sweden","SE",0.01,0.04
"A.04.01","Legumes, beans, green, without pods","Sweden","SE",0.01,0.04
"A.04.02","Legumes, beans, dried","Sweden","SE",0.01,0.04
