Food code,Food name,Component code,Component name,Facet(s) code,Percentage,Probability,"Probability group",Source(s),Reference(s),Reference link (1),Reference link (2)
A.01.02.001,Wheat grain,A.01.02.001,Wheat grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.001.001,Wheat germ,A.01.02.001,Wheat grain,F28.A0C03$F02.A068A,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.001.002,"Wheat grain, Durum",A.01.02.001.002,"Wheat grain, Durum",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.001.003,"Wheat grain, soft",A.01.02.001.003,"Wheat grain, soft",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.001.004,Bulgur wheat,A.01.02.001.004,Bulgur wheat,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.002.001,"Barley grain, whole",A.01.02.002.001,"Barley grain, whole",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.002.002,"Barley, pearled",A.01.02.002.001,"Barley grain, whole",F28.A0BZV,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.003,Corn grain,A.01.02.003,Corn grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.004,Rye grain,A.01.02.004,Rye grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.005,Spelt grain,A.01.02.005,Spelt grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.005.001,"Spelt grain, rippen",A.01.02.005,Spelt grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.005.002,"Spelt grain, unrippen",A.01.02.005,Spelt grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.006,Buckwheat grain,A.01.02.006,Buckwheat grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.007,Millet grain,A.01.02.007,Millet grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.008,"Oats, grain",A.01.02.008,"Oats, grain",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.009.001,"Rice, brown",A.01.02.009,Rice,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.009.002,"Rice, long-grain",A.01.02.009,Rice,F28.A0BZV,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.009.003,"Rice, mixed",A.01.02.009.001,"Rice, brown",To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.009.003,"Rice, mixed",A.01.02.009.002,"Rice, long-grain",To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
