Code,Name,L1 Category,L2 Category,Amount (g),"Carbon footprint, total (kg CO2e)","Carbon dioxide, total (kg CO2)","Methane, fossil, total (kg CH4)","Methane, biogenic, total (kg CH4)","Nitrous oxide, total (kg N2O)","Carbon footprint, primary production (kg CO2e)","Carbon dioxide, primary production (kg CO2)","Methane, fossil, primary production (kg CH4)","Methane, biogenic, primary production (kg CH4)","Nitrous oxide, primary production (kg N2O)",Cropland (m2*year),New N input (kg N),New P input (kg P),Water (m3),Pesticides (g a.i),Biodiversity (E/MSY),Ammonia (kg NH3),Animal welfare (index),Antibiotics (index),Mineral fertiliser production (kg CO2e),Capital goods (kg CO2e),Soil emissions (kg CO2e),Energy primary production (kg CO2e),Land use change (kg CO2e),Enteric fermentation (kg CO2e),Manure management (kg CO2e),Mineral fertiliser production (kg CO2),Capital goods (kg CO2),Energy primary production (kg CO2),Land use change (kg CO2),"Mineral fertiliser production (kg CH4, fossil)","Capital goods (kg CH4, fossil)","Energy primary production (kg CH4, fossil)","Soil emissions (kg CH4, biogenic)","Enteric fermentation (kg CH4, biogenic)","Manure management (kg CH4, biogenic)",Mineral fertiliser production (kg N2O),Capital goods (kg N2O),Soil emissions (kg N2O),Energy primary production (kg N2O),Manure management (kg N2O),Processing (kg CO2e),Processing (kg CO2),"Processing (kg CH4, fossil)",Processing (kg N2O),Packaging (kg CO2e),Packaging (kg CO2),"Packaging (kg CH4, fossil)","Packaging (kg CH4, biogenic)",Packaging (kg N2O),Transports (kg CO2e),Transports (kg CO2),"Transports (kg CH4, fossil)",Transports (kg N2O),Processes,Packaging,RPCs with missing data
A.06.01.001,Beef meat (Bos spp.),Meat and meat products (including edible offal),Livestock meat,1000,32.65880293691893,6.084772971639883,0.02216582220734862,0.7314142341983151,0.02258353164888471,32.426618796063494,5.894813834583984,0.02081265615603995,0.7313883520900099,0.02257912930988726,26.041836907961567,0.5224143524745528,0.03106125136706649,0.8075183318109781,1.918571029584182,4.738086933201961e-11,0.24970908555093363,0.5086626382955197,29.480449105446365,1.5596789305457666,0.779069152339457,2.889693826457975,4.56913680785703,0.4725443868301743,16.525253231068206,5.6312424609648515,0.9347432968731436,0.6948889305614477,4.449105454991742,0.4724761106641255,0.00170008806741658,0.00245872234562119,2.5610570359167517,0,0.6120464159654889,0.11934193612452076,0.00210356413649673,3.996445376738e-5,0.01058495907127462,2.5577299049133564,0.00882421313407615,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06503359391231145,0.06236784455832163,5.552830318132e-5,3.70331838529e-6,,P9,
A.06.01.003,Pork / piglet meat (Sus scrofa),Meat and meat products (including edible offal),Livestock meat,1000,8.122208560068454,3.408090478638764,0.00834140773417286,0.1113023621178294,0.0053493785852379,7.8890818588648814,3.2172666894319293,0.00698773467326069,0.11127648000952416,0.00534474621213418,14.408848887687142,0.15419073752050486,0.03030149574395077,0.629442189934187,1.9201082632279431,6.040896281598085e-12,0.08624860503950404,3.9010936085358,229.96571891021017,0.643410550298836,0.2272829022673742,0.6005133643005993,2.4681785977135746,0.35433895914159547,0.27582866613723983,3.31952881900566,0.3899978489753798,0.2029934832450784,2.3420771690238507,0.35433895914159547,7.3430938202832e-4,7.4460916759973e-4,0.5752498693890941,0,0.01021587652360147,0.1010606034859227,8.4809627010627e-4,7.69254881986e-6,0.00219968265311574,0.5718192983695038,0.00216444148309797,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06597615426044443,0.06323249670925797,5.603531278483e-5,3.93335249156e-6,,P9,
A.06.01.004,Mutton / lamb meat (Ovis aries),Meat and meat products (including edible offal),Livestock meat,1000,43.17611775969839,10.986988147983432,0.04192305470242876,0.8414082579701294,0.03011648211131537,42.90180534017822,10.75660456457593,0.04053403079441663,0.8413823758618242,0.03010975278263527,41.037024253300466,1.169040361981477,0.05971685296973038,0.5053176321933497,2.3138282222880964,3.9179812129454886e-11,0.11253026681873396,4.847755232333328,75.93834895580082,3.2027513967585586,2.0676708517776934,5.928780536563063,7.763138352864785,0.6997999325498852,22.128906660163025,1.110757609501214,1.8993756629180232,1.837822209810645,7.627706749401407,0.6997999325498852,0.00361241844230471,0.00655948624642725,4.911768343917085,0,0.8195891355615936,0.02179324030023063,0.00437994748813133,1.2591923744877e-4,0.0217171448225753,4.9083121227173585,0.00191333377800361,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.1071618725770438,0.10279229090992512,9.138615988478e-5,6.03030806795e-6,,P9,
A.06.01.007,Rabbit meat (Lepus cuniculus),Meat and meat products (including edible offal),Livestock meat,1000,11.126327164920564,4.209696818969122,0.01306543761372461,0.03446056885113451,0.02050126353876121,10.945169190715731,4.0686820877803935,0.01175581813545883,0.03443468674282926,0.0204997332616933,24.500245534422163,0.31660275235399277,0.02851613068855587,0.09129894931086116,1.51689987457728,1.0536667544568552e-11,0.22459054689528593,122.1478462091688,3761.704884597191,1.274355454566969,0.34901672537333084,3.488282585153638,3.027530099164062,0.3346841854558997,0.01105693544391415,2.4602432055579104,0.7659888013904903,0.3121252834645119,2.9322187635382826,0.3346841854558997,0.00144731777317271,0.00112669214823957,1.6434536156401365,0,4.0951612755237e-4,0.03402517061527689,0.00170416330965542,1.214657835633e-5,0.01277759188700968,1.6407307110319544,0.00564675310969023,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.01400742726170105,0.01342343869115168,1.198173013843e-5,8.312564557654496e-7,,P9,
A.06.02.001,Chicken meat (Gallus domesticus),Meat and meat products (including edible offal),Poultry,1000,2.1958338484062794,1.592061195003021,0.0046545550153134,0.00281533656031047,0.00142510192973822,2.009120050062575,1.445717069898386,0.00334018373518245,0.00278945445200522,0.00142326093278978,6.9850172006574764,0.06894845157795453,0.01571764743587785,0.23107747359791717,0.8144835576078295,3.3279114215059424e-12,0.04845616259439587,94.55827930490116,124.1747894034709,0.2888713867589493,0.1110538849371905,0.21687800181921635,1.1122482727543774,0.15179348565786585,0,0.1282750181349757,0.17446055261175286,0.0991405384195598,1.059861051978482,0.15178656866753928,3.3907457468582e-4,3.6545740576156e-4,0.40285649985212973,0,0,0.00278945445200522,3.8207476857713e-4,3.74621181661e-6,7.944249150887e-4,0.4013844105044664,1.9399175066239e-4,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.01956325140057372,0.01875283260705758,1.67335320036e-5,1.14197633629e-6,,P9,
A.06.06.003,Pork liver,Meat and meat products (including edible offal),"Edible offal, farmed animals",1000,8.122208560068454,3.408090478638764,0.00834140773417286,0.1113023621178294,0.0053493785852379,7.8890818588648814,3.2172666894319293,0.00698773467326069,0.11127648000952416,0.00534474621213418,14.408848887687142,0.15419073752050486,0.03030149574395077,0.629442189934187,1.9201082632279431,6.040896281598085e-12,0.08624860503950404,3.9010936085358,229.96571891021017,0.643410550298836,0.2272829022673742,0.6005133643005993,2.4681785977135746,0.35433895914159547,0.27582866613723983,3.31952881900566,0.3899978489753798,0.2029934832450784,2.3420771690238507,0.35433895914159547,7.3430938202832e-4,7.4460916759973e-4,0.5752498693890941,0,0.01021587652360147,0.1010606034859227,8.4809627010627e-4,7.69254881986e-6,0.00219968265311574,0.5718192983695038,0.00216444148309797,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06597615426044443,0.06323249670925797,5.603531278483e-5,3.93335249156e-6,,P9,
A.07.01.001,Herring (Clupea),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,5.2603706363124285,5.228267049817053,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,4.885889727434087,4.885889727434087,0,0,0,0,0,0,0,0,0,0,10.71647450160913,0,0,0,0,4.885889727434087,0,0,0,0,0,4.885889727434087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.01.010,Perch (Perca),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,12.866133396614392,12.834029810119018,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,12.49165248773605,12.49165248773605,0,0,0,0,0,0,0,0,0,0,5.911533488659383,0,0,0,0,12.49165248773605,0,0,0,0,0,12.49165248773605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.04.001,Crab (Cancer spp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Crustaceans,1000,15.4655215160353,15.437058742303458,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,15.06451966282698,15.06451966282698,0,0,0,0,0,0,0,0,0,0,15.663199131551892,0,0,0,0,15.06451966282698,0,0,0,0,0,15.06451966282698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.05.002,Octopus (Octopus vulgaris),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,1000,10.713373881389511,10.68491110765767,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,10.312372028181192,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0.6175308593138156,0,0,0,0,10.312372028181192,0,0,0,0,0,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
