Code,Name,L1 Category,L2 Category,Amount (g),"Carbon footprint, total (kg CO2e)","Carbon dioxide, total (kg CO2)","Methane, fossil, total (kg CH4)","Methane, biogenic, total (kg CH4)","Nitrous oxide, total (kg N2O)","Carbon footprint, primary production (kg CO2e)","Carbon dioxide, primary production (kg CO2)","Methane, fossil, primary production (kg CH4)","Methane, biogenic, primary production (kg CH4)","Nitrous oxide, primary production (kg N2O)",Cropland (m2*year),New N input (kg N),New P input (kg P),Water (m3),Pesticides (g a.i),Biodiversity (E/MSY),Ammonia (kg NH3),Animal welfare (index),Antibiotics (index),Mineral fertiliser production (kg CO2e),Capital goods (kg CO2e),Soil emissions (kg CO2e),Energy primary production (kg CO2e),Land use change (kg CO2e),Enteric fermentation (kg CO2e),Manure management (kg CO2e),Mineral fertiliser production (kg CO2),Capital goods (kg CO2),Energy primary production (kg CO2),Land use change (kg CO2),"Mineral fertiliser production (kg CH4, fossil)","Capital goods (kg CH4, fossil)","Energy primary production (kg CH4, fossil)","Soil emissions (kg CH4, biogenic)","Enteric fermentation (kg CH4, biogenic)","Manure management (kg CH4, biogenic)",Mineral fertiliser production (kg N2O),Capital goods (kg N2O),Soil emissions (kg N2O),Energy primary production (kg N2O),Manure management (kg N2O),Processing (kg CO2e),Processing (kg CO2),"Processing (kg CH4, fossil)",Processing (kg N2O),Packaging (kg CO2e),Packaging (kg CO2),"Packaging (kg CH4, fossil)","Packaging (kg CH4, biogenic)",Packaging (kg N2O),Transports (kg CO2e),Transports (kg CO2),"Transports (kg CH4, fossil)",Transports (kg N2O),Processes,Packaging,RPCs with missing data
A.01.02.001,Wheat grain,Grains and grain-based products,Grains for human consumption,1000.00,0.7343383188639073,0.4043190750125764,0.0007866276549051469,0.0000041134970068027204,0.0011225885542709665,0.6175576500222891,0.29782945176512926,0.00047657114030891343,0,0.0011191442427690634,2.9803468949788092,0.03348778699587481,0.0030642419473349497,0.0011057945569282108,0.35095404173133415,1.5367473490701042e-13,0.0020358767056712496,0,0,0.21490204080725672,0.042926665954339846,0.22600768476245586,0.13372125849823693,0,0,0,0.1294522180871008,0.038465648039320434,0.129911585638708,0,0.0002471839486323245,0.0001353420949531645,0.00009404509672342446,0,0,0,0.0002860210294905225,0.0000015671189941945362,0.0008278669771518527,0.000003689117132493947,0,0.054709453957132406,0.051769569113297505,0.00008899045152947565,0.000001054832924016585,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.017608006325339754,0.01687198090408163,0.00001509929753387755,0.0000010478621053061224,F28.A0BZV,P14,
A.01.02.001.001,Wheat germ,Grains and grain-based products,Grains for human consumption,1000.00,4.767113937536289,3.2105976378018735,0.0057394549717356405,0.0000041134970068027204,0.005074613469441426,2.779009425100301,1.3402325329430818,0.0021445701313901108,0,0.005036149092460786,13.411561027404643,0.15069504148143664,0.013789088763007273,0.004976075506176949,1.5792931877910037,6.915363070815469e-13,0.009161445175520623,0,0,0.9670591836326553,0.19316999679452931,1.0170345814310513,0.6017456632420661,0,0,0,0.5825349813919537,0.17309541617694194,0.5846021353741861,0,0.0011123277688454601,0.0006090394272892403,0.00042320293525541014,0,0,0,0.0012870946327073513,0.0000070520354738754134,0.0037254013971833376,0.000016601027096222763,0,1.8644052754128122,1.7565931175603564,0.0033209712359102,0.00003240738103418267,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.0792360284640289,0.07592391406836735,0.00006794683890244898,0.000004715379473877551,F28.A0BZV$F28.A0C03,P14,
A.01.02.001.002,"Wheat grain, Durum",Grains and grain-based products,Grains for human consumption,1000.00,0.853737570916244,0.5916014353311412,0.0009503207781514445,0.0000041134970068027204,0.0008560641464359203,0.5329848779794489,0.28961940273711617,0.0004666272768367301,0,0.0008405127560168436,3.3274299016100457,0.03348778699587481,0.0030642419473349497,0.023348380679310096,0.2326740483502426,1.5576600187841794e-12,0.0020358767056712496,0,0,0.21439584782342822,0.04292666595433984,0.15008962688454214,0.12557273731713886,0,0,0,0.1291813982733066,0.038465648039320434,0.12197235642448909,0,0.00024590716210370266,0.00013534209495316452,0.00008537801977986291,0,0,0,0.0002852982275437044,0.0000015671189941945362,0.0005497788530569303,0.000003868556422014016,0,0.054709453957132406,0.051769569113297505,0.00008899045152947565,0.000001054832924016585,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.22158003042051666,0.21236439025065945,0.00018873628425235853,0.000013154941022479591,F28.A0BZV,P14,
A.01.02.001.003,"Wheat grain, soft",Grains and grain-based products,Grains for human consumption,1000.00,0.7343383188639073,0.4043190750125764,0.0007866276549051469,0.0000041134970068027204,0.0011225885542709665,0.6175576500222891,0.29782945176512926,0.00047657114030891343,0,0.0011191442427690634,2.9803468949788092,0.03348778699587481,0.0030642419473349497,0.0011057945569282108,0.35095404173133415,1.5367473490701042e-13,0.0020358767056712496,0,0,0.21490204080725672,0.042926665954339846,0.22600768476245586,0.13372125849823693,0,0,0,0.1294522180871008,0.038465648039320434,0.129911585638708,0,0.0002471839486323245,0.0001353420949531645,0.00009404509672342446,0,0,0,0.0002860210294905225,0.0000015671189941945362,0.0008278669771518527,0.000003689117132493947,0,0.054709453957132406,0.051769569113297505,0.00008899045152947565,0.000001054832924016585,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.017608006325339754,0.01687198090408163,0.00001509929753387755,0.0000010478621053061224,F28.A0BZV,P14,
A.01.02.001.004,Bulgur wheat,Grains and grain-based products,Grains for human consumption,1000.00,0.9084470248733764,0.6433710044444386,0.0010393112296809201,0.0000041134970068027204,0.0008571189793599369,0.5329848779794489,0.28961940273711617,0.0004666272768367301,0,0.0008405127560168436,3.3274299016100457,0.03348778699587481,0.0030642419473349497,0.023348380679310096,0.2326740483502426,1.5576600187841794e-12,0.0020358767056712496,0,0,0.21439584782342822,0.04292666595433984,0.15008962688454214,0.12557273731713886,0,0,0,0.1291813982733066,0.038465648039320434,0.12197235642448909,0,0.00024590716210370266,0.00013534209495316452,0.00008537801977986291,0,0,0,0.0002852982275437044,0.0000015671189941945362,0.0005497788530569303,0.000003868556422014016,0,0.10941890791426481,0.10353913822659501,0.0001779809030589513,0.00000210966584803317,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.22158003042051666,0.21236439025065945,0.00018873628425235853,0.000013154941022479591,F28.A0BZV,P14,
A.01.02.002.001,"Barley grain, whole",Grains and grain-based products,Grains for human consumption,1000.00,0.7325201780506845,0.40027778396708186,0.0007581198189779676,0.0000041134970068027204,0.0011338438060764663,0.6148334698974902,0.2929198823220837,0.00044729651977493145,0,0.00113034487650591,3.674818212856778,0.029214101510052038,0.004316228103953221,0.0005117475973187892,0.3250942100651065,1.758130033161598e-13,0.0017760596945016645,0,0,0.18629053552581343,0.042926665954339846,0.23940295499283865,0.1462133134244984,0,0,0,0.11229716866780191,0.038465648039320434,0.14215706561496202,0,0.00021264735938919744,0.00013534209495316452,0.00009930706543256966,0,0,0,0.0002478259177590234,0.0000015671189941945367,0.0008769339010726671,0.000004017938680024719,0,0.054709453957132406,0.051769569113297505,0.00008899045152947565,0.000001054832924016585,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.01851404563691578,0.017740259301632654,0.00001586608214068027,0.0000011024801739591837,F28.A0BZV,P14,
A.01.02.002.002,"Barley, pearled",Grains and grain-based products,Grains for human consumption,1000.00,1.0193010064940389,0.5951251578789094,0.0010781631407354565,0.0000041134970068027204,0.0014356612549524868,0.7777028560733354,0.3705143591492037,0.0005657853678633108,0,0.0014297732342923254,4.648277557442539,0.036952917000064825,0.005459596928690429,0.0006473095358485364,0.41121166631135325,2.2238586789461054e-13,0.002246537907575155,0,0,0.2356388983866014,0.054297939765644475,0.3028207977704416,0.184945220150648,0,0,0,0.14204468864790262,0.04865519820493642,0.17981447229636546,0,0.0002689776448913958,0.00017119421590625777,0.00012561350706565734,0,0,0,0.0003134750033733887,0.0000019822488157566693,0.0011092336914668166,0.000005082290636363265,0,0.17862089622464158,0.169022466198005,0.00029054492519858506,0.0000034439240136217484,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.01851404563691578,0.017740259301632654,0.00001586608214068027,0.0000011024801739591837,F28.A0BZV,P14,
A.01.02.003,Corn grain,Grains and grain-based products,Grains for human consumption,1000.00,0.647100817095872,0.367746793363476,0.0007498570313406849,0.0000041134970068027204,0.0009410154570668858,0.5345800305635693,0.265339487573852,0.0004434079554195535,0,0.000937827787246207,2.1534532404830258,0.02844996661170111,0.007974611853279858,0.010702797950186804,0.18860794252881827,8.868251925209239e-14,0.001729604416948246,0,0,0.18274329498347228,0.042926665954339846,0.18828457714586533,0.12062549247989111,0,0,0,0.11006901189242455,0.03846564803932044,0.11680482764210708,0,0.00021042848509697916,0.00013534209495316452,0.00009763737536940978,0,0,0,0.00024323631587969873,0.000001567118994194536,0.0006896870957724034,0.0000033372565999107713,0,0.054709453957132406,0.051769569113297505,0.00008899045152947565,0.000001054832924016585,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.013348124016024298,0.012789663446258502,0.000011491858858775507,7.912204240816325e-7,F28.A0BZV,P14,
A.01.02.004,Rye grain,Grains and grain-based products,Grains for human consumption,1000.00,0.6459813704548372,0.3878961350870833,0.0007167940114761244,0.0000041134970068027204,0.0008667168842731929,0.5374944480122936,0.28935459028589466,0.00041375551520315615,0,0.0008637726863492489,4.8089274906233985,0.022685567373979972,0.0016715681222932608,0.000267260262934855,0.09570485672800122,1.9250480919713013e-13,0.0013791600554945843,0,0,0.14574387080872167,0.042926665954339846,0.18118293745400485,0.16764097379522805,0,0,0,0.08778187846759943,0.03846564803932044,0.16310706377897505,0,0.00016786097578307482,0.00013534209495316452,0.00011055244446691676,0,0,0,0.00019399170425929166,0.0000015671189941945367,0.0006636737635677826,0.000004540099527980398,0,0.054709453957132406,0.051769569113297505,0.00008899045152947565,0.000001054832924016585,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.009314259926265089,0.00892390245782313,0.000008081279210612245,5.477485273469387e-7,F28.A0BZV,P14,
A.01.02.005,Spelt grain,Grains and grain-based products,Grains for human consumption,1000.00,0.7343383188639073,0.4043190750125764,0.0007866276549051469,0.0000041134970068027204,0.0011225885542709665,0.6175576500222891,0.29782945176512926,0.00047657114030891343,0,0.0011191442427690634,2.9803468949788092,0.03348778699587481,0.0030642419473349497,0.0011057945569282108,0.35095404173133415,1.5367473490701042e-13,0.0020358767056712496,0,0,0.21490204080725672,0.042926665954339846,0.22600768476245586,0.13372125849823693,0,0,0,0.1294522180871008,0.038465648039320434,0.129911585638708,0,0.0002471839486323245,0.0001353420949531645,0.00009404509672342446,0,0,0,0.0002860210294905225,0.0000015671189941945362,0.0008278669771518527,0.000003689117132493947,0,0.054709453957132406,0.051769569113297505,0.00008899045152947565,0.000001054832924016585,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.017608006325339754,0.01687198090408163,0.00001509929753387755,0.0000010478621053061224,F28.A0BZV,P14,
