Code,Name,L1 Category,L2 Category,Amount (g),"Carbon footprint, total (kg CO2e)","Carbon dioxide, total (kg CO2)","Methane, fossil, total (kg CH4)","Methane, biogenic, total (kg CH4)","Nitrous oxide, total (kg N2O)","Carbon footprint, primary production (kg CO2e)","Carbon dioxide, primary production (kg CO2)","Methane, fossil, primary production (kg CH4)","Methane, biogenic, primary production (kg CH4)","Nitrous oxide, primary production (kg N2O)",Cropland (m2*year/kg),New N input (kg N/kg),New P input (kg P/kg),Water (m3/kg),Pesticides (g a.i/kg),Biodiversity (E/MSY/kg),Ammonia (kg NH3/kg),Animal welfare (index),Antibiotics (index),Mineral fertiliser production (kg CO2e),Capital goods (kg CO2e),Soil emissions (kg CO2e),Energy primary production (kg CO2e),Land use change (kg CO2e),Enteric fermentation (kg CO2e),Manure management (kg CO2e),Mineral fertiliser production (kg CO2),Capital goods (kg CO2),Energy primary production (kg CO2),Land use change (kg CO2),"Mineral fertiliser production (kg CH4, fossil)","Capital goods (kg CH4, fossil)","Energy primary production (kg CH4, fossil)","Soil emissions (kg CH4, biogenic)","Enteric fermentation (kg CH4, biogenic)","Manure management (kg CH4, biogenic)",Mineral fertiliser production (kg N2O),Capital goods (kg N2O),Soil emissions (kg N2O),Energy primary production (kg N2O),Manure management (kg N2O),Processing (kg CO2e),Processing (kg CO2),"Processing (kg CH4, fossil)",Processing (kg N2O),Packaging (kg CO2e),Packaging (kg CO2),"Packaging (kg CH4, fossil)","Packaging (kg CH4, biogenic)",Packaging (kg N2O),Transports (kg CO2e),Transports (kg CO2),"Transports (kg CH4, fossil)",Transports (kg N2O),Processes,Packaging,RPCs with missing data
A.01.02.001,Wheat grain,Grains and grain-based products,Grains for human consumption,1000.00,0.7044864139843188,0.34212806131889567,0.0005920198452778044,0.0000041134970068027204,0.001262644664618337,0.5950684341608925,0.2419367216614748,0.0003333499908219428,0,0.0012574900342738787,2.2307455150269724,0.03347936033051963,0.0030630053068347756,0.002018881807360526,0.19842888177117313,1.740856271626652e-11,0.0020372546924528967,0,0,0.1775121457372445,0.04288207429568684,0.27842756121161305,0.09620206140837968,0,0,0,0.10941059339563453,0.03846564803932043,0.09402293389311257,0,0.00015292381116764058,0.0001353420949531645,0.00004471081449091919,0,0,0,0.00023255695189876185,0.0000015671189941945362,0.0010198817251459585,0.000003095365766121188,0,0.01139896458427427,0.011015999479706644,0.000007156143227634353,6.216558109308527e-7,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.05355580668000609,0.05132726694764624,0.00004554694569534694,0.000003191358060946939,F28.A0BZV,P14,
A.01.02.001.001,Wheat germ,Grains and grain-based products,Grains for human consumption,1000.00,3.169791734004931,1.5541198496650832,0.0020994319052823934,0.0000041134970068027204,0.005690233640185174,2.677807953724016,1.0887152474766366,0.0015000749586987427,0,0.005658705154232454,10.038354817621377,0.15065712148733834,0.013783523880756491,0.009084968133122366,0.8929299679702791,7.833853222319934e-11,0.009167646116038035,0,0,0.7988046558176003,0.19296933433059077,1.2529240254522587,0.4329092763377085,0,0,0,0.49234767028035537,0.1730954161769419,0.4231032025190066,0,0.0006881571502543827,0.0006090394272892403,0.00020119866520913637,0,0,0,0.0010465062835444284,0.0000070520354738754134,0.004589467763156814,0.000013929145947545346,0,0.2065194416617421,0.1965838276939704,0.00018842892542170935,0.000015825758205878244,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.2410011300600275,0.23097270126440814,0.0002049612556290612,0.000014361111274261229,F28.A0BZV$F28.A0C03,P14,
A.01.02.001.002,"Wheat grain, Durum",Grains and grain-based products,Grains for human consumption,1000.00,0.9456485356790991,0.6420189208069459,0.0009381122318046953,0.0000041134970068027204,0.0010094685743260725,0.5617534661401082,0.27868243991719316,0.00044250558919422145,0,0.000988668404801302,2.8286365465314827,0.03347936033051964,0.0030630053068347748,0.0148464191605702,0.30912712569126977,7.498468118775554e-11,0.0020372546924528976,0,0,0.20985981845919718,0.042882074295686856,0.1923654508523395,0.11660153157038439,0,0,0,0.1267996525998997,0.03846564803932044,0.11346222830510833,0,0.00023454182315528997,0.00013534209495316452,0.00007242110158611072,0,0,0,0.0002787937567193514,0.000001567118994194536,0.0007046356190688,0.0000035931225167755687,0,0.01139896458427427,0.011015999479706644,0.000007156143227634353,6.216558109308527e-7,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.3280328963955706,0.31447240817997807,0.0002824837338499593,0.000018836897241259243,F28.A0BZV,P14,
A.01.02.001.003,"Wheat grain, soft",Grains and grain-based products,Grains for human consumption,1000.00,0.7044864139843188,0.34212806131889567,0.0005920198452778044,0.0000041134970068027204,0.001262644664618337,0.5950684341608925,0.2419367216614748,0.0003333499908219428,0,0.0012574900342738787,2.2307455150269724,0.03347936033051963,0.0030630053068347756,0.002018881807360526,0.19842888177117313,1.740856271626652e-11,0.0020372546924528967,0,0,0.1775121457372445,0.04288207429568684,0.27842756121161305,0.09620206140837968,0,0,0,0.10941059339563453,0.03846564803932043,0.09402293389311257,0,0.00015292381116764058,0.0001353420949531645,0.00004471081449091919,0,0,0,0.00023255695189876185,0.0000015671189941945362,0.0010198817251459585,0.000003095365766121188,0,0.01139896458427427,0.011015999479706644,0.000007156143227634353,6.216558109308527e-7,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.05355580668000609,0.05132726694764624,0.00004554694569534694,0.000003191358060946939,F28.A0BZV,P14,
A.01.02.001.004,Bulgur wheat,Grains and grain-based products,Grains for human consumption,1000.00,0.9570475002633734,0.6530349202866526,0.0009452683750323298,0.0000041134970068027204,0.0010100902301370034,0.5617534661401082,0.27868243991719316,0.00044250558919422145,0,0.000988668404801302,2.8286365465314827,0.03347936033051964,0.0030630053068347748,0.0148464191605702,0.30912712569126977,7.498468118775554e-11,0.0020372546924528976,0,0,0.20985981845919718,0.042882074295686856,0.1923654508523395,0.11660153157038439,0,0,0,0.1267996525998997,0.03846564803932044,0.11346222830510833,0,0.00023454182315528997,0.00013534209495316452,0.00007242110158611072,0,0,0,0.0002787937567193514,0.000001567118994194536,0.0007046356190688,0.0000035931225167755687,0,0.02279792916854854,0.02203199895941329,0.000014312286455268707,0.0000012433116218617054,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.3280328963955706,0.31447240817997807,0.0002824837338499593,0.000018836897241259243,F28.A0BZV,P14,
A.01.02.002.001,"Barley grain, whole",Grains and grain-based products,Grains for human consumption,1000.00,0.6401953792064231,0.2990606814893924,0.0005233066528351304,0.0000041134970068027204,0.001191904143670634,0.571620805143593,0.23801527863993066,0.00029929170970307846,0,0.001189184504517339,3.0887117890020304,0.02920539943726181,0.002252082962329783,0.0000852229863114531,0.17179686340682168,1.1440522729161473e-11,0.0017808170388574278,0,0,0.14816892595101566,0.042882074295686856,0.2705375212623618,0.10998769200579356,0,0,0,0.09185979033847395,0.038465648039320434,0.10764801831427856,0,0.00011645311108736688,0.00013534209495316452,0.00004681632653061225,0,0,0,0.00019300257624864955,0.0000015671189941945367,0.0009909799433700183,0.000003462038916788355,0,0.01139896458427427,0.011015999479706644,0.000007156143227634353,6.216558109308527e-7,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.012712400919409833,0.012181330139687075,0.000010892034371537414,7.563668697836735e-7,F28.A0BZV,P14,
A.01.02.002.002,"Barley, pearled",Grains and grain-based products,Grains for human consumption,1000.00,0.8174352453758839,0.38706106602269763,0.0006187969755317449,0.0000041134970068027204,0.0015083271071634544,0.7230431564261309,0.3010655259516483,0.0003785740836034239,0,0.0015041994797639821,3.9069115419086677,0.03694190974819247,0.0028486597390509423,0.00010779855538535703,0.21730585252328874,1.4471117200116348e-11,0.00225255547245076,0,0,0.1874188744354397,0.0542415357766143,0.34220291064476144,0.1391234316181283,0,0,0,0.1161934487991357,0.04865519820493642,0.13616397836573094,0,0.00014730154021441036,0.00017119421590625777,0.00005921797142857143,0,0,0,0.0002441289586969168,0.0000019822488157566693,0.001253490530368736,0.00000437913302584559,0,0.03721647947119707,0.03596613670129423,0.0000233640920239034,0.0000020296440571081408,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.012712400919409833,0.012181330139687075,0.000010892034371537414,7.563668697836735e-7,F28.A0BZV,P14,
A.01.02.003,Corn grain,Grains and grain-based products,Grains for human consumption,1000.00,0.7517891837187568,0.4812639043152126,0.0008143614234746615,0.0000041134970068027204,0.000901964048085408,0.5027521365328679,0.24725964492668967,0.0004365516258859565,0,0.0008885464971328844,1.6492332866745019,0.028493072621718844,0.007978060334081275,0.1025570387653002,0.3763642237781814,3.5344475549382055e-11,0.0017238308936139896,0,0,0.1811409284586435,0.042882074295686856,0.17536779733684746,0.10331674477615128,0,0,0,0.10923899751872825,0.03846564803932044,0.09958227179114577,0,0.0002066357991713264,0.00013534209495316452,0.00009465249231280645,0,0,0,0.0002412781517493559,0.0000015671189941945362,0.0006423728722204413,0.0000033468675428286497,0,0.01139896458427427,0.011015999479706644,0.000007156143227634353,6.216558109308527e-7,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.19317487404246872,0.1851401866787483,0.00016468688882819045,0.000011454278669012246,F28.A0BZV,P14,
A.01.02.004,Rye grain,Grains and grain-based products,Grains for human consumption,1000.00,0.5543346383944332,0.2820997363963421,0.00051160671995013,0.0000041134970068027204,0.0009408149128442949,0.4728334319198028,0.2086669285608532,0.000276643844811384,0,0.0009373151306434775,2.546610204775986,0.022651992734266477,0.0016668447483705524,0.00001361529946493297,0.2131328622181309,1.1031750049999853e-11,0.001379064714891192,0,0,0.11694512305073135,0.042882074295686856,0.21289210263402017,0.10006474784836203,0,0,0,0.07243526456091899,0.038465648039320434,0.09782454118766798,0,0.00009519088440853586,0.0001353420949531645,0.00004602988671263913,0,0,0,0.0001528024306782721,0.000001567118994194536,0.0007798243800975887,0.0000031754948616579127,0,0.01139896458427427,0.011015999479706644,0.000007156143227634353,6.216558109308527e-7,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.025639033331210148,0.024568735125714284,0.00002183996637823129,0.0000015365099173061223,F28.A0BZV,P14,
A.01.02.005,Spelt grain,Grains and grain-based products,Grains for human consumption,1000.00,0.7044864139843188,0.34212806131889567,0.0005920198452778044,0.0000041134970068027204,0.001262644664618337,0.5950684341608925,0.2419367216614748,0.0003333499908219428,0,0.0012574900342738787,2.2307455150269724,0.03347936033051963,0.0030630053068347756,0.002018881807360526,0.19842888177117313,1.740856271626652e-11,0.0020372546924528967,0,0,0.1775121457372445,0.04288207429568684,0.27842756121161305,0.09620206140837968,0,0,0,0.10941059339563453,0.03846564803932043,0.09402293389311257,0,0.00015292381116764058,0.0001353420949531645,0.00004471081449091919,0,0,0,0.00023255695189876185,0.0000015671189941945362,0.0010198817251459585,0.000003095365766121188,0,0.01139896458427427,0.011015999479706644,0.000007156143227634353,6.216558109308527e-7,0.044463208559146004,0.03784807323006802,0.00020596676553288022,0.0000041134970068027204,0.0000013416164725804992,0.05355580668000609,0.05132726694764624,0.00004554694569534694,0.000003191358060946939,F28.A0BZV,P14,
