RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.04.03.001,Almonds sweet,Rest of World,RoW,1,0.06,01371
A.04.03.002,Bitter almonds,Rest of World,RoW,1,0.06,01371
A.04.03.008,Macadamias,Rest of World,RoW,1,0.06,01371
A.04.03.009,Pecans,Rest of World,RoW,1,0.06,01371
A.04.03.010,Pine nut kernels,Rest of World,RoW,1,0.06,01371
A.16.01.001,Chervil,Rest of World,RoW,1,0.07,01654
A.16.02.006,Anise seed,Rest of World,RoW,1,0.07,01654
A.16.02.008,Black caraway seed,Rest of World,RoW,1,0.07,01654
A.16.02.010,Caraway fruit,Rest of World,RoW,1,0.07,01654
A.16.02.016,Coriander seed,Rest of World,RoW,1,0.07,01654
A.16.02.017,Cumin seed,Rest of World,RoW,1,0.07,01654
A.16.02.018,Dill seed (Anethum graveolens),Rest of World,RoW,1,0.07,01654
A.16.02.019,Fennel seed,Rest of World,RoW,1,0.07,01654
A.05.02.001,Apples,Greece,GR,0.937,0.07,01341
A.05.02.001,Apples,Italy,IT,0.017,0.07,01341
A.05.02.001,Apples,North Macedonia,MK,0.019,0.07,01341
A.05.02.001,Apples,Poland,PL,0.027,0.07,01341
A.05.02.007,Sorb fruits,Greece,GR,0.937,0.07,01341
A.05.02.007,Sorb fruits,Italy,IT,0.017,0.07,01341
A.05.02.007,Sorb fruits,North Macedonia,MK,0.019,0.07,01341
A.05.02.007,Sorb fruits,Poland,PL,0.027,0.07,01341
A.05.03.001,Apricots,Greece,GR,0.968,0.07,01343
A.05.03.001,Apricots,Turkey,TR,0.032,0.07,01343
A.02.07.005,Globe artichokes,Greece,GR,0.989,0.07,01216
A.02.07.005,Globe artichokes,Italy,IT,0.011,0.07,01216
A.02.07.001,Asparagus,Greece,GR,0.987,0.07,01211
A.02.07.001,Asparagus,Netherlands,NL,0.013,0.07,01211
A.05.06.014,Avocados,Chile,CL,0.021,0.07,01311
A.05.06.014,Avocados,Colombia,CO,0.035,0.07,01311
A.05.06.014,Avocados,Greece,GR,0.682,0.07,01311
A.05.06.014,Avocados,Israel,IL,0.034,0.07,01311
A.05.06.014,Avocados,Kenya,KE,0.048,0.07,01311
A.05.06.014,Avocados,Peru,PE,0.134,0.07,01311
A.05.06.014,Avocados,South Africa,ZA,0.034,0.07,01311
A.05.06.014,Avocados,Spain,ES,0.013,0.07,01311
A.05.06.015,Bananas (Musa × paradisica),Colombia,CO,0.025,0.07,01312
A.05.06.015,Bananas (Musa × paradisica),Costa Rica,CR,0.05,0.07,01312
A.05.06.015,Bananas (Musa × paradisica),Ecuador,EC,0.885,0.07,01312
A.05.06.015,Bananas (Musa × paradisica),Guatemala,GT,0.04,0.07,01312
A.01.02.002.001,Barley grains,Bulgaria,BG,0.124,0.045,0115
A.01.02.002.001,Barley grains,Germany,DE,0.019,0.045,0115
A.01.02.002.001,Barley grains,Greece,GR,0.76,0.045,0115
A.01.02.002.001,Barley grains,North Macedonia,MK,0.02,0.045,0115
