Country,Land_Use,habitat_id,habitat,species_group,abs_CF_cty
Greece,pasture,8.5,Pasture_LightIntense,Amphibians,7.84E-14
Greece,pasture,10,Pasture_Minimal,Amphibians,7.26E-14
Greece,pasture,10,Pasture_Minimal,Birds,1.26E-13
Greece,pasture,8.5,Pasture_LightIntense,Birds,1.32E-13
Greece,pasture,10,Pasture_Minimal,Mammals,1.87E-13
Greece,pasture,8.5,Pasture_LightIntense,Mammals,2.09E-13
Greece,pasture,9,Pasture_Light,Plants,1.02E-11
Greece,pasture,8,Pasture_Intense,Plants,1.47E-11
Greece,pasture,10,Pasture_Minimal,Plants,1.98E-12
Greece,pasture,8.5,Pasture_LightIntense,Reptiles,2.42E-13
Greece,pasture,10,Pasture_Minimal,Reptiles,2.31E-13
North Macedonia,pasture,8.5,Pasture_LightIntense,Amphibians,1.17E-14
North Macedonia,pasture,10,Pasture_Minimal,Amphibians,1.07E-14
North Macedonia,pasture,10,Pasture_Minimal,Birds,7.87E-14
North Macedonia,pasture,8.5,Pasture_LightIntense,Birds,8.30E-14
North Macedonia,pasture,10,Pasture_Minimal,Mammals,1.89E-13
North Macedonia,pasture,8.5,Pasture_LightIntense,Mammals,2.19E-13
North Macedonia,pasture,9,Pasture_Light,Plants,4.20E-12
North Macedonia,pasture,8,Pasture_Intense,Plants,6.07E-12
North Macedonia,pasture,10,Pasture_Minimal,Plants,8.19E-13
North Macedonia,pasture,8.5,Pasture_LightIntense,Reptiles,5.25E-14
North Macedonia,pasture,10,Pasture_Minimal,Reptiles,4.97E-14
Turkey,pasture,8.5,Pasture_LightIntense,Amphibians,1.31E-14
Turkey,pasture,10,Pasture_Minimal,Amphibians,1.23E-14
Turkey,pasture,10,Pasture_Minimal,Birds,1.01E-13
Turkey,pasture,8.5,Pasture_LightIntense,Birds,1.07E-13
Turkey,pasture,10,Pasture_Minimal,Mammals,2.65E-13
Turkey,pasture,8.5,Pasture_LightIntense,Mammals,2.81E-13
Turkey,pasture,9,Pasture_Light,Plants,2.94E-12
Turkey,pasture,8,Pasture_Intense,Plants,4.24E-12
Turkey,pasture,10,Pasture_Minimal,Plants,5.71E-13
Turkey,pasture,8.5,Pasture_LightIntense,Reptiles,4.58E-13
Turkey,pasture,10,Pasture_Minimal,Reptiles,4.41E-13
Greece,cropland,14,Urban_Intense,Amphibians,1.03E-13
Greece,cropland,15,Urban_Light,Amphibians,9.54E-14
Greece,cropland,13,Plantation_Minimal,Amphibians,1.07E-14
Greece,cropland,4,Cropland_Minimal,Amphibians,8.76E-14
Greece,cropland,2.5,Cropland_LightIntense,Amphibians,9.58E-14
Greece,cropland,16,Urban_Minimal,Amphibians,8.70E-14
Greece,cropland,11.5,Plantation_LightIntense,Amphibians,1.12E-13
Comoros,cropland,2.5,Cropland_LightIntense,Birds,1.84E-10
Greece,cropland,13,Plantation_Minimal,Birds,1.60E-14
Greece,cropland,4,Cropland_Minimal,Birds,1.13E-13
Greece,cropland,15,Urban_Light,Birds,1.59E-13
Greece,cropland,11.5,Plantation_LightIntense,Birds,1.67E-13
Greece,cropland,14,Urban_Intense,Birds,1.72E-13
Greece,cropland,16,Urban_Minimal,Birds,1.47E-13
Greece,cropland,16,Urban_Minimal,Mammals,1.78E-13
Greece,cropland,11.5,Plantation_LightIntense,Mammals,2.34E-13
Greece,cropland,2.5,Cropland_LightIntense,Mammals,2.15E-13
Greece,cropland,15,Urban_Light,Mammals,2.13E-13
Greece,cropland,4,Cropland_Minimal,Mammals,1.79E-13
Greece,cropland,13,Plantation_Minimal,Mammals,2.23E-14
Greece,cropland,14,Urban_Intense,Mammals,2.52E-13
Iceland,cropland,3,Cropland_Light,Plants,5.01E-15
Greece,cropland,12.5,Plantation_MinimalLight,Plants,7.41E-12
Greece,cropland,11,Plantation_Intense,Plants,1.28E-11
Greece,cropland,4,Cropland_Minimal,Plants,9.41E-12
Panama,cropland,2,Cropland_Intense,Plants,6.87E-10
Greece,cropland,16,Urban_Minimal,Plants,0
Greece,cropland,15,Urban_Light,Plants,4.09E-13
Greece,cropland,14,Urban_Intense,Plants,1.14E-11
Greece,cropland,4,Cropland_Minimal,Reptiles,2.20E-13
Greece,cropland,11.5,Plantation_LightIntense,Reptiles,2.44E-13
Greece,cropland,13,Plantation_Minimal,Reptiles,2.32E-14
Greece,cropland,2.5,Cropland_LightIntense,Reptiles,2.46E-13
Greece,cropland,16,Urban_Minimal,Reptiles,2.67E-13
Greece,cropland,15,Urban_Light,Reptiles,2.83E-13
Greece,cropland,14,Urban_Intense,Reptiles,3.10E-13
North Macedonia,cropland,14,Urban_Intense,Amphibians,2.16E-14
North Macedonia,cropland,15,Urban_Light,Amphibians,1.98E-14
North Macedonia,cropland,13,Plantation_Minimal,Amphibians,2.36E-15
North Macedonia,cropland,4,Cropland_Minimal,Amphibians,1.80E-14
North Macedonia,cropland,2.5,Cropland_LightIntense,Amphibians,1.99E-14
North Macedonia,cropland,16,Urban_Minimal,Amphibians,1.81E-14
North Macedonia,cropland,11.5,Plantation_LightIntense,Amphibians,2.48E-14
Grenada,cropland,2.5,Cropland_LightIntense,Birds,1.28E-10
North Macedonia,cropland,13,Plantation_Minimal,Birds,9.75E-15
North Macedonia,cropland,4,Cropland_Minimal,Birds,6.92E-14
North Macedonia,cropland,15,Urban_Light,Birds,9.63E-14
North Macedonia,cropland,11.5,Plantation_LightIntense,Birds,1.02E-13
North Macedonia,cropland,14,Urban_Intense,Birds,1.03E-13
North Macedonia,cropland,16,Urban_Minimal,Birds,9.12E-14
North Macedonia,cropland,16,Urban_Minimal,Mammals,2.88E-13
North Macedonia,cropland,11.5,Plantation_LightIntense,Mammals,3.53E-13
North Macedonia,cropland,2.5,Cropland_LightIntense,Mammals,2.91E-13
North Macedonia,cropland,15,Urban_Light,Mammals,3.12E-13
North Macedonia,cropland,4,Cropland_Minimal,Mammals,2.58E-13
North Macedonia,cropland,13,Plantation_Minimal,Mammals,3.37E-14
North Macedonia,cropland,14,Urban_Intense,Mammals,3.38E-13
Bahrain,cropland,3,Cropland_Light,Plants,4.13E-14
North Macedonia,cropland,12.5,Plantation_MinimalLight,Plants,4.60E-12
North Macedonia,cropland,11,Plantation_Intense,Plants,7.97E-12
North Macedonia,cropland,4,Cropland_Minimal,Plants,5.16E-12
Costa Rica,cropland,2,Cropland_Intense,Plants,6.63E-10
North Macedonia,cropland,16,Urban_Minimal,Plants,0
North Macedonia,cropland,15,Urban_Light,Plants,2.24E-13
North Macedonia,cropland,14,Urban_Intense,Plants,6.27E-12
North Macedonia,cropland,4,Cropland_Minimal,Reptiles,6.16E-14
North Macedonia,cropland,11.5,Plantation_LightIntense,Reptiles,7.08E-14
North Macedonia,cropland,13,Plantation_Minimal,Reptiles,6.74E-15
North Macedonia,cropland,2.5,Cropland_LightIntense,Reptiles,6.88E-14
North Macedonia,cropland,16,Urban_Minimal,Reptiles,7.78E-14
North Macedonia,cropland,15,Urban_Light,Reptiles,7.95E-14
