eco_id,eco_name,species_group,S
10101,Admiralty Islands lowland rain forests,Amphibians,5
10101,Admiralty Islands lowland rain forests,Birds,65
10101,Admiralty Islands lowland rain forests,Mammals,20
10101,Admiralty Islands lowland rain forests,Plants,303
10101,Admiralty Islands lowland rain forests,Reptiles,29
10102,Banda Sea Islands moist deciduous forests,Amphibians,2
10102,Banda Sea Islands moist deciduous forests,Birds,225
10102,Banda Sea Islands moist deciduous forests,Mammals,19
10102,Banda Sea Islands moist deciduous forests,Plants,30
10102,Banda Sea Islands moist deciduous forests,Reptiles,54
10103,Biak-Numfoor rain forests,Amphibians,3
10103,Biak-Numfoor rain forests,Birds,107
10103,Biak-Numfoor rain forests,Mammals,27
10103,Biak-Numfoor rain forests,Plants,1145
10103,Biak-Numfoor rain forests,Reptiles,64
10104,Buru rain forests,Amphibians,5
10104,Buru rain forests,Birds,178
10104,Buru rain forests,Mammals,24
10104,Buru rain forests,Plants,79
10104,Buru rain forests,Reptiles,26
10105,Central Range montane rain forests,Amphibians,127
10105,Central Range montane rain forests,Birds,348
10105,Central Range montane rain forests,Mammals,139
10105,Central Range montane rain forests,Plants,94
10105,Central Range montane rain forests,Reptiles,79
10106,Halmahera rain forests,Amphibians,15
10106,Halmahera rain forests,Birds,223
10106,Halmahera rain forests,Mammals,50
10106,Halmahera rain forests,Plants,2161
10106,Halmahera rain forests,Reptiles,62
10107,Huon Peninsula montane rain forests,Amphibians,41
10107,Huon Peninsula montane rain forests,Birds,370
10107,Huon Peninsula montane rain forests,Mammals,77
10107,Huon Peninsula montane rain forests,Plants,26
10107,Huon Peninsula montane rain forests,Reptiles,81
10108,Yapen rain forests,Amphibians,16
10108,Yapen rain forests,Birds,147
10108,Yapen rain forests,Mammals,41
10108,Yapen rain forests,Plants,3283
10108,Yapen rain forests,Reptiles,64
10109,Lord Howe Island subtropical forests,Amphibians,0
10109,Lord Howe Island subtropical forests,Birds,29
10109,Lord Howe Island subtropical forests,Mammals,2
10109,Lord Howe Island subtropical forests,Plants,406
10109,Lord Howe Island subtropical forests,Reptiles,2
10110,Louisiade Archipelago rain forests,Amphibians,15
10110,Louisiade Archipelago rain forests,Birds,100
10110,Louisiade Archipelago rain forests,Mammals,26
10110,Louisiade Archipelago rain forests,Plants,135
10110,Louisiade Archipelago rain forests,Reptiles,34
10111,New Britain-New Ireland lowland rain forests,Amphibians,19
10111,New Britain-New Ireland lowland rain forests,Birds,185
10111,New Britain-New Ireland lowland rain forests,Mammals,53
10111,New Britain-New Ireland lowland rain forests,Plants,2334
10111,New Britain-New Ireland lowland rain forests,Reptiles,52
10112,New Britain-New Ireland montane rain forests,Amphibians,19
10112,New Britain-New Ireland montane rain forests,Birds,103
10112,New Britain-New Ireland montane rain forests,Mammals,44
