Our name,LUC Name
"Barley, average","Barley"
"Cauliflowers and broccoli, average","Cauliflowers and broccoli"
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"
"Coconut, in shell","Coconuts, in shell"
"Cucumbers and gherkins, greenhouse","Cucumbers and gherkins"
"Cucumbers and gherkins, openfield","Cucumbers and gherkins"
"Rape or colza seed, average","Rape or colza seed"
"Tomatoes, greenhouse","Tomatoes"
"Tomatoes, openfiled","Tomatoes"
"Wheat, average","Wheat"
