STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,crops,Crops,strucpro,Structure of production,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2017,,6.50,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2018,,6.60,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2019,,6.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2020,,6.90,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2021,,6.69,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2022,,6.66,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2023,,6.40,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2024,,6.48,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AL,Albania,2025,,4.62,,p,provisional,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2017,,0.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2018,,0.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2019,,0.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2020,,0.20,,,,,
