Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","1775.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","1743.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","1742","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","1810.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2024","2024","kg/ha","1741.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","kg/ha","703","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","705","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","704","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","704","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","kg/ha","704.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2020","2020","kg/ha","10562.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2021","2021","kg/ha","10559.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2022","2022","kg/ha","10556","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2023","2023","kg/ha","10451.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2024","2024","kg/ha","10341.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2020","2020","kg/ha","7538.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2021","2021","kg/ha","7661.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2022","2022","kg/ha","6378.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2023","2023","kg/ha","6883","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2024","2024","kg/ha","7249.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2020","2020","kg/ha","1483.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2021","2021","kg/ha","1616.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2022","2022","kg/ha","1528.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2023","2023","kg/ha","1374.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2024","2024","kg/ha","1428.6","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01701","Beans, dry","2020","2020","kg/ha","1847.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","1552.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","1552.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","1802.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01701","Beans, dry","2024","2024","kg/ha","1793.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01229","Cantaloupes and other melons","2020","2020","kg/ha","13462.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01229","Cantaloupes and other melons","2021","2021","kg/ha","13406.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01229","Cantaloupes and other melons","2022","2022","kg/ha","10774.3","E","Estimated value",""
