SUA Code,SUA Name,Category,Item Code,Item Name
01371,"Almonds, in shell",Nuts,221,"Almonds, with shell"
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,711,"Anise, badian, fennel, coriander"
01341,Apples,Fruits,515,Apples
01343,Apricots,Fruits,526,Apricots
01379.01,Areca nuts,Nuts,226,Areca nuts
01216,Artichokes,Vegetables,366,Artichokes
01211,Asparagus,Vegetables,367,Asparagus
01311,Avocados,Vegetables,572,Avocados
01312,Bananas,Fruits,486,Bananas
0115,"Barley, average","Cereals, incl feed",44,Barley
01701,"Beans, dry",Pulses,176,"Beans, dry"
01355.01,Blueberries,Berries,552,Blueberries
01377,"Brazil nuts, in shell",Nuts,221,"Almonds, with shell"
01702,"Broad beans and horse beans, dry","Pulses, incl feed",181,"Broad beans, horse beans, dry"
01243,"Broad beans and horse beans, green",Vegetables,181,"Broad beans, horse beans, dry"
01192,Buckwheat,Seeds,89,Buckwheat
01212,Cabbages,Vegetables,358,Cabbages and other brassicas
01195,Canary seed,Nuts,101,Canary seed
01229,Cantaloupes and other melons,Fruits,568,"Melons, other (inc.cantaloupes)"
01251,Carrots and turnips,Vegetables,426,Carrots and turnips
01372,"Cashew nuts, in shell",Nuts,217,"Cashew nuts, with shell"
01520.01,"Cassava, fresh",Vegetables,125,Cassava
01213,"Cauliflowers and broccoli, average",Vegetables,568,"Melons, other (inc.cantaloupes)"
01199.90,Cereals n.e.c.,Cereals,103,"Grain, mixed"
01344.02,Cherries,Berries,531,Cherries
01373,"Chestnuts, in shell",Nuts,220,Chestnut
01703,"Chick peas, dry",Pulses,191,Chick peas
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,401,"Chillies and peppers, green"
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,401,"Chillies and peppers, green"
01640,Cocoa beans,Stimulants,661,"Cocoa, beans"
01460,"Coconut, in shell",Nuts,249,Coconuts
01610,"Coffee, green",Stimulants,656,"Coffee, green"
01355.02,Cranberries,Berries,554,Cranberries
01232,"Cucumbers and gherkins, averrage",Vegetables,397,Cucumbers and gherkins
01351.01,Currants,Berries,550,Currants
01314,Dates,Fruits,577,Dates
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,149,Roots and tubers nes
01233,Eggplants (aubergines),Vegetables,399,Eggplants (aubergines)
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,1091,"Eggs, other bird, in shell"
01315,Figs,Fruits,569,Figs
01193,Fonio,Cereals,94,Fonio
21170.02,"game meat, fresh, chilled or frozen",Meat,1163,"Meat, game"
01351.02,Gooseberries,Berries,549,Gooseberries
01330,Grapes,Fruits,560,Grapes
01290.01,Green corn (maize),Vegetables,446,"Maize, green"
01252,Green garlic,Vegetables,406,Garlic
