RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.02.15.001,Common mushrooms,China,CN,0.028,0.07,01270
A.02.15.001,Common mushrooms,Cyprus,CY,0.016,0.07,01270
A.02.15.001,Common mushrooms,Greece,GR,0.124,0.07,01270
A.02.15.001,Common mushrooms,Hungary,HU,0.024,0.07,01270
A.02.15.001,Common mushrooms,Italy,IT,0.012,0.07,01270
A.02.15.001,Common mushrooms,Netherlands,NL,0.456,0.07,01270
A.02.15.001,Common mushrooms,Poland,PL,0.303,0.07,01270
A.02.15.001,Common mushrooms,Spain,ES,0.037,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),China,CN,0.028,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Cyprus,CY,0.016,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Greece,GR,0.124,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Hungary,HU,0.024,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Italy,IT,0.012,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Netherlands,NL,0.456,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Poland,PL,0.303,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Spain,ES,0.037,0.07,01270
A.02.15.003,Shiitake,China,CN,0.028,0.07,01270
A.02.15.003,Shiitake,Cyprus,CY,0.016,0.07,01270
A.02.15.003,Shiitake,Greece,GR,0.124,0.07,01270
A.02.15.003,Shiitake,Hungary,HU,0.024,0.07,01270
A.02.15.003,Shiitake,Italy,IT,0.012,0.07,01270
A.02.15.003,Shiitake,Netherlands,NL,0.456,0.07,01270
A.02.15.003,Shiitake,Poland,PL,0.303,0.07,01270
A.02.15.003,Shiitake,Spain,ES,0.037,0.07,01270
A.02.16.002,Honey mushroom,China,CN,0.028,0.07,01270
A.02.16.002,Honey mushroom,Cyprus,CY,0.016,0.07,01270
