RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.02.06.001,Beans (with pods) and similar-,Argentina,AR,0.021,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Canada,CA,0.115,0.06,01701
A.02.06.001,Beans (with pods) and similar-,China,CN,0.237,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Egypt,EG,0.034,0.06,01701
A.02.06.001,Beans (with pods) and similar-,France,FR,0.015,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Hungary,HU,0.108,0.06,01701
A.02.06.001,Beans (with pods) and similar-,USA,US,0.325,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Ethiopia,ET,0.145,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Argentina,AR,0.021,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Canada,CA,0.115,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,China,CN,0.237,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Egypt,EG,0.034,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,France,FR,0.015,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Hungary,HU,0.108,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,USA,US,0.325,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Ethiopia,ET,0.145,0.06,01701
A.04.02.001,Beans (dry) and similar-,Argentina,AR,0.021,0.06,01701
A.04.02.001,Beans (dry) and similar-,Canada,CA,0.115,0.06,01701
A.04.02.001,Beans (dry) and similar-,China,CN,0.237,0.06,01701
A.04.02.001,Beans (dry) and similar-,Egypt,EG,0.034,0.06,01701
A.04.02.001,Beans (dry) and similar-,France,FR,0.015,0.06,01701
A.04.02.001,Beans (dry) and similar-,Hungary,HU,0.108,0.06,01701
A.04.02.001,Beans (dry) and similar-,USA,US,0.325,0.06,01701
A.04.02.001,Beans (dry) and similar-,Ethiopia,ET,0.145,0.06,01701
A.04.02.008,Lima beans (dry),Argentina,AR,0.021,0.06,01701
A.04.02.008,Lima beans (dry),Canada,CA,0.115,0.06,01701
A.04.02.008,Lima beans (dry),China,CN,0.237,0.06,01701
A.04.02.008,Lima beans (dry),Egypt,EG,0.034,0.06,01701
A.04.02.008,Lima beans (dry),France,FR,0.015,0.06,01701
A.04.02.008,Lima beans (dry),Hungary,HU,0.108,0.06,01701
A.04.02.008,Lima beans (dry),USA,US,0.325,0.06,01701
A.04.02.008,Lima beans (dry),Ethiopia,ET,0.145,0.06,01701
A.04.02.009,Mung bean sprouts,Argentina,AR,0.021,0.06,01701
A.04.02.009,Mung bean sprouts,Canada,CA,0.115,0.06,01701
A.04.02.009,Mung bean sprouts,China,CN,0.237,0.06,01701
A.04.02.009,Mung bean sprouts,Egypt,EG,0.034,0.06,01701
A.04.02.009,Mung bean sprouts,France,FR,0.015,0.06,01701
A.04.02.009,Mung bean sprouts,Hungary,HU,0.108,0.06,01701
A.04.02.009,Mung bean sprouts,USA,US,0.325,0.06,01701
A.04.02.009,Mung bean sprouts,Ethiopia,ET,0.145,0.06,01701
A.06.01.006,Equine muscle,Argentina,AR,0.053,0.057,21118.01
A.06.01.006,Equine muscle,Brazil,BR,0.011,0.057,21118.01
A.06.01.006,Equine muscle,Canada,CA,0.017,0.057,21118.01
A.06.01.006,Equine muscle,France,FR,0.012,0.057,21118.01
A.06.01.006,Equine muscle,Hungary,HU,0.16,0.057,21118.01
A.06.01.006,Equine muscle,Ireland,IE,0.013,0.057,21118.01
A.06.01.006,Equine muscle,Italy,IT,0.297,0.057,21118.01
A.06.01.006,Equine muscle,Mexico,MX,0.037,0.057,21118.01
A.06.01.006,Equine muscle,Poland,PL,0.215,0.057,21118.01
A.06.01.006,Equine muscle,Romania,RO,0.02,0.057,21118.01
A.06.01.006,Equine muscle,Spain,ES,0.129,0.057,21118.01
A.06.01.006,Equine muscle,USA,US,0.023,0.057,21118.01
A.06.01.006,Equine muscle,Belgium,BE,0.014,0.057,21118.01
A.06.01.001,Bovine muscle,Austria,AT,0.101,0.057,21111.02
A.06.01.001,Bovine muscle,Germany,DE,0.037,0.057,21111.02
A.06.01.001,Bovine muscle,Hungary,HU,0.677,0.057,21111.02
A.06.01.001,Bovine muscle,Ireland,IE,0.018,0.057,21111.02
A.06.01.001,Bovine muscle,Netherlands,NL,0.014,0.057,21111.02
A.06.01.001,Bovine muscle,Czechia,CZ,0.02,0.057,21111.02
A.06.01.001,Bovine muscle,Poland,PL,0.115,0.057,21111.02
A.06.01.001,Bovine muscle,Romania,RO,0.019,0.057,21111.02
A.06.01.002,Calf fresh meat,Austria,AT,0.101,0.057,21111.02
A.06.01.002,Calf fresh meat,Germany,DE,0.037,0.057,21111.02
A.06.01.002,Calf fresh meat,Hungary,HU,0.677,0.057,21111.02
A.06.01.002,Calf fresh meat,Ireland,IE,0.018,0.057,21111.02
A.06.01.002,Calf fresh meat,Netherlands,NL,0.014,0.057,21111.02
A.06.01.002,Calf fresh meat,Czechia,CZ,0.02,0.057,21111.02
A.06.01.002,Calf fresh meat,Poland,PL,0.115,0.057,21111.02
A.06.01.002,Calf fresh meat,Romania,RO,0.019,0.057,21111.02
A.02.15.001,Common mushrooms,China,CN,0.013,0.07,01270
A.02.15.001,Common mushrooms,Germany,DE,0.013,0.07,01270
A.02.15.001,Common mushrooms,Hungary,HU,0.77,0.07,01270
A.02.15.001,Common mushrooms,Netherlands,NL,0.105,0.07,01270
A.02.15.001,Common mushrooms,Poland,PL,0.088,0.07,01270
A.02.15.001,Common mushrooms,Spain,ES,0.011,0.07,01270
