RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.02.06.001,Beans (with pods) and similar-,Argentina,AR,0.063,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Brazil,BR,0.015,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Canada,CA,0.173,0.06,01701
A.02.06.001,Beans (with pods) and similar-,China,CN,0.367,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Egypt,EG,0.049,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Italy,IT,0.091,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Poland,PL,0.014,0.06,01701
A.02.06.001,Beans (with pods) and similar-,USA,US,0.165,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Ethiopia,ET,0.062,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Argentina,AR,0.063,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Brazil,BR,0.015,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Canada,CA,0.173,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,China,CN,0.367,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Egypt,EG,0.049,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Italy,IT,0.091,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Poland,PL,0.014,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,USA,US,0.165,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Ethiopia,ET,0.062,0.06,01701
A.04.02.001,Beans (dry) and similar-,Argentina,AR,0.063,0.06,01701
A.04.02.001,Beans (dry) and similar-,Brazil,BR,0.015,0.06,01701
A.04.02.001,Beans (dry) and similar-,Canada,CA,0.173,0.06,01701
A.04.02.001,Beans (dry) and similar-,China,CN,0.367,0.06,01701
A.04.02.001,Beans (dry) and similar-,Egypt,EG,0.049,0.06,01701
A.04.02.001,Beans (dry) and similar-,Italy,IT,0.091,0.06,01701
A.04.02.001,Beans (dry) and similar-,Poland,PL,0.014,0.06,01701
A.04.02.001,Beans (dry) and similar-,USA,US,0.165,0.06,01701
A.04.02.001,Beans (dry) and similar-,Ethiopia,ET,0.062,0.06,01701
A.04.02.008,Lima beans (dry),Argentina,AR,0.063,0.06,01701
A.04.02.008,Lima beans (dry),Brazil,BR,0.015,0.06,01701
A.04.02.008,Lima beans (dry),Canada,CA,0.173,0.06,01701
A.04.02.008,Lima beans (dry),China,CN,0.367,0.06,01701
A.04.02.008,Lima beans (dry),Egypt,EG,0.049,0.06,01701
A.04.02.008,Lima beans (dry),Italy,IT,0.091,0.06,01701
A.04.02.008,Lima beans (dry),Poland,PL,0.014,0.06,01701
A.04.02.008,Lima beans (dry),USA,US,0.165,0.06,01701
A.04.02.008,Lima beans (dry),Ethiopia,ET,0.062,0.06,01701
A.04.02.009,Mung bean sprouts,Argentina,AR,0.063,0.06,01701
A.04.02.009,Mung bean sprouts,Brazil,BR,0.015,0.06,01701
A.04.02.009,Mung bean sprouts,Canada,CA,0.173,0.06,01701
A.04.02.009,Mung bean sprouts,China,CN,0.367,0.06,01701
A.04.02.009,Mung bean sprouts,Egypt,EG,0.049,0.06,01701
