RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.05.02.001,Apples,Poland,PL,0.975,0.07,01341
A.05.02.001,Apples,Ukraine,UA,0.025,0.07,01341
A.05.02.007,Sorb fruits,Poland,PL,0.975,0.07,01341
A.05.02.007,Sorb fruits,Ukraine,UA,0.025,0.07,01341
A.05.03.001,Apricots,France,FR,0.026,0.07,01343
A.05.03.001,Apricots,Greece,GR,0.021,0.07,01343
A.05.03.001,Apricots,Italy,IT,0.021,0.07,01343
A.05.03.001,Apricots,Poland,PL,0.156,0.07,01343
A.05.03.001,Apricots,Spain,ES,0.079,0.07,01343
A.05.03.001,Apricots,Turkey,TR,0.698,0.07,01343
A.01.02.002.001,Barley grains,Denmark,DK,0.017,0.045,0115
A.01.02.002.001,Barley grains,Germany,DE,0.011,0.045,0115
A.01.02.002.001,Barley grains,Czechia,CZ,0.029,0.045,0115
A.01.02.002.001,Barley grains,Poland,PL,0.908,0.045,0115
A.01.02.002.001,Barley grains,Slovakia,SK,0.023,0.045,0115
A.01.02.002.001,Barley grains,Sweden,SE,0.012,0.045,0115
A.02.06.001,Beans (with pods) and similar-,Canada,CA,0.018,0.06,01701
A.02.06.001,Beans (with pods) and similar-,China,CN,0.098,0.06,01701
A.02.06.001,Beans (with pods) and similar-,India,IN,0.014,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Niger,NE,0.021,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Peru,PE,0.016,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Poland,PL,0.785,0.06,01701
A.02.06.001,Beans (with pods) and similar-,USA,US,0.028,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Ethiopia,ET,0.02,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Canada,CA,0.018,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,China,CN,0.098,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,India,IN,0.014,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Niger,NE,0.021,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Peru,PE,0.016,0.06,01701
