"Category","Country","Farm-to-retail waste"
"Berries","Denmark",0.07
"Cereals","Denmark",0.045
"Cereals, incl feed","Denmark",0.045
"Fruits","Denmark",0.07
"Mushrooms","Denmark",0.07
"Nuts","Denmark",0.06
"Oil crops","Denmark",0.06
"Oil crops, tree","Denmark",0.06
"Other","Denmark",0.06
"Pulses","Denmark",0.06
"Pulses, incl feed","Denmark",0.06
"Roots","Denmark",0.24
"Seeds","Denmark",0.06
"Spices","Denmark",0.07
"Stimulants","Denmark",0.07
"Sugar crops","Denmark",0.045
"Vegetables","Denmark",0.07
"Meat","Denmark",0.057
"Dairy","Denmark",0.017
"Fish","Denmark",0.02
"Berries","France",0.07
"Cereals","France",0.045
"Cereals, incl feed","France",0.045
"Fruits","France",0.07
"Mushrooms","France",0.07
"Nuts","France",0.06
"Oil crops","France",0.06
"Oil crops, tree","France",0.06
"Other","France",0.06
"Pulses","France",0.06
"Pulses, incl feed","France",0.06
"Roots","France",0.24
"Seeds","France",0.06
"Spices","France",0.07
"Stimulants","France",0.07
"Sugar crops","France",0.045
"Vegetables","France",0.07
"Meat","France",0.057
"Dairy","France",0.017
"Fish","France",0.02
"Berries","Germany",0.07
"Cereals","Germany",0.045
"Cereals, incl feed","Germany",0.045
"Fruits","Germany",0.07
"Mushrooms","Germany",0.07
"Nuts","Germany",0.06
"Oil crops","Germany",0.06
"Oil crops, tree","Germany",0.06
"Other","Germany",0.06
"Pulses","Germany",0.06
"Pulses, incl feed","Germany",0.06
"Roots","Germany",0.24
"Seeds","Germany",0.06
"Spices","Germany",0.07
"Stimulants","Germany",0.07
"Sugar crops","Germany",0.045
"Vegetables","Germany",0.07
"Meat","Germany",0.057
"Dairy","Germany",0.017
"Fish","Germany",0.02
"Berries","Greece",0.07
"Cereals","Greece",0.045
"Cereals, incl feed","Greece",0.045
"Fruits","Greece",0.07
"Mushrooms","Greece",0.07
"Nuts","Greece",0.06
"Oil crops","Greece",0.06
"Oil crops, tree","Greece",0.06
"Other","Greece",0.06
"Pulses","Greece",0.06
"Pulses, incl feed","Greece",0.06
"Roots","Greece",0.24
"Seeds","Greece",0.06
"Spices","Greece",0.07
"Stimulants","Greece",0.07
"Sugar crops","Greece",0.045
"Vegetables","Greece",0.07
"Meat","Greece",0.057
"Dairy","Greece",0.017
"Fish","Greece",0.02
"Berries","Hungary",0.07
"Cereals","Hungary",0.045
"Cereals, incl feed","Hungary",0.045
"Fruits","Hungary",0.07
"Mushrooms","Hungary",0.07
"Nuts","Hungary",0.06
"Oil crops","Hungary",0.06
"Oil crops, tree","Hungary",0.06
"Other","Hungary",0.06
"Pulses","Hungary",0.06
"Pulses, incl feed","Hungary",0.06
"Roots","Hungary",0.24
"Seeds","Hungary",0.06
"Spices","Hungary",0.07
"Stimulants","Hungary",0.07
"Sugar crops","Hungary",0.045
"Vegetables","Hungary",0.07
"Meat","Hungary",0.057
"Dairy","Hungary",0.017
"Fish","Hungary",0.02
"Berries","Ireland",0.07
"Cereals","Ireland",0.045
"Cereals, incl feed","Ireland",0.045
"Fruits","Ireland",0.07
"Mushrooms","Ireland",0.07
"Nuts","Ireland",0.06
"Oil crops","Ireland",0.06
"Oil crops, tree","Ireland",0.06
"Other","Ireland",0.06
"Pulses","Ireland",0.06
"Pulses, incl feed","Ireland",0.06
"Roots","Ireland",0.24
"Seeds","Ireland",0.06
"Spices","Ireland",0.07
"Stimulants","Ireland",0.07
"Sugar crops","Ireland",0.045
"Vegetables","Ireland",0.07
"Meat","Ireland",0.057
"Dairy","Ireland",0.017
"Fish","Ireland",0.02
"Berries","Italy",0.07
"Cereals","Italy",0.045
"Cereals, incl feed","Italy",0.045
"Fruits","Italy",0.07
"Mushrooms","Italy",0.07
"Nuts","Italy",0.06
"Oil crops","Italy",0.06
"Oil crops, tree","Italy",0.06
"Other","Italy",0.06
"Pulses","Italy",0.06
"Pulses, incl feed","Italy",0.06
"Roots","Italy",0.24
"Seeds","Italy",0.06
"Spices","Italy",0.07
"Stimulants","Italy",0.07
"Sugar crops","Italy",0.045
"Vegetables","Italy",0.07
"Meat","Italy",0.057
"Dairy","Italy",0.017
