EAT,FBS,SUA
2,1,1
2,1,2
3,1,1
3,1,2
3,2,1
3,2,2
3,2,3
3,2,4
3,3,1
3,3,2
3,3,3
4,1,1
4,1,2
4,1,3
4,1,4
4,2,1
4,3,1
4,3,2
4,3,3
4,3,4
5,1,1
5,1,2
5,2,1
5,2,2
5,2,3
5,2,4
5,3,1
6,1,1
6,1,2
7,1,1
7,2,1
7,2,2
7,3,1
7,3,2
9,2,1
9,2,2
9,2,3
9,2,4
9,3,1
9,3,2
9,3,3
9,4,1
9,4,2
10,1,1
10,1,2
10,1,3
10,1,4
10,2,1
10,3,1
10,3,2
10,3,3
10,3,4
10,4,1
10,4,2
10,4,3
10,4,4
11,1,1
12,1,1
12,1,2
12,1,3
12,1,4
13,1,1
13,2,1
14,2,1
14,3,1
14,4,1
14,4,2
14,4,3
14,4,4
16,1,1
16,1,2
16,1,3
16,2,1
16,2,2
16,2,3
16,3,1
16,3,2
16,3,3
16,4,1
16,4,2
16,4,3
17,1,1
17,1,2
17,1,3
17,1,4
18,1,1
18,1,2
18,2,1
18,2,2

