SUA ID,FBS ID,Amount (g),Organic (%),Production waste (%),Retail waste (%),Consumer waste (%),Technical Improvement (% y/y),Origin
0111,2511,115.63,84.72,38.78,88.80,70.14,23.74,se:21.83 ir:78.17
23110,2511,688.05,73.53,,,,,
39120.01,2511,74.30,55.79,,,,,
23710,2511,0.00,49.14,,,,,
23140.01,2511,499.50,69.45,,,,,
F0020,2511,488.35,19.73,,,,,
23140.02,2511,144.63,29.45,,,,,
F0022,2511,392.74,83.91,,,,,
23220.01,2511,115.56,41.63,,,,,
23220.02,2511,550.64,45.33,,,,,
23140.03,2511,375.75,76.62,,,,,
23490.01,2511,955.65,32.75,,,,,
23180,2511,13.09,23.59,,,,,
23999.02,2511,969.43,78.04,,,,,
0113,2805,579.08,29.00,21.82,71.47,49.13,6.57,de:17.38 se:33.49 ir:16.39 es:24.93 uk:7.81
23162,2805,29.17,31.70,,,,,
23161.01,2805,832.21,17.79,,,,,
23161.02,2805,0.00,91.97,,,,,
23161.03,2805,733.93,67.13,,,,,
39130.01,2805,321.14,41.35,,,,,
23220.03,2805,445.49,19.92,,,,,
39120.02,2805,912.29,51.89,,,,,
23120.01,2805,348.56,14.55,,,,,
0115,2513,387.39,32.87,81.62,46.99,12.32,60.70,ir:86.24 fr:7.30 se:0.42 uk:5.48 es:0.56
23140.04,2513,494.78,89.36,,,,,
23140.05,2513,503.20,6.07,,,,,
39120.03,2513,184.22,3.57,,,,,
23120.02,2513,961.47,11.88,,,,,
24320,2513,801.49,28.94,,,,,
23999.01,2513,7.79,76.33,,,,,
0112,2514,964.46,93.70,70.06,61.58,90.85,73.81,uk:33.39 dk:22.59 ir:37.84 fr:1.57 se:4.61
23140.06,2514,0.00,14.14,,,,,
23120.03,2514,635.50,4.19,,,,,
39120.04,2514,525.37,69.69,,,,,
39130.02,2514,531.65,94.36,,,,,
23220.04,2514,48.77,13.54,,,,,
0116,2515,497.84,24.69,91.55,22.21,80.53,32.18,dk:24.39 de:75.61
23120.04,2515,0.00,9.78,,,,,
39120.05,2515,348.52,55.77,,,,,
0117,2516,463.59,61.88,26.01,51.44,82.31,97.23,uk:74.93 dk:2.95 fr:14.00 se:8.11
23140.07,2516,707.94,95.59,,,,,
39120.06,2516,477.44,51.06,,,,,
0118,2517,860.50,45.20,17.84,62.86,98.87,92.49,uk:76.72 se:12.30 dk:6.91 fr:4.08
23120.05,2517,795.27,47.39,,,,,
39120.07,2517,0.00,10.55,,,,,
0114,2518,336.51,13.90,48.51,60.29,79.84,56.95,dk:98.47 de:0.86 se:0.67
23120.06,2518,458.81,92.68,,,,,
39120.08,2518,868.08,8.07,,,,,
01192,2520,465.07,86.15,98.11,73.27,93.96,55.75,ir:7.55 se:26.37 es:37.53 fr:7.17 de:21.38
23120.07,2520,0.00,52.05,,,,,
39120.09,2520,40.30,69.93,,,,,
01194,2520,854.27,54.47,,,,,
01193,2520,226.87,26.18,,,,,
23120.08,2520,283.50,52.04,,,,,
39120.10,2520,695.10,50.57,,,,,
01191,2520,310.58,66.09,,,,,
23120.09,2520,982.39,35.87,,,,,
39120.11,2520,389.66,35.88,,,,,
01195,2520,405.07,52.13,,,,,
01199.02,2520,0.00,10.95,,,,,
23120.10,2520,838.66,67.63,,,,,
39120.12,2520,984.69,59.35,,,,,
01199.90,2520,375.32,82.90,,,,,
23120.90,2520,81.26,16.46,,,,,
39120.13,2520,513.59,8.59,,,,,
23140.08,2520,87.75,57.44,,,,,
01510,2531,0.00,78.48,77.45,10.14,87.81,87.52,se:9.69 fr:84.70 de:5.61
21392,2531,425.40,48.24,,,,,
21313,2531,936.27,60.91,,,,,
23220.05,2531,862.37,89.37,,,,,
23230.01,2531,332.26,8.98,,,,,
01530,2533,0.00,72.78,31.75,40.30,86.06,92.86,uk:100.00
01520.01,2532,394.26,37.62,76.20,42.38,83.59,78.35,se:100.00
23170.01,2532,211.29,83.80,,,,,
23230.02,2532,249.82,17.35,,,,,
01520.02,2532,0.00,51.92,,,,,
23220.06,2532,247.29,35.66,,,,,
01540,2535,927.22,92.07,13.62,65.43,12.76,20.05,de:34.84 ir:42.66 es:19.25 fr:0.51 dk:2.74
01591,2534,827.24,54.44,30.93,54.67,38.13,52.46,fr:14.26 es:37.43 de:48.30
01550,2534,887.82,53.31,,,,,
01599.10,2534,710.41,34.12,,,,,
23170.02,2534,850.68,90.35,,,,,
01599.20,2534,403.28,17.60,,,,,
01802,2536,896.83,23.46,75.49,88.12,18.69,0.01,ir:100.00
01801,2537,559.32,36.73,55.53,33.37,13.65,64.59,es:89.49 fr:10.02 de:0.39 ir:0.09 uk:0.01
23511.02,2541,759.53,60.52,68.03,38.27,0.68,43.41,es:100.00
2351f,2542,353.65,20.83,20.58,88.12,38.28,10.40,ir:98.45 se:0.84 es:0.71
23511.01,2542,498.66,99.83,,,,,
23512,2542,428.22,97.37,,,,,
23520,2542,446.49,11.64,,,,,
23670.01,2542,0.00,62.12,,,,,
23210.01,2543,45.38,61.27,97.46,74.74,19.03,23.78,es:100.00
23210.02,2543,584.34,62.81,,,,,
23530,2543,0.00,68.72,,,,,
01809,2543,548.67,93.43,,,,,
23540,2543,69.63,4.99,,,,,
23210.03,2543,0.00,54.99,,,,,
23210.04,2543,390.01,84.06,,,,,
23210.05,2543,680.48,3.13,,,,,
23210.06,2543,89.08,19.07,,,,,
23210.08,2543,813.40,41.24,,,,,
24490,2543,0.00,25.81,,,,,
02910,2745,133.51,59.36,47.27,20.34,35.91,43.22,se:1.35 de:48.31 dk:36.92 ir:13.42
01701,2546,738.17,13.78,50.22,23.53,80.61,59.95,fr:90.12 es:3.14 dk:0.22 se:6.52
01705,2547,553.81,65.38,89.68,17.80,33.20,90.78,es:59.93 se:28.60 de:11.47
01702,2549,657.38,50.86,39.72,77.60,75.56,0.79,se:87.70 ir:12.30
