SUA ID,FBS ID,Amount (g),Organic (%),Production waste (%),Retail waste (%),Consumer waste (%),Technical Improvement (% y/y),Origin
0111,2511,704.98,65.61,82.93,56.28,19.79,20.17,de:44.72 fr:11.49 dk:10.81 ir:15.79 uk:17.20
23110,2511,228.66,64.14,,,,,
39120.01,2511,265.01,44.58,,,,,
23710,2511,541.20,35.54,,,,,
23140.01,2511,320.22,21.37,,,,,
F0020,2511,468.32,13.95,,,,,
23140.02,2511,367.50,31.59,,,,,
F0022,2511,633.32,3.29,,,,,
23220.01,2511,149.45,84.64,,,,,
23220.02,2511,969.44,71.45,,,,,
23140.03,2511,751.08,14.65,,,,,
23490.01,2511,810.56,92.46,,,,,
23180,2511,605.74,60.04,,,,,
23999.02,2511,651.42,45.54,,,,,
0113,2805,109.41,34.72,4.42,73.26,69.92,56.84,ir:3.30 es:66.05 de:30.12 uk:0.24 dk:0.29
23162,2805,816.11,28.31,,,,,
23161.01,2805,387.94,63.17,,,,,
23161.02,2805,753.17,7.99,,,,,
23161.03,2805,985.99,36.12,,,,,
39130.01,2805,765.05,20.66,,,,,
23220.03,2805,889.28,84.20,,,,,
39120.02,2805,0.00,30.52,,,,,
23120.01,2805,595.89,11.93,,,,,
0115,2513,659.35,33.66,70.75,42.44,85.26,34.68,de:90.36 es:9.63 dk:0.01 se:0.00 uk:0.00
23140.04,2513,969.14,67.57,,,,,
23140.05,2513,167.74,21.94,,,,,
39120.03,2513,165.52,47.02,,,,,
23120.02,2513,486.18,68.43,,,,,
24320,2513,980.96,82.90,,,,,
23999.01,2513,253.23,76.27,,,,,
0112,2514,33.75,51.63,97.19,78.77,70.05,92.60,dk:56.60 se:11.71 uk:19.08 ir:12.61
23140.06,2514,530.79,65.08,,,,,
23120.03,2514,474.67,64.99,,,,,
39120.04,2514,606.49,29.37,,,,,
39130.02,2514,181.21,85.30,,,,,
23220.04,2514,0.00,8.85,,,,,
0116,2515,447.85,91.17,14.72,96.74,84.85,3.93,de:46.52 se:34.81 es:18.67
23120.04,2515,821.88,72.24,,,,,
39120.05,2515,84.64,51.07,,,,,
0117,2516,460.26,95.72,92.64,58.28,16.66,52.01,dk:53.42 ir:46.58
23140.07,2516,108.45,76.63,,,,,
39120.06,2516,0.00,35.81,,,,,
0118,2517,813.38,50.77,13.58,81.22,66.55,69.39,dk:100.00
23120.05,2517,167.12,4.72,,,,,
39120.07,2517,23.00,83.40,,,,,
0114,2518,189.38,26.86,73.75,15.15,82.66,38.04,fr:15.54 se:84.31 de:0.12 uk:0.02 dk:0.01
23120.06,2518,550.39,33.95,,,,,
39120.08,2518,849.06,98.89,,,,,
01192,2520,0.00,96.70,3.57,22.28,38.15,1.48,dk:13.67 ir:70.37 uk:6.86 se:0.07 es:9.03
23120.07,2520,501.05,7.85,,,,,
39120.09,2520,0.00,19.45,,,,,
01194,2520,539.33,45.02,,,,,
01193,2520,326.96,84.75,,,,,
23120.08,2520,878.89,38.89,,,,,
39120.10,2520,860.83,68.57,,,,,
01191,2520,424.02,9.17,,,,,
23120.09,2520,0.00,69.14,,,,,
39120.11,2520,0.00,84.67,,,,,
01195,2520,313.24,48.30,,,,,
01199.02,2520,214.05,58.99,,,,,
23120.10,2520,161.16,79.32,,,,,
39120.12,2520,208.02,71.69,,,,,
01199.90,2520,306.73,98.21,,,,,
23120.90,2520,557.46,52.85,,,,,
39120.13,2520,0.00,13.16,,,,,
23140.08,2520,0.00,94.98,,,,,
01510,2531,172.81,34.53,7.75,84.37,70.28,94.48,de:100.00
21392,2531,456.83,20.90,,,,,
21313,2531,768.34,8.29,,,,,
23220.05,2531,956.52,51.94,,,,,
23230.01,2531,540.68,18.29,,,,,
01530,2533,773.00,70.51,34.73,31.86,19.17,82.67,se:100.00
01520.01,2532,118.22,5.65,71.67,99.82,28.75,1.20,uk:16.98 dk:83.02
23170.01,2532,540.58,38.44,,,,,
23230.02,2532,720.12,45.14,,,,,
01520.02,2532,206.04,34.41,,,,,
23220.06,2532,830.15,77.77,,,,,
01540,2535,589.48,4.07,96.69,0.10,57.81,56.20,fr:100.00
01591,2534,427.58,79.21,68.67,47.52,27.29,76.39,se:83.66 uk:16.34
01550,2534,252.76,58.60,,,,,
01599.10,2534,240.64,38.24,,,,,
23170.02,2534,428.21,6.17,,,,,
01599.20,2534,52.77,3.54,,,,,
01802,2536,404.76,77.58,62.47,18.39,8.59,47.73,es:100.00
01801,2537,398.51,79.93,2.76,91.60,12.58,4.50,es:2.30 de:17.71 se:79.99
23511.02,2541,214.83,11.78,34.28,97.24,20.49,82.38,dk:44.13 se:34.63 fr:12.08 uk:9.16
2351f,2542,750.78,35.50,33.68,11.62,63.26,42.40,ir:24.49 fr:32.14 es:43.37
23511.01,2542,291.95,70.08,,,,,
23512,2542,5.74,12.98,,,,,
23520,2542,0.00,56.09,,,,,
23670.01,2542,929.33,94.22,,,,,
23210.01,2543,777.91,81.71,93.41,81.83,20.41,10.81,ir:51.71 de:48.29
23210.02,2543,0.69,93.73,,,,,
23530,2543,77.42,92.34,,,,,
01809,2543,526.41,66.54,,,,,
23540,2543,807.62,72.59,,,,,
23210.03,2543,83.28,34.19,,,,,
23210.04,2543,273.29,99.48,,,,,
23210.05,2543,454.93,4.48,,,,,
23210.06,2543,596.70,77.08,,,,,
23210.08,2543,507.60,42.77,,,,,
24490,2543,704.92,0.91,,,,,
02910,2745,446.16,80.04,43.80,70.72,95.77,67.16,es:100.00
01701,2546,23.09,42.75,94.33,78.19,87.55,38.01,de:29.32 es:70.68
01705,2547,260.01,34.95,10.56,77.79,96.23,22.90,dk:16.10 uk:8.70 fr:75.20
01702,2549,453.88,34.81,71.50,39.75,19.81,96.56,se:42.30 fr:7.96 es:49.75
01703,2549,476.02,28.38,,,,,
01706,2549,896.07,27.97,,,,,
01707,2549,734.38,50.95,,,,,
01704,2549,0.00,10.26,,,,,
01708,2549,0.00,57.20,,,,,
01709.01,2549,436.25,42.18,,,,,
01709.02,2549,689.64,94.13,,,,,
01709.90,2549,511.65,74.99,,,,,
23170.03,2549,153.23,83.61,,,,,
39120.14,2549,849.60,69.40,,,,,
01377,2551,411.60,16.61,7.54,62.78,53.85,59.51,dk:24.92 de:24.80 se:50.28
01372,2551,106.25,63.16,,,,,
01373,2551,907.26,65.91,,,,,
01371,2551,853.86,39.16,,,,,
01376,2551,453.12,72.17,,,,,
01375,2551,634.79,30.15,,,,,
01379.02,2551,676.17,33.43,,,,,
01374,2551,735.56,30.86,,,,,
01379.01,2551,213.75,31.06,,,,,
21429.01,2551,256.85,62.73,,,,,
21424,2551,470.21,37.66,,,,,
21422,2551,140.30,88.84,,,,,
21429.02,2551,308.64,61.97,,,,,
21423,2551,105.24,39.56,,,,,
01379.90,2551,343.64,74.42,,,,,
F0235,2551,157.09,51.47,,,,,
0141,2555,767.84,50.03,71.69,4.95,54.43,59.50,ir:91.03 de:6.12 uk:2.85
23995.01,2555,404.98,60.28,,,,,
23995.02,2555,0.00,98.46,,,,,
23999.03,2555,896.41,57.21,,,,,
0142,2556,0.00,36.57,89.96,3.35,18.80,10.65,dk:25.70 se:17.53 de:12.56 es:41.07 fr:3.14
21421,2556,995.61,81.83,,,,,
21495.01,2556,188.06,2.73,,,,,
21495.02,2556,625.61,6.42,,,,,
01445,2557,920.36,70.39,84.31,84.50,79.23,42.44,fr:48.28 uk:51.72
