SUA ID,FBS ID,Amount (g),Organic (%),Production waste (%),Retail waste (%),Consumer waste (%),Technical Improvement (% y/y),Origin
0111,2511,678.41,49.93,19.30,75.47,83.58,29.72,dk:100.00
23110,2511,497.97,86.22,,,,,
39120.01,2511,81.63,65.80,,,,,
23710,2511,219.10,31.78,,,,,
23140.01,2511,517.44,42.81,,,,,
F0020,2511,562.93,68.70,,,,,
23140.02,2511,794.43,0.91,,,,,
F0022,2511,395.57,93.13,,,,,
23220.01,2511,0.00,28.04,,,,,
23220.02,2511,836.24,50.26,,,,,
23140.03,2511,952.81,98.21,,,,,
23490.01,2511,647.19,34.94,,,,,
23180,2511,261.20,20.72,,,,,
23999.02,2511,586.36,4.08,,,,,
0113,2805,793.03,17.36,26.48,60.62,5.56,28.29,ir:68.18 de:31.82
23162,2805,812.47,41.54,,,,,
23161.01,2805,715.41,85.74,,,,,
23161.02,2805,371.43,98.51,,,,,
23161.03,2805,285.63,9.26,,,,,
39130.01,2805,477.50,76.94,,,,,
23220.03,2805,892.31,15.68,,,,,
39120.02,2805,16.63,84.39,,,,,
23120.01,2805,366.12,85.44,,,,,
0115,2513,505.11,57.09,94.03,76.35,85.47,57.46,uk:100.00
23140.04,2513,656.59,87.88,,,,,
23140.05,2513,118.22,57.45,,,,,
39120.03,2513,325.80,23.40,,,,,
23120.02,2513,157.45,87.58,,,,,
24320,2513,683.21,47.83,,,,,
23999.01,2513,855.98,83.28,,,,,
0112,2514,617.07,40.09,95.88,50.20,18.38,19.11,es:53.49 ir:16.70 de:18.85 uk:10.96
23140.06,2514,666.96,12.73,,,,,
23120.03,2514,452.84,97.98,,,,,
39120.04,2514,566.07,84.93,,,,,
39130.02,2514,950.56,48.02,,,,,
23220.04,2514,702.14,8.16,,,,,
0116,2515,41.09,59.83,79.16,29.14,31.34,24.09,dk:65.58 se:26.29 es:0.20 uk:7.93
23120.04,2515,784.62,46.00,,,,,
39120.05,2515,747.80,50.15,,,,,
