SUA ID,FBS ID,Amount (g),Organic (%),Production waste (%),Retail waste (%),Consumer waste (%),Technical Improvement (% y/y),Origin
0111,2511,695.87,1.90,15.90,63.04,51.84,60.62,dk:39.52 uk:7.05 de:20.66 se:32.77
23110,2511,0.00,75.57,,,,,
39120.01,2511,900.45,5.17,,,,,
23710,2511,148.55,20.95,,,,,
23140.01,2511,392.88,47.90,,,,,
F0020,2511,529.58,27.57,,,,,
23140.02,2511,917.76,1.32,,,,,
F0022,2511,0.00,71.61,,,,,
23220.01,2511,813.42,37.71,,,,,
23220.02,2511,606.78,59.18,,,,,
23140.03,2511,528.42,56.05,,,,,
23490.01,2511,847.87,18.28,,,,,
23180,2511,405.53,20.52,,,,,
23999.02,2511,172.89,35.86,,,,,
0113,2805,626.34,84.47,90.59,49.84,61.72,82.62,fr:12.75 de:87.25
23162,2805,132.72,9.42,,,,,
23161.01,2805,518.75,54.93,,,,,
23161.02,2805,461.03,3.30,,,,,
23161.03,2805,549.03,98.18,,,,,
39130.01,2805,4.96,81.93,,,,,
23220.03,2805,852.84,35.69,,,,,
39120.02,2805,0.00,39.44,,,,,
23120.01,2805,953.77,45.19,,,,,
0115,2513,780.18,11.59,18.50,11.56,84.12,91.45,de:12.50 es:53.21 uk:34.29
23140.04,2513,437.98,7.85,,,,,
23140.05,2513,0.00,44.32,,,,,
39120.03,2513,207.01,65.29,,,,,
23120.02,2513,384.28,28.28,,,,,
24320,2513,435.22,66.87,,,,,
23999.01,2513,0.00,83.27,,,,,
0112,2514,57.83,15.42,60.70,13.68,83.80,92.72,fr:22.94 de:59.40 es:14.06 uk:3.61
23140.06,2514,628.35,19.39,,,,,
23120.03,2514,215.46,15.06,,,,,
39120.04,2514,485.56,50.31,,,,,
39130.02,2514,745.30,92.55,,,,,
23220.04,2514,776.79,23.20,,,,,
0116,2515,196.52,70.65,75.54,77.06,86.73,24.51,uk:10.72 ir:69.33 fr:19.95
23120.04,2515,849.15,71.61,,,,,
39120.05,2515,346.26,5.39,,,,,
0117,2516,320.00,28.44,14.71,69.62,1.45,65.84,es:71.71 ir:21.45 dk:6.84
23140.07,2516,724.17,7.72,,,,,
39120.06,2516,980.20,17.20,,,,,
0118,2517,841.28,1.74,62.59,91.97,24.74,14.14,ir:98.83 de:0.24 es:0.93
23120.05,2517,407.68,89.08,,,,,
39120.07,2517,145.06,31.40,,,,,
0114,2518,539.21,12.60,33.91,76.47,23.10,93.39,es:24.58 fr:8.57 de:47.68 uk:19.17
23120.06,2518,90.13,23.48,,,,,
39120.08,2518,0.00,63.33,,,,,
01192,2520,636.28,16.50,8.60,77.06,28.02,45.01,se:28.25 es:30.72 uk:35.18 dk:1.17 de:4.68
23120.07,2520,884.75,46.20,,,,,
39120.09,2520,0.00,28.57,,,,,
01194,2520,227.57,80.20,,,,,
01193,2520,142.94,41.57,,,,,
23120.08,2520,804.89,79.10,,,,,
39120.10,2520,522.48,37.04,,,,,
01191,2520,898.17,32.92,,,,,
23120.09,2520,492.12,67.30,,,,,
39120.11,2520,260.98,0.23,,,,,
01195,2520,138.51,14.69,,,,,
01199.02,2520,156.28,67.10,,,,,
23120.10,2520,764.25,63.81,,,,,
39120.12,2520,87.36,10.67,,,,,
01199.90,2520,640.84,50.72,,,,,
23120.90,2520,831.76,0.71,,,,,
39120.13,2520,504.06,2.28,,,,,
23140.08,2520,218.19,88.98,,,,,
01510,2531,978.87,98.42,9.96,13.70,91.47,90.40,se:49.69 es:50.31
21392,2531,0.28,41.61,,,,,
21313,2531,740.46,22.28,,,,,
23220.05,2531,0.00,50.79,,,,,
23230.01,2531,0.00,73.91,,,,,
01530,2533,0.00,67.74,90.18,7.56,65.06,19.24,es:86.53 dk:11.54 fr:1.60 de:0.32
