SUA ID,FBS ID,Amount (g),Organic (%),Production waste (%),Retail waste (%),Consumer waste (%),Technical Improvement (% y/y),Origin
0111,2511,186.99,47.37,93.64,9.17,93.93,15.63,fr:23.38 dk:28.49 de:47.21 ir:0.92
23110,2511,0.00,31.98,,,,,
39120.01,2511,241.62,21.39,,,,,
23710,2511,362.80,51.30,,,,,
23140.01,2511,872.12,31.03,,,,,
F0020,2511,106.11,79.48,,,,,
23140.02,2511,584.14,79.81,,,,,
F0022,2511,610.07,98.74,,,,,
23220.01,2511,904.63,76.00,,,,,
23220.02,2511,312.25,36.09,,,,,
23140.03,2511,703.71,71.09,,,,,
23490.01,2511,11.45,21.06,,,,,
23180,2511,564.26,4.72,,,,,
23999.02,2511,436.62,15.05,,,,,
0113,2805,0.00,28.14,11.42,98.05,93.97,28.35,es:100.00
23162,2805,446.50,70.52,,,,,
23161.01,2805,725.61,17.76,,,,,
23161.02,2805,987.17,66.82,,,,,
23161.03,2805,613.93,79.87,,,,,
39130.01,2805,0.00,79.40,,,,,
23220.03,2805,425.11,97.18,,,,,
39120.02,2805,0.00,45.96,,,,,
23120.01,2805,822.64,90.81,,,,,
0115,2513,83.65,14.04,49.59,17.60,86.55,81.56,es:15.55 uk:11.47 de:6.40 se:66.58
23140.04,2513,727.15,15.36,,,,,
23140.05,2513,361.47,33.47,,,,,
39120.03,2513,234.52,22.85,,,,,
23120.02,2513,117.39,31.01,,,,,
24320,2513,0.00,45.82,,,,,
23999.01,2513,906.47,55.98,,,,,
0112,2514,943.45,64.73,27.57,96.17,16.54,51.89,de:72.41 se:27.59
23140.06,2514,345.71,98.49,,,,,
23120.03,2514,894.51,6.69,,,,,
39120.04,2514,63.56,47.05,,,,,
39130.02,2514,235.68,78.02,,,,,
23220.04,2514,943.77,6.24,,,,,
0116,2515,750.16,27.43,64.75,49.95,37.22,12.68,fr:6.71 ir:68.95 se:15.12 es:0.23 uk:9.00
23120.04,2515,910.22,90.67,,,,,
39120.05,2515,62.60,59.57,,,,,
0117,2516,797.97,48.85,50.58,2.09,40.45,4.68,uk:100.00
23140.07,2516,0.00,23.58,,,,,
39120.06,2516,72.23,28.98,,,,,
0118,2517,104.03,55.55,26.74,72.36,86.17,12.55,dk:5.47 es:69.24 uk:17.19 ir:6.75 se:1.34
23120.05,2517,147.62,0.88,,,,,
39120.07,2517,46.26,67.55,,,,,
0114,2518,533.54,97.78,11.04,33.14,88.00,7.89,es:45.51 se:20.90 uk:33.58
23120.06,2518,511.78,81.11,,,,,
39120.08,2518,125.19,26.21,,,,,
01192,2520,990.35,25.09,22.81,44.38,94.13,29.30,uk:6.73 dk:67.27 fr:4.38 es:12.53 ir:9.10
23120.07,2520,306.36,53.96,,,,,
39120.09,2520,682.01,91.92,,,,,
01194,2520,687.26,39.71,,,,,
01193,2520,237.31,77.75,,,,,
23120.08,2520,910.89,45.18,,,,,
39120.10,2520,100.55,89.33,,,,,
01191,2520,0.00,24.44,,,,,
23120.09,2520,684.71,68.19,,,,,
39120.11,2520,0.00,49.37,,,,,
01195,2520,178.18,62.34,,,,,
01199.02,2520,496.99,49.06,,,,,
23120.10,2520,746.80,16.41,,,,,
39120.12,2520,757.21,94.59,,,,,
01199.90,2520,781.55,54.91,,,,,
23120.90,2520,167.31,58.39,,,,,
39120.13,2520,0.00,98.29,,,,,
23140.08,2520,673.06,93.11,,,,,
01510,2531,820.91,90.46,57.63,41.52,78.79,54.68,uk:100.00
21392,2531,323.44,42.98,,,,,
21313,2531,281.15,3.41,,,,,
23220.05,2531,430.37,10.92,,,,,
23230.01,2531,911.33,14.83,,,,,
01530,2533,0.00,33.93,49.16,27.66,45.20,87.62,ir:17.58 uk:82.42
01520.01,2532,835.66,59.82,45.25,94.63,10.58,39.20,es:100.00
23170.01,2532,492.94,69.32,,,,,
23230.02,2532,291.59,66.74,,,,,
01520.02,2532,506.80,40.20,,,,,
23220.06,2532,324.37,15.37,,,,,
01540,2535,180.24,75.67,36.91,87.00,91.66,66.22,es:83.17 se:7.82 fr:9.01
01591,2534,338.35,58.05,84.28,93.80,66.62,21.40,dk:30.38 se:53.66 ir:7.65 de:0.87 fr:7.44
01550,2534,590.16,70.65,,,,,
01599.10,2534,40.79,53.02,,,,,
23170.02,2534,0.00,59.91,,,,,
01599.20,2534,357.98,49.12,,,,,
01802,2536,271.17,40.77,50.01,0.14,5.17,38.36,de:49.29 dk:2.85 fr:47.86
01801,2537,94.95,88.81,11.99,54.11,56.51,74.68,dk:100.00
23511.02,2541,869.59,20.11,5.21,19.86,25.62,97.38,fr:68.20 de:19.41 se:11.22 es:1.17
2351f,2542,0.00,81.04,52.89,92.12,50.25,92.78,dk:4.35 de:62.43 ir:23.71 uk:8.25 es:1.26
23511.01,2542,844.11,95.64,,,,,
23512,2542,705.80,54.18,,,,,
23520,2542,360.66,18.05,,,,,
23670.01,2542,884.60,96.58,,,,,
23210.01,2543,691.64,35.12,58.52,72.94,89.21,7.61,uk:38.53 ir:61.47
23210.02,2543,682.56,33.45,,,,,
23530,2543,981.64,84.12,,,,,
01809,2543,775.36,48.35,,,,,
23540,2543,0.00,79.13,,,,,
23210.03,2543,931.67,88.56,,,,,
23210.04,2543,554.19,42.37,,,,,
23210.05,2543,0.00,48.95,,,,,
23210.06,2543,82.79,76.19,,,,,
23210.08,2543,429.65,27.76,,,,,
24490,2543,492.12,86.59,,,,,
02910,2745,465.31,83.10,29.27,93.80,23.75,77.54,es:64.43 se:8.88 fr:23.97 de:1.03 uk:1.69
01701,2546,601.69,44.75,36.92,85.23,85.25,5.96,se:66.91 ir:33.09
01705,2547,704.94,9.40,36.60,97.83,15.95,97.40,dk:78.55 de:7.48 uk:9.59 se:4.39
01702,2549,54.73,1.13,28.89,92.12,38.47,95.62,dk:32.12 de:13.53 fr:1.55 ir:29.86 es:22.93
01703,2549,421.85,34.90,,,,,
01706,2549,112.19,88.44,,,,,
01707,2549,967.52,9.23,,,,,
01704,2549,629.94,17.35,,,,,
01708,2549,505.29,78.35,,,,,
01709.01,2549,528.84,38.95,,,,,
01709.02,2549,0.00,68.69,,,,,
01709.90,2549,843.41,67.47,,,,,
23170.03,2549,85.62,0.39,,,,,
39120.14,2549,552.57,76.85,,,,,
01377,2551,288.28,32.23,65.58,24.03,98.55,2.19,dk:100.00
01372,2551,172.32,9.49,,,,,
01373,2551,549.85,90.60,,,,,
01371,2551,0.00,36.18,,,,,
01376,2551,93.53,42.04,,,,,
01375,2551,983.22,96.40,,,,,
01379.02,2551,917.25,32.02,,,,,
01374,2551,524.66,38.67,,,,,
01379.01,2551,124.03,83.44,,,,,
21429.01,2551,909.34,36.85,,,,,
21424,2551,588.34,90.42,,,,,
21422,2551,915.26,85.65,,,,,
21429.02,2551,999.57,52.31,,,,,
21423,2551,127.60,9.90,,,,,
01379.90,2551,485.42,20.94,,,,,
F0235,2551,583.93,45.45,,,,,
0141,2555,240.05,79.43,35.61,80.10,46.86,1.35,ir:100.00
23995.01,2555,859.09,73.62,,,,,
23995.02,2555,754.87,42.35,,,,,
23999.03,2555,635.75,61.70,,,,,
0142,2556,0.00,78.97,85.53,3.96,46.57,14.23,de:12.77 ir:75.25 es:6.43 uk:1.34 dk:4.21
21421,2556,0.00,39.20,,,,,
21495.01,2556,858.70,86.11,,,,,
21495.02,2556,809.93,70.85,,,,,
01445,2557,271.10,17.39,97.40,39.96,63.05,14.02,es:100.00
01443,2558,278.72,60.97,68.62,47.54,86.82,24.76,fr:100.00
01442,2558,256.62,96.62,,,,,
23995.03,2558,246.88,57.04,,,,,
0143,2559,0.00,83.02,95.54,14.72,76.14,44.84,de:92.21 ir:2.80 es:4.99
01460,2560,783.20,32.91,14.32,54.75,93.20,45.43,uk:100.00
21429.07,2560,807.32,45.20,,,,,
01492,2560,878.45,98.76,,,,,
01444,2561,0.00,28.23,1.25,50.74,49.03,90.47,es:100.00
01491.01,2562,958.18,48.39,93.12,78.14,52.57,49.68,de:39.96 dk:42.83 es:4.26 se:12.95
01491.02,2562,74.45,68.45,,,,,
01450,2563,0.00,60.40,31.47,96.30,90.91,40.48,es:71.78 de:5.38 fr:22.85
F0262,2563,248.61,28.39,,,,,
01499.01,2570,40.15,61.19,71.37,61.09,80.86,65.42,es:29.72 se:55.59 uk:6.85 ir:7.84
01447,2570,289.30,85.49,,,,,
01499.02,2570,895.25,0.15,,,,,
01499.03,2570,466.30,79.87,,,,,
01446,2570,695.26,43.70,,,,,
01448,2570,0.00,9.96,,,,,
01449.01,2570,43.75,28.35,,,,,
01499.04,2570,392.62,72.91,,,,,
01499.05,2570,872.94,59.60,,,,,
01499.06,2570,784.05,40.98,,,,,
01499.07,2570,646.37,54.61,,,,,
01441,2570,467.87,86.11,,,,,
01449.02,2570,870.55,4.58,,,,,
01449.90,2570,340.01,80.34,,,,,
21920,2570,681.28,54.16,,,,,
2161,2571,13.87,57.00,24.27,69.63,75.31,96.06,de:71.69 dk:20.08 uk:7.99 ir:0.16 se:0.08
2162,2572,54.54,48.60,43.28,89.22,10.59,76.74,ir:48.21 uk:47.24 es:3.60 de:0.21 dk:0.74
21631.01,2573,800.36,92.18,9.77,29.42,51.39,98.39,de:27.22 dk:18.57 es:6.43 ir:47.78
21641.01,2574,156.78,81.14,28.63,93.98,19.22,97.52,ir:7.28 fr:11.37 se:68.77 es:1.65 uk:10.93
21641.02,2574,62.35,35.37,,,,,
2168,2575,984.06,49.43,69.52,29.87,46.89,92.78,se:29.76 es:70.24
21691.14,2576,0.86,11.94,36.56,91.95,20.41,5.83,es:32.41 fr:67.59
2165,2577,320.54,40.79,41.87,93.07,60.97,35.94,se:100.00
34120,2577,451.77,88.10,,,,,
21932.02,2577,806.65,5.71,,,,,
2166,2578,483.54,6.15,2.49,45.13,39.26,63.05,fr:100.00
21691.07,2579,390.45,43.74,87.40,19.18,77.62,69.73,es:75.46 fr:20.30 uk:0.97 se:0.43 dk:2.84
2167,2580,811.05,14.66,93.83,85.44,54.62,33.94,dk:63.60 es:11.33 uk:16.28 ir:8.80
21673,2580,613.35,22.30,,,,,
21691.01,2581,823.46,46.58,96.14,93.35,35.84,54.39,uk:60.35 es:29.30 se:8.90 dk:1.44
21691.02,2582,256.87,49.82,20.36,35.81,52.75,80.75,se:12.31 uk:50.06 es:10.26 de:27.37
21691.03,2586,72.31,47.86,76.55,42.44,24.54,78.47,de:78.00 ir:5.03 uk:14.21 es:2.75
21691.04,2586,868.46,75.88,,,,,
21691.05,2586,184.53,5.42,,,,,
21691.06,2586,299.95,97.16,,,,,
21631.02,2586,482.52,64.68,,,,,
21691.08,2586,900.90,64.79,,,,,
21691.09,2586,388.07,37.74,,,,,
21691.1,2586,639.67,69.54,,,,,
21691.11,2586,360.30,74.49,,,,,
21691.12,2586,810.57,92.96,,,,,
21691.13,2586,337.91,4.17,,,,,
21691.90,2586,499.75,47.82,,,,,
23620,2586,783.69,63.97,,,,,
21700.01,2586,8.93,15.68,,,,,
21700.02,2586,942.07,79.92,,,,,
21693.02,2586,416.49,8.55,,,,,
34550,2586,584.53,8.75,,,,,
F1275,2586,651.91,84.20,,,,,
01234,2601,607.28,53.83,68.23,43.78,55.99,99.81,de:98.68 ir:1.32
21321,2601,715.55,95.77,,,,,
21399.01,2601,835.85,78.42,,,,,
21399.02,2601,887.21,94.75,,,,,
01253.02,2602,67.16,74.84,76.51,87.14,31.17,31.45,es:17.75 dk:66.43 uk:4.05 de:1.70 fr:10.07
01212,2605,966.92,77.93,65.68,83.94,3.01,59.78,dk:100.00
01216,2605,209.02,90.26,,,,,
01211,2605,154.95,83.75,,,,,
01214,2605,277.12,9.52,,,,,
01215,2605,687.08,6.02,,,,,
01219.01,2605,429.66,52.89,,,,,
01213,2605,0.00,44.57,,,,,
01221,2605,7.56,12.30,,,,,
01229,2605,542.41,9.12,,,,,
01235,2605,139.09,87.27,,,,,
01232,2605,630.99,84.57,,,,,
01233,2605,616.84,63.69,,,,,
01231,2605,503.60,98.03,,,,,
01253.01,2605,359.53,7.48,,,,,
01252,2605,284.14,34.03,,,,,
01254,2605,39.90,25.60,,,,,
01241.90,2605,952.11,46.61,,,,,
01242,2605,648.84,43.20,,,,,
01243,2605,62.97,83.83,,,,,
01241.01,2605,468.76,69.72,,,,,
01251,2605,0.00,54.74,,,,,
01239.01,2605,597.47,35.40,,,,,
01290.01,2605,502.66,51.75,,,,,
21319.01,2605,98.62,49.94,,,,,
21399.03,2605,711.95,55.40,,,,,
01270,2605,758.51,51.33,,,,,
21393.01,2605,514.25,97.29,,,,,
21397.01,2605,466.76,93.91,,,,,
01691,2605,308.96,39.31,,,,,
01990.01,2605,495.93,12.32,,,,,
01356,2605,575.98,34.00,,,,,
01290.90,2605,990.90,58.88,,,,,
21329,2605,617.21,49.79,,,,,
21393.90,2605,952.98,1.27,,,,,
21340,2605,570.14,98.49,,,,,
F0472,2605,447.63,93.53,,,,,
F0473,2605,616.41,35.64,,,,,
21330.90,2605,401.67,67.95,,,,,
F0475,2605,413.25,79.54,,,,,
23991.02,2605,195.89,76.14,,,,,
23912.01,2605,301.75,37.68,,,,,
01323,2611,172.66,46.06,86.89,73.05,31.32,39.65,se:59.72 fr:12.95 dk:3.80 de:23.39 ir:0.14
21431.01,2611,919.06,3.22,,,,,
21431.02,2611,478.61,99.76,,,,,
01324,2611,953.58,30.53,,,,,
21439.01,2611,270.49,52.02,,,,,
01322,2612,0.00,42.98,71.61,91.46,56.21,79.92,ir:80.08 uk:4.52 fr:9.60 se:2.75 de:3.04
21439.02,2612,453.92,4.83,,,,,
21439.03,2612,111.20,3.13,,,,,
01321,2613,384.66,11.35,57.53,67.40,45.30,95.33,de:100.00
21432,2613,751.83,15.17,,,,,
21432.01,2613,690.19,7.68,,,,,
01329,2614,309.97,85.38,49.93,0.75,78.81,82.19,dk:28.52 de:17.21 se:49.39 ir:4.88
21439.04,2614,811.60,59.99,,,,,
21439.05,2614,476.79,74.94,,,,,
01312,2615,248.98,46.33,82.27,49.36,84.27,22.10,se:81.19 de:3.20 ir:7.21 es:8.40
01313,2616,962.01,17.65,6.91,48.16,34.20,47.38,es:47.52 dk:52.48
01341,2617,163.32,96.72,68.54,74.89,2.99,23.34,fr:100.00
21435.01,2617,630.44,3.62,,,,,
21435.02,2617,632.10,37.24,,,,,
01318,2618,0.00,53.57,81.00,81.90,40.63,99.09,de:100.00
21491,2618,0.00,87.11,,,,,
21433,2618,163.37,77.43,,,,,
21433.01,2618,342.64,80.02,,,,,
01314,2619,206.08,56.05,44.79,76.26,14.11,42.80,uk:30.58 se:43.28 dk:26.15
01330,2620,50.38,92.73,93.09,64.49,56.64,23.62,de:50.79 ir:44.41 fr:2.72 es:1.05 dk:1.04
21411,2620,759.92,99.35,,,,,
21434,2620,267.67,49.89,,,,,
24212.01,2620,967.30,78.00,,,,,
01342.01,2625,344.56,60.67,84.77,59.06,11.38,30.80,uk:70.39 se:9.28 es:13.83 dk:3.01 fr:3.49
01342.02,2625,483.59,82.04,,,,,
01343,2625,512.44,16.81,,,,,
21419.01,2625,506.80,51.08,,,,,
01344.01,2625,197.63,37.90,,,,,
01344.02,2625,826.04,3.85,,,,,
01345,2625,389.09,18.09,,,,,
01346,2625,285.78,58.99,,,,,
21412,2625,167.47,57.38,,,,,
21439.06,2625,282.91,23.37,,,,,
21439.07,2625,965.16,86.65,,,,,
01349.20,2625,70.99,31.37,,,,,
01349.10,2625,881.83,34.24,,,,,
01354,2625,254.62,23.81,,,,,
01353.01,2625,432.23,68.86,,,,,
01351.02,2625,389.31,28.84,,,,,
01351.01,2625,414.33,35.53,,,,,
01355.01,2625,149.14,8.01,,,,,
01355.02,2625,0.00,36.34,,,,,
01355.90,2625,97.25,16.50,,,,,
01315,2625,0.00,30.69,,,,,
21419.02,2625,771.04,6.95,,,,,
