Food code,Food name,FoodEx2 code,FoodEx2 name,Facet(s) code,Facet(s) description,Reverse yield factor,Source(s),Reference(s),Reference link
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A07GG,PROCESS=Cooking in water,0.56,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Wheat, whole, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A07HC$F28.A07LA,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing",1.07,Extrapolation,based on 'Coffee beans',
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A07LG,PROCESS=Flaking,1.18,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Breakfast cereal => Wheat),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A07LH,PROCESS=Flattening / rolling,1.00,Assumption,Default value of 1,
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A07LL,PROCESS=Puffing / expanding,1.08,Extrapolation,based on 'corn',
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A07MF,PROCESS=Distillation,1.47,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Bev. Dist. Alcohol => Wheat),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C03$F02.A067Y,"PROCESS=Grain milling, PART-NATURE=Bran (as part-nature)",5.56,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Wheat bran => Wheat),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C03$F02.A067Z$F10.A06HR,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=Integral /not refined",1.11,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Wheat, upper bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C03$F02.A067Z$F10.A07XK,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=White/refined",1.43,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Wheat, lower bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C03$F02.A067Z$F10.A0EZZ,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=Semi-refined",1.27,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Wheat, middle bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C03$F02.A068A,"PROCESS=Grain milling, PART-NATURE=Germ (as part-nature)",50.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Wheat germ => Wheat),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.43,Extrapolation,based on 'refined wheat flour',
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C03$F28.A0C02$F02.A068A,"PROCESS=Grain milling, PROCESS=Oil production, PART-NATURE=Germ (as part-nature)",50.00,Extrapolation,based on 'wheat germ',
A.01.02.001,Wheat grain,A001N,Common wheat grain,F28.A0C0B,PROCESS=Starch production,1.49,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Starch => Wheat),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001.002,"Wheat grain, Durum",A001P,Durum wheat grain,F28.A07LA,PROCESS=Grinding / milling / crushing,1.00,Assumption,Default value of 1,
A.01.02.001.002,"Wheat grain, Durum",A001P,Durum wheat grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.001.002,"Wheat grain, Durum",A001P,Durum wheat grain,F28.A0C03$F02.A067Z$F10.A06HR,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=Integral /not refined",1.11,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Wheat, upper bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001.002,"Wheat grain, Durum",A001P,Durum wheat grain,F28.A0C03$F02.A067Z$F10.A07XK,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=White/refined",1.43,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Wheat, lower bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.001.002,"Wheat grain, Durum",A001P,Durum wheat grain,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.43,Extrapolation,based on 'refined wheat flour',
A.01.02.001.003,"Wheat grain, soft",A001N,Common wheat grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.001.003,"Wheat grain, soft",A001N,Common wheat grain,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.43,Extrapolation,based on 'refined wheat flour',
A.01.02.001.004,Bulgur wheat,A001P,Durum wheat grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A07GG,PROCESS=Cooking in water,0.40,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Barley pearled, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A07HC$F28.A07LA,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing",1.07,Extrapolation,based on 'Coffee beans',
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A07LG,PROCESS=Flaking,1.39,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Breakfast cereal => Barley),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A07LH,PROCESS=Flattening / rolling,1.00,Assumption,Default value of 1,
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A07MF,PROCESS=Distillation,1.96,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Bev. Dist. Alcohol =>Barley),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A0BZV,PROCESS=Polishing,1.39,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Pot barley => Barley),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A0C03$F02.A067Z,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature)",1.85,Literature,"USDA (1992), Weights, Measures, and Conversion Factors for Agricultural Commodities and Their Products || (Barley => Barley flour)",https://naldc.nal.usda.gov/download/CAT92978524/PDF
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.85,Extrapolation,based on 'barley flour',
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A0C0L,PROCESS=Malting,1.37,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Barley malt => Barley),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.002.001,"Barley grain, whole",A000P,Barley grains,F28.A0C0L$F28.A07MJ,"PROCESS=Malting, PROCESS=Extraction",1.71,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Malt Extract => Barley malt => Barley),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.003,Corn grain,A000T,Maize grain,F28.A07LG,PROCESS=Flaking,2.60,Literature,"USDA (1992), Weights, Measures, and Conversion Factors for Agricultural Commodities and Their Products || (Corn flakes or Corn Cereal => Corn)",https://naldc.nal.usda.gov/download/CAT92978524/PDF
A.01.02.003,Corn grain,A000T,Maize grain,F28.A07LH,PROCESS=Flattening / rolling,1.00,Assumption,Default value of 1,
A.01.02.003,Corn grain,A000T,Maize grain,F28.A07LL,PROCESS=Puffing / expanding,1.08,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Popcorn, PROCESS=popped)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.01.02.003,Corn grain,A000T,Maize grain,F28.A07MF,PROCESS=Distillation,1.54,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Bev. Dist. Alcohol => Maize),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.003,Corn grain,A000T,Maize grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.003,Corn grain,A000T,Maize grain,F28.A0C03$F02.A067Z,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature)",1.22,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Maize),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.003,Corn grain,A000T,Maize grain,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.22,Extrapolation,based on 'maize flour',
A.01.02.003,Corn grain,A000T,Maize grain,F28.A0C03$F28.A0C02$F02.A068A,"PROCESS=Grain milling, PROCESS=Oil production, PART-NATURE=Germ (as part-nature)",37.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Maize oil => Maize),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.003,Corn grain,A000T,Maize grain,F28.A0C04$F02.A06EG,"PROCESS=Sugar production, PART-NATURE=Syrup (as part-nature)",1.63,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Glucose and Dextrose => Maize),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.003,Corn grain,A000T,Maize grain,F28.A0C0B,PROCESS=Starch production,1.63,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Starch => Maize),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.004,Rye grain,A001K,Rye grain,F28.A07HC$F28.A07LA,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing",1.07,Extrapolation,based on 'Coffee beans',
A.01.02.004,Rye grain,A001K,Rye grain,F28.A07LA,PROCESS=Grinding / milling / crushing,1.00,Assumption,Default value of 1,
A.01.02.004,Rye grain,A001K,Rye grain,F28.A07LG,PROCESS=Flaking,1.18,Extrapolation,based on 'wheat',
A.01.02.004,Rye grain,A001K,Rye grain,F28.A07LH,PROCESS=Flattening / rolling,1.00,Assumption,Default value of 1,
A.01.02.004,Rye grain,A001K,Rye grain,F28.A07MF,PROCESS=Distillation,1.55,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Bev. Dist. Alcohol => Rye),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
