Kastner et al. group;Perfect match with SUA?;Sua alternative
Almonds, with shell;No;Almonds, in shell
Anise, badian, fennel, coriander;No;anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw
Apples;Yes;
Apricots;Yes;
Areca nuts;Yes;
Artichokes;Yes;
Asparagus;Yes;
Avocados;Yes;
Bananas;Yes;
Barley;Yes;
Beans, dry;Yes;
Beans, green;No;beans, dry
;;
Blueberries;Yes;
Broad beans, horse beans, dry;No;broad beans and horse beans, dry
Buckwheat;Yes;
Cabbages and other brassicas;No;Cabbages
Canary seed;Yes;
Carrots and turnips;Yes;
Cashew nuts, with shell;No;Cashew nuts, in shell
Cassava;No;Cassava, fresh
Cauliflowers and broccoli;Yes;
Cherries;Yes;
Cherries, sour;No;sour cherries
Chestnut;No;chestnuts, in shell
Chick peas;No;chick peas, dry
Chillies and peppers, dry;No;chillies and peppers, dry (capsicum spp. and pimenta spp.), raw
Chillies and peppers, green;No;chillies and peppers, green (capsicum spp. and pimenta spp.)
;;
;;
Cocoa, beans;No;cocoa beans
Coconuts;No;coconuts, in shell
Coffee, green;Yes;
Cranberries;Yes;
Cucumbers and gherkins;Yes;
Currants;Yes;
Dates;Yes;
Eggplants (aubergines);Yes;
Eggs, hen, in shell;No;hen eggs in shell, fresh
Eggs, other bird, in shell;No;eggs from other birds in shell, fresh, n.e.c.
;;
Figs;Yes;
;;
Fonio;Yes;
Fruit, fresh nes;No;Other fruits, n.e.c.
;;
Garlic;No;green garlic
;;
Gooseberries;Yes;
Grain, mixed;No;mixed grain
Grapefruit (inc. pomelos);No;pomelos and grapefruits
Grapes;Yes;
Hazelnuts, with shell;No;hazelnuts, in shell
Honey, natural;No;natural honey
;;
;;
Kiwi fruit;Yes;
Kola nuts;Yes;
Leeks, other alliaceous vegetables;No;leeks and other alliaceous vegetables
Lemons and limes;Yes;
Lentils;No;lentils, dry
Lettuce and chicory;Yes;
Linseed;Yes;
Maize;No;maize (corn)
Maize, green;No;green corn (maize) 
Mangoes, mangosteens, guavas;No;mangoes, guavas, mangosteens
;;
Maté;No;maté leaves
;;
Meat, ass;No;meat of asses, fresh or chilled
Meat, cattle;No;meat of cattle with the bone, fresh or chilled
Meat, chicken;No;meat of chickens, fresh or chilled
Meat, duck;No;meat of ducks, fresh or chilled
Meat, game;No;game meat, fresh, chilled or frozen
Meat, goat;No;meat of goat, fresh or chilled
Meat, goose and guinea fowl;No;meat of geese, fresh or chilled
Meat, horse;No;horse meat, fresh or chilled
Meat, pig;No;pig meat, cuts, salted, dried or smoked (bacon and ham)
Meat, rabbit;No;meat of rabbits and hares, fresh or chilled
Meat, sheep;No;meat of sheep, fresh or chilled
Meat, turkey;No;meat of turkeys, fresh or chilled
Melons, other (inc.cantaloupes);No;cantaloupes and other melons 
Milk, whole fresh cow;No;raw milk of cattle
Milk, whole fresh sheep;No;raw milk of sheep
Millet;Yes;
Mushrooms and truffles;Yes;
Mustard seed;Yes;
;;
Nutmeg, mace and cardamoms;No;nutmeg, mace, cardamoms, raw
;;
Oats;Yes;
Oilseeds nes;No;other oil seeds, n.e.c.
Olives;Yes;
Onions, dry;No;onions and shallots, dry (excluding dehydrated)
;;
Oranges;Yes;
Papayas;Yes;
Peaches and nectarines;Yes;
Pears;Yes;
Peas, dry;Yes;
Peas, green;Yes;
Pepper (piper spp.);No;pepper (piper spp.), raw
;;
Persimmons;Yes;
Pineapples;Yes;
Pistachios;No;pistachios, in shell
Plantains and others;Yes;
Plums and sloes;Yes;
Poppy seed;Yes;
Potatoes;Yes;
Pumpkins, squash and gourds;Yes;
;;
Quinces;Yes;
Quinoa;Yes;
Rapeseed;No;rapeseed or colza seed
Roots and tubers nes;No;edible roots and tubers with high starch or inulin content, n.e.c., fresh
;;
Rye;Yes;
Sesame seed;Yes;
;;
Sorghum;Yes;
Soybeans;No;soya beans
Spices nes;No;other stimulant, spice and aromatic crops, n.e.c. 
Spinach;Yes;
Strawberries;Yes;
Sugar beet;Yes;
Sunflower seed;Yes;
Sweet potatoes;Yes;
Tangerines, mandarins, clementines, satsumas;No;tangerines, mandarins, clementines
;;
;;
Tomatoes;Yes;
Triticale;Yes;
;;
Vegetables, fresh nes;No;Other vegetables, fresh n.e.c.
Vetches;Yes;
Walnuts, with shell;No;walnuts, in shell
Watermelons;Yes;
Wheat;Yes;
