FoodEx code,FoodEx name,Grown in country,Share,Waste,Organic
A.10.07,0,Sweden,100,22,77
A.04.02.021,0,Denmark,30,0,93
A.04.02.021,0,Germany,70,4,34
A.02.08.001,0,RoW,100,28,50
A.02.08.002,0,Finland,20,0,44
A.02.08.002,0,Kenya,40,29,79
A.02.08.002,0,Sweden,40,19,5
A.01.02.003,0,Sweden,100,10,56
A.16.10.002,0,Finland,100,23,93
A.16.10.009,0,Italy,100,2,72
A.15.01,0,France,100,11,68
A.16.09.003,0,France,100,7,74
A.02.11.001,0,Bolivia,100,14,82
A.08.01.001.002,0,Germany,100,6,53
A.09.01.001,0,Poland,10,7,41
A.09.01.001,0,Belgiun,20,13,97
A.01.02.001,0,Netherlands,70,16,51
A.05.01.003,0,Sweden,100,2,32
A.04.03.006,0,Denmark,100,18,17
A.15.03.002,0,Germany,100,1,5
A.05.06.021,0,RoW,100,23,21
