Crop code;Crop name;Category
1371;Almonds, in shell;Nuts
1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;Vegetables
1341;Apples;Fruits
1343;Apricots;Fruits
1216;Artichokes;Vegetables
1211;Asparagus;Vegetables
1311;Avocados;Vegetables
1312;Bananas;Fruits
115;Barley, average;Cereals, incl feed
0115_s;Barley, spring;Cereals
0115_w;Barley, winter;Cereals
1701;Beans, dry;Pulses
1355.01;Blueberries;Berries
1377;Brazil nuts, in shell;Nuts
1702;Broad beans and horse beans, dry;Pulses, incl feed
1243;Broad beans and horse beans, green;Vegetables
1192;Buckwheat;Seeds
1212;Cabbages;Vegetables
1229;Cantaloupes and other melons;Fruits
1251;Carrots and turnips;Vegetables
1372;Cashew nuts, in shell;Nuts
1213;Cauliflowers and broccoli, average;Vegetables
01213_b;Broccoli;Vegetables
01213_cf;Cauliflowers;Vegetables
1199.9;Cereals n.e.c.;Cereals
1344.02;Cherries;Berries
1373;Chestnuts, in shell;Nuts
1703;Chick peas, dry;Pulses
1652;Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw;Spices
1640;Cocoa beans;Stimulants
1460;Coconut, in shell;Nuts
1610;Coffee, green;Stimulants
1232;Cucumbers and gherkins, averrage;Vegetables
01232_gh;Cucumbers and gherkins, greenhouse;Vegetables
01232_of;Cucumbers and gherkins, openfield;Vegetables
1351.01;Currants;Berries
1314;Dates;Fruits
1599.1;Edible roots and tubers with high starch or inulin content, n.e.c., fresh;Roots
1233;Eggplants (aubergines);Vegetables
1315;Figs;Fruits
1351.02;Gooseberries;Berries
1330;Grapes;Fruits
1290.01;Green corn (maize);Vegetables
1252;Green garlic;Vegetables
142;Groundnuts, excluding shelled;Nuts
1374;Hazelnuts, in shell;Nuts
1352;Kiwi fruit;Fruits
1254;Leeks and other alliaceous vegetables;Vegetables
1322;Lemons and limes;Fruits
1704;Lentils, dry (organic);Pulses
1214;Lettuce and chicory;Vegetables
1441;Linseed;Seeds
1709.02;Lupins;Pulses
112;Maize (corn);Cereals, incl feed
1316;Mangoes, guavas and mangosteens;Fruits
118;Millet;Cereals
1199.02;Mixed grain;Cereals
1270;Mushrooms and truffles;Mushroom
117;Oats;Cereals, incl feed
1491.01;Oil palm fruit;Oil crops, tree
1450;Olives;Oil crops, tree
1253.02;Onions and shallots, dry (excluding dehydrated);Vegetables
1323;Oranges;Fruits
1241.9;Other beans, green;Vegetables
1359.9;Other fruits, n.e.c.;Fruits
1449.9;Other oil seeds, n.e.c.;Oil crops
1709.9;Other pulses n.e.c.;Pulses
1699;Other stimulant, spice and aromatic crops, n.e.c.;Stimulants
1290.9;Other vegetables, fresh n.e.c.;Vegetables
1317;Papayas;Fruits
1345;Peaches and nectarines;Fruits
1342.01;Pears;Fruits
1705;Peas, dry;Pulses, incl feed
1242;Peas, green;Vegetables
1651;Pepper (Piper spp.), raw;Vegetables
1318;Pineapples;Fruits
1313;Plantains and cooking bananas;Fruits
1346;Plums and sloes;Fruits
1321;Pomelos and grapefruits;Fruits
1448;Poppy seed;Seeds
1510;Potatoes;Roots
1235;Pumpkins, squash and gourds;Vegetables
1342.02;Quinces;Other
1194;Quinoa;Seeds
1443;Rape or colza seed;Oil crops
01443_s;Rape or colza seed, spring;Oil crops
01443_w;Rape or colza seed, winter;Oil crops
1353.01;Raspberries;Berries
113;Rice;Cereals
116;Rye;Cereals, incl feed
114;Sorghum;Cereals
1344.01;Sour cherries;Fruits
141;Soya beans;Pulses
1215;Spinach;Vegetables
1354;Strawberries;Fruits
1801;Sugar beet;Sugar crops
1802;Sugar cane;Sugar crops
1445;Sunflower seed;Oil crops
1530;Sweet potatoes;Roots
1324;Tangerines, mandarins, clementines;Fruits
1234;Tomatoes, average;Vegetables
01234_gh;Tomatoes, greenhouse;Vegetables
01234_of;Tomatoes, openfield;Vegetables
1191;Triticale;Cereals
1929.02;True hemp, raw or retted;Other
1709.01;Vetches;Other
1376;Walnuts, in shell;Nuts
1221;Watermelons;Fruits
111;Wheat, average;Cereals, incl feed
0111_s;Wheat, spring;Cereals
0111_w;Wheat, winter;Cereals
