no.csv,Code,Name,Category,Country_name,Country_code,Carbon_Footprint,Carbon_Dioxide,Methane_fossil,Methane_bio,Nitrous_Oxide,HFC,Land,N_input,P_input,Water,Pesticides,Biodiversity,Ammonia,Labour,Animal_Welfare,Antibiotics
1,1701,"Beans, dry",Pulses,Argentina,AR,0.44502821,0.300761377,4.46E-04,0,4.80E-04,NA,7.98760324,3.66E-02,5.56E-03,2.90E-02,1.052455134,8.18E-10,1.01E-03,8.06E-02,,
2,1703,"Chick peas, dry",Pulses,Argentina,AR,0.259465297,0.20285089,2.82E-04,0,1.77E-04,NA,6.635700066,4.18E-02,1.69E-03,2.41E-02,1.541284404,6.80E-10,0,6.69E-02,,
3,1322,Lemons and limes,Fruits,Argentina,AR,0.265840463,0.184193902,5.50E-04,0,2.39E-04,NA,0.301782934,7.85E-03,2.26E-03,1.70E-02,0.406336054,3.09E-11,4.77E-04,6.00E-02,,
4,1342.01,Pears,Fruits,Argentina,AR,0.251721141,0.19277845,5.77E-04,0,1.53E-04,NA,0.37531226,3.04E-03,4.14E-04,0.284,0.701963397,3.84E-11,1.85E-04,7.87E-02,,
5,114,Sorghum,Cereals,Argentina,AR,0.355044596,0.216201048,4.30E-04,0,4.62E-04,NA,2.275302501,2.00E-02,6.83E-03,1.30E-02,0.139780884,2.33E-10,1.22E-03,1.95E-02,,
6,141,Soya beans,Pulses,Argentina,AR,0.235115259,0.161812399,2.85E-04,0,2.37E-04,NA,3.437441993,3.20E-02,1.72E-03,5.00E-03,0.316244663,3.52E-10,2.09E-04,3.59E-02,,
7,1371,"Almonds, in shell",Nuts,Australia,AU,0.820894438,0.661957561,7.22E-04,0,5.03E-04,NA,1.752449048,2.00E-02,0,1.403,7.559427865,6.28E-10,1.21E-03,2.14E-02,,
8,1703,"Chick peas, dry",Pulses,Australia,AU,0.493111925,0.437827832,2.35E-04,0,1.77E-04,NA,8.311584687,5.24E-02,1.69E-03,0,5.3194142,2.98E-09,0,5.57E-03,,
9,1344.02,Cherries,Berries,Austria,AT,0.488734156,0.171346183,3.39E-04,0,1.13E-03,NA,0.350407524,2.84E-02,3.55E-03,8.50E-02,0.344763907,6.84E-10,1.73E-03,4.96E-02,,
10,1351.01,Currants,Berries,Austria,AT,0.232958912,0.121080144,2.01E-04,0,3.88E-04,NA,0.707805252,8.00E-03,1.10E-02,8.50E-02,0.314453125,1.38E-09,4.86E-04,0.140794497,,
11,116,Rye,"Cereals, incl feed",Austria,AT,0.386691523,0.168429297,9.61E-04,0,6.95E-04,NA,2.233818221,1.59E-02,1.17E-03,0,0,4.36E-09,9.68E-04,9.41E-03,,
12,1254,Leeks and other alliaceous vegetables,Vegetables,Belgium,BE,0.168817982,8.13E-02,1.83E-04,0,3.01E-04,NA,0.263532249,7.53E-03,1.51E-03,1.60E-02,0.119936571,6.82E-12,4.57E-04,2.61E-02,,
13,1290.9,"Other vegetables, fresh n.e.c.",Vegetables,Belgium,BE,0.257374165,0.101169635,2.20E-04,0,5.48E-04,NA,0.28487756,1.25E-02,2.83E-03,1.60E-02,0.281105991,7.37E-12,7.57E-04,1.04E-02,,
14,1342.01,Pears,Fruits,Belgium,BE,0.16145983,9.88E-02,1.92E-04,0,2.09E-04,NA,0.295209924,3.04E-03,4.14E-04,0.139,0.584515649,7.64E-12,1.85E-04,1.25E-02,,
15,1342.02,Quinces,Other,Belgium,BE,0.461315138,0.401785138,3.04E-04,0,1.85E-04,NA,2.960068674,2.17E-03,3.17E-04,0.139,1.615331592,7.66E-11,1.32E-04,0.130701832,,
