"id","exposure","gruppo","code",,"Our approximation",
4000,"L5","Acidophilus milk","14.35.140.692.1114",,"A.08.06.006","Acidophilus milk"
3851,"L5","Alcoholic sweet sauce","17.30.15.648.965",,"A.10.05.004","Alcoholic sweet sauce"
4241,"L5","Almond drink","16.66.120.125.1355",,"A.08.09.001","Almond drink"
4819,"L5","Almond essence","12.44.136.1162.1933",,"A.16.09.001","Almond essence"
4406,"L5","Almond oil","2.5.406.16.1520",,"A.11.04.001","Almond oil"
4540,"L5","Apple chutney","17.26.323.695.1654",,"A.16.07.002","Apple chutney"
3691,"L5","Apple strudel","10.36.283.549.805",,"A.01.07.001.038","Apple strudel"
4323,"L5","Ass milk","14.70.244.877.1437",,"A.08.01.007","Ass milk"
2942,"L5","Bacon","13.83.312.46.56",,"A.06.08.007","Bacon"
3988,"L5","Baklava","10.36.283.721.1102",,"A.01.07.001.048","Baklava"
4697,"L5","Barley flour","10.22.78.1093.1811",,"A.01.03.008.002","Barley flour"
4742,"L5","Barley porridge","10.19.56.232.1856",,"A.01.06.007.005","Barley porridge"
4437,"L5","Beef kidney","13.9.230.946.1551",,"A.06.06.009","Beef kidney"
3774,"L5","Beef liver","13.10.231.351.888",,"A.06.06.001","Beef liver"
2897,"L5","Beer, alcohol-free","1.16.42.11.11",,"A.14.01.004","Beer, alcohol-free"
3362,"L5","Beer, regular","1.16.42.11.476",,"A.14.01.002","Beer, regular"
3364,"L5","Beer, strong","1.16.42.11.478",,"A.14.01.001","Beer, strong"
3843,"L5","Biscuits, oat meal","10.36.49.272.957",,"A.01.07.002.010","Biscuits, oat meal"
3085,"L5","Biscuits, rusks and cookies for children","7.78.50.134.199",,"A.17.05.003","Biscuits, rusks and cookies for children"
4215,"L5","Biscuits, spelt meal","10.36.49.272.1329",,"A.01.07.002.011","Biscuits, spelt meal"
3274,"L5","Biscuits, sweet, plain","10.36.49.272.388",,"A.01.07.002.001","Biscuits, sweet, plain"
3276,"L5","Biscuits, sweet, wheat wholemeal","10.36.49.272.390",,"A.01.07.002.009","Biscuits, sweet, wheat wholemeal"
3148,"L5","Bitter chocolate","19.27.90.188.262",,"A.10.03.001","Bitter chocolate"
3326,"L5","Bottled water","21.32.52.319.440",,"A.15.03","Bottled water"
4527,"L5","Bread stuffing","10.18.13.1008.1641",,"A.01.04.007.003","Bread stuffing"
3186,"L5","Breadcrumbs","10.18.13.208.300",,"A.01.04.007.001","Breadcrumbs"
3174,"L5","Brown sugar","19.100.381.199.288",,"A.10.01.002","Brown sugar"
3660,"L5","Buckwheat flour","10.22.78.525.774",,"A.01.03.003.001","Buckwheat flour"
3677,"L5","Buckwheat groats","10.22.188.538.791",,"A.01.03.003.002","Buckwheat groats"
3313,"L5","Buns","10.36.434.306.427",,"A.01.07.001.002","Buns"
2912,"L5","Butter","2.34.62.22.26",,"A.11.01.001","Butter"
3278,"L5","Butter biscuits","10.36.49.272.392",,"A.01.07.002.006","Butter biscuits"
3419,"L5","Butter oil","2.5.118.384.533",,"A.11.01.002","Butter oil"
3849,"L5","Butter sauce","17.26.343.152.963",,"A.16.08.004","Butter sauce"
3059,"L5","Buttermilk","14.70.63.117.173",,"A.08.06.008","Buttermilk"
3684,"L5","Cake marbled, with chocolate","10.36.64.278.798",,"A.01.07.001.046","Cake marbled, with chocolate"
3978,"L5","Candied fruit, mixed fruit","8.80.273.501.1092",,"A.05.09.008.007","Candied fruit, Mixed fruit"
4396,"L5","Candied fruit, orange peel","8.80.273.501.1510",,"A.05.09.008.008","Candied fruit, Orange peel"
4333,"L5","Caramel, hard","19.27.383.885.1447",,"A.10.04.004","Caramel, hard"
4251,"L5","Caramel, soft","19.27.40.837.1365",,"A.10.04.005","Caramel, soft"
4878,"L5","Carbohydrate-electrolyte solutions for sports people","16.45.157.1194.1992",,"A.18.03.002","Carbohydrate-electrolyte solutions for sports people"
3109,"L5","Cheese sauce","17.26.343.152.223",,"I.16.08.001.001","Cheese sauce"
