Code,Name,Amount
I.16.08.006.001,"Aioli or garlic sauce",0.2185
A.14.07.003,"Alcopop and flavoured wine",1.1128
A.02.05.022,"Alfalfa sprouts",0.0892
A.04.03.001,"Tree nuts",1.1577
A.05.02.001,"Apples and similar-",27.5368
A.05.03.001,"Apricots",0.0612
A.02.07.001,"Asparagus",0.7712
A.02.03.004,"Aubergines",0.2999
A.05.06.014,"Avocados",3.3568
A.06.08.007,"Bacon",2.1194
A.16.10.001,"Baking yeast",0.4423
A.01.07.001.048,"Baklava",0.0173
A.02.07.008,"Bamboo shoots",0.1101
A.16.05.007,"Barbecue or steak sauces",0.1967
A.01.03.008.002,"Barley flour",0.0585
A.01.02.002.001,"Barley grains",0.0266
A.16.01.009,"Basil",0.0375
A.04.02.001,"Borlotti or other common beans (dry)",1.2136
A.02.06.001,"Beans (with pods) and similar-",1.4845
I.19.04.001.002,"Beans and vegetables meal",1.0575
I.16.08.001.004,"Bechamel sauce",0.8276
A.14.01.004,"Beer, alcohol-free",0.6381
A.14.01.003,"Beer, light",8.1308
A.14.01.002,"Beer-like beverages",14.2869
A.14.01.001,"Beer, strong",65.6233
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",1.4735
A.05.04.003,"Strawberries and similar-",2.3698
A.01.07.002.003,"Biscuit with inclusions, filling or coating",1.1111
A.01.07.002.010,"Biscuits, oat meal",0.1269
A.01.07.002.001,"Biscuits, sweet, plain",1.3281
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",0.6928
A.10.03.001,"Bitter chocolate",1.3388
A.05.04.004,"Blackberries and similar-",0.0659
A.11.06.001,"Traditional margarine",10.4414
A.06.09.003.001,"Blood-type sausage",1.4135
A.05.04.008,"Blueberries",0.8995
A.09.01.001,"Hen eggs",11.6265
A.19.10.005,"Fish soup",6.4235
A.06.05.001,"Bovine and pig fresh meat",2.0829
A.06.08.003,"Bovine meat, dried",0.0009
A.04.03.003,"Brazil nuts",0.0255
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",22.1997
A.01.04.007.001,"Breadcrumbs",0.1481
A.01.06.005.001,"Mixed breakfast cereals",8.9907
A.08.08.069,"Cheese, feta",1.4978
A.16.08.002,"Continental european brown cooked sauce, gravy",5.1253
A.02.04.001,"Broccoli",5.4562
A.10.01.002,"Brown sugar",0.0904
A.02.04.003,"Brussels sprouts",0.4085
A.01.02.001.004,"Bulgur",0.7771
A.01.07.001.002,"Buns",8.3553
A.11.01.001,"Butter",0.8402
A.01.07.002.006,"Crackers and breadsticks",0.6475
A.01.07.001.046,"Cake marbled, with chocolate",0.1683
A.01.07.001.008,"Cream cake",2.868
A.06.01.001,"Cow, ox or bull fresh meat",25.1295
A.02.15.001,"Fungi-based meat imitates",3.6847
A.05.09.006.004,"Canned or jarred apricot",0.028
A.05.09.006.012,"Canned or jarred mixed fruit",0.2528
A.05.09.006.001,"Canned or jarred mandarin",0.0483
A.05.09.006.008,"Canned or jarred peach",0.0629
A.05.09.006.003,"Canned or jarred pear",0.0245
A.05.09.006.011,"Canned or jarred pineapple",0.4822
A.07.01.014,"Tuna and bonito (generic)",3.1712
A.16.02.009,"Capers buds",0.0207
A.10.04.004,"Caramel, hard",0.4069
A.10.04.005,"Caramel, soft",0.0935
A.15.03.002,"Carbonated natural mineral water",36.3146
A.02.01.003,"Carrots",10.0662
A.04.03.004,"Dried nuts/seeds and related flours and powders",1.3701
A.02.04.002,"Cauliflowers",1.0267
A.02.01.004,"Celeriacs",0.0437
A.02.07.003,"Celeries",0.0674
A.01.02.010.001,"Cereal grains (and cereal-like grains)",0.0049
A.19.10.002,"Corn semolina based thick soup",0.542
A.14.02.002,"Champagne-like wine",1.7762
A.02.16.006,"Chanterelles",0.629
A.02.05.013,"Chards",0.0476
A.19.08.003,"Cheese omelette",0.0212
I.16.08.001.001,"Cheese sauce",1.4624
A.01.07.001.022,"Cheese savoury pie",1.8773
A.08.08.051,"Cheese, chevre frais",0.8466
A.05.03.006,"Cherries (sweet)",0.0773
A.04.03.005,"Chestnuts",0.0056
A.10.04.016,"Chewing gum",0.0476
A.06.02.001,"Poultry fresh meat (muscle meat)",24.037
A.04.02.005,"Hummus",0.5201
A.16.07.007,"Chili pickle",0.0413
A.02.04.005,"Chinese cabbages",0.3102
A.06.09.004.005,"Frankfurt-type sausage",15.6386
A.16.01.002,"Chives",0.0201
I.10.03.002.002,"Chocolate and similar",0.0705
A.01.07.001.006,"Chocolate cake",4.2097
I.10.03.006.001,"Chocolate coated confectionery",1.8627
A.10.05.002,"Dessert sauces/toppings",1.495
A.16.07.005,"Mixed chutney",0.5247
A.14.04.001,"Cider",5.5262
A.16.02.014,"Cinnamon bark",0.0199
A.05.01.002,"Oranges and similar-",12.7622
A.07.05.005,"Clams",0.0662
A.05.04.016,"Cloudberries",0.0066
A.05.09.005,"Fruit sauce",3.3541
A.02.11.003,"Cocoa beverage-preparation, powder",0.1296
A.02.11.002,"Cocoa powder",0.0084
A.02.14.009,"Coconut milk (cocos nucifera) liquid",0.1827
A.04.03.006,"Coconuts",0.0112
I.07.01.017.001,"Cod, murray",0.1562
A.13.03.002,"Coffee beverages",292.7841
A.13.01.006,"Coffee beverage decaffeinated",0.2448
A.13.03.003,"Coffee drink, cappuccino",4.2686
A.13.03.001,"Coffee espresso (beverage)",4.7934
A.13.03.006,"Coffee with milk or cream",14.102
A.13.01.003,"Cola beverages, caffeinic",48.2658
A.05.06.015,"Plantains",28.7672
A.01.02.007,"Common millet and similar-",0.0135
A.05.09.007.002,"Fruit compote, apple",0.7207
A.08.03.002.004,"Condensed milk (sometimes with added sugars)",0.03
A.01.07.002.002,"Confectionery including chocolate",1.5072
A.06.08.002,"Cooked cured (or seasoned) meat",0.2421
A.06.08.001,"Ham, pork",11.3155
A.06.02.002,"Turkey fresh meat",0.8921
A.20.01.002,"Corn chips",0.024
A.20.01.004,"Corn curls",0.5351
I.08.08.187,"Cottage cheese",2.9087
