SUA Code;SUA Name;Category;Producer Country;Share;Organic;Waste
1371;Almonds, in shell;Nuts;RoW;0.142;0;0.06
1371;Almonds, in shell;Nuts;Spain;0.274;0;0.06
1371;Almonds, in shell;Nuts;United States of America;0.584;0;0.06
1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;Vegetables;RoW;0.523;0;0.07
1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;Vegetables;India;0.175;0;0.07
1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;Vegetables;Syrian Arab Republic;0.302;0;0.07
1341;Apples;Fruits;RoW;0.193;0;0.07
1341;Apples;Fruits;France;0.807;0;0.07
1343;Apricots;Fruits;RoW;0.104;0;0.07
1343;Apricots;Fruits;France;0.648;0;0.07
1343;Apricots;Fruits;Turkey;0.248;0;0.07
1216;Artichokes;Vegetables;RoW;0.059;0;0.07
1216;Artichokes;Vegetables;France;0.711;0;0.07
1216;Artichokes;Vegetables;Spain;0.23;0;0.07
1211;Asparagus;Vegetables;RoW;0.227;0;0.07
1211;Asparagus;Vegetables;France;0.578;0;0.07
1211;Asparagus;Vegetables;Spain;0.194;0;0.07
1311;Avocados;Vegetables;RoW;0.242;0;0.07
1311;Avocados;Vegetables;Chile;0.131;0;0.07
1311;Avocados;Vegetables;Israel;0.165;0;0.07
1311;Avocados;Vegetables;Peru;0.253;0;0.07
1311;Avocados;Vegetables;Spain;0.208;0;0.07
1312;Bananas;Fruits;RoW;0.302;0;0.07
1312;Bananas;Fruits;Cameroon;0.2;0;0.07
1312;Bananas;Fruits;Colombia;0.13;0;0.07
1312;Bananas;Fruits;Côte d'Ivoire;0.228;0;0.07
1312;Bananas;Fruits;Suriname;0.139;0;0.07
115;Barley, average;Cereals, incl feed;RoW;0.013;0;0.045
115;Barley, average;Cereals, incl feed;France;0.987;0;0.045
0115_s;Barley, spring;Cereals;RoW;0.013;0;0.045
0115_s;Barley, spring;Cereals;France;0.987;0;0.045
