SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1371,"Almonds, in shell",Nuts,RoW,0.097,0,0.06
1371,"Almonds, in shell",Nuts,Spain,0.131,0,0.06
1371,"Almonds, in shell",Nuts,United States of America,0.772,0,0.06
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.499,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Bulgaria,0.1,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,India,0.139,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Syrian Arab Republic,0.149,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Ukraine,0.113,0,0.07
1341,Apples,Fruits,RoW,0.305,0,0.07
1341,Apples,Fruits,Germany,0.407,0,0.07
1341,Apples,Fruits,Italy,0.142,0,0.07
1341,Apples,Fruits,Poland,0.146,0,0.07
1343,Apricots,Fruits,RoW,0.148,0,0.07
1343,Apricots,Fruits,France,0.129,0,0.07
1343,Apricots,Fruits,Spain,0.182,0,0.07
1343,Apricots,Fruits,Turkey,0.541,0,0.07
1216,Artichokes,Vegetables,RoW,0.044,0,0.07
1216,Artichokes,Vegetables,Spain,0.956,0,0.07
1211,Asparagus,Vegetables,RoW,0.185,0,0.07
1211,Asparagus,Vegetables,Germany,0.815,0,0.07
1311,Avocados,Vegetables,RoW,0.101,0,0.07
1311,Avocados,Vegetables,Chile,0.17,0,0.07
1311,Avocados,Vegetables,Israel,0.11,0,0.07
1311,Avocados,Vegetables,Peru,0.3,0,0.07
1311,Avocados,Vegetables,South Africa,0.154,0,0.07
1311,Avocados,Vegetables,Spain,0.166,0,0.07
1312,Bananas,Fruits,RoW,0.198,0,0.07
1312,Bananas,Fruits,Colombia,0.247,0,0.07
1312,Bananas,Fruits,Costa Rica,0.159,0,0.07
1312,Bananas,Fruits,Ecuador,0.396,0,0.07
115,"Barley, average","Cereals, incl feed",RoW,0.123,0,0.045
115,"Barley, average","Cereals, incl feed",Germany,0.877,0,0.045
0115_s,"Barley, spring",Cereals,RoW,0.123,0,0.045
0115_s,"Barley, spring",Cereals,Germany,0.877,0,0.045
0115_w,"Barley, winter",Cereals,RoW,0.123,0,0.045
0115_w,"Barley, winter",Cereals,Germany,0.877,0,0.045
1701,"Beans, dry",Pulses,RoW,0.202,0,0.06
1701,"Beans, dry",Pulses,Canada,0.135,0,0.06
1701,"Beans, dry",Pulses,"China, mainland",0.45,0,0.06
1701,"Beans, dry",Pulses,United States of America,0.112,0,0.06
1701,"Beans, dry",Pulses,Ethiopia,0.101,0,0.06
1355.01,Blueberries,Berries,RoW,0.189,0,0.07
1355.01,Blueberries,Berries,Germany,0.606,0,0.07
1355.01,Blueberries,Berries,Spain,0.205,0,0.07
1377,"Brazil nuts, in shell",Nuts,RoW,0.097,0,0.06
1377,"Brazil nuts, in shell",Nuts,Spain,0.131,0,0.06
