SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1371,"Almonds, in shell",Nuts,RoW,0.141,0,0.06
1371,"Almonds, in shell",Nuts,Greece,0.859,0,0.06
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.116,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Greece,0.633,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,India,0.123,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Syrian Arab Republic,0.129,0,0.07
1341,Apples,Fruits,RoW,0.116,0,0.07
1341,Apples,Fruits,Greece,0.884,0,0.07
1343,Apricots,Fruits,RoW,0.05,0,0.07
1343,Apricots,Fruits,Greece,0.95,0,0.07
1216,Artichokes,Vegetables,RoW,0.004,0,0.07
1216,Artichokes,Vegetables,Greece,0.996,0,0.07
1211,Asparagus,Vegetables,RoW,0.037,0,0.07
1211,Asparagus,Vegetables,Greece,0.963,0,0.07
1311,Avocados,Vegetables,RoW,0.318,0,0.07
1311,Avocados,Vegetables,Greece,0.555,0,0.07
1311,Avocados,Vegetables,Peru,0.126,0,0.07
1312,Bananas,Fruits,RoW,0.153,0,0.07
1312,Bananas,Fruits,Costa Rica,0.164,0,0.07
1312,Bananas,Fruits,Ecuador,0.684,0,0.07
115,"Barley, average","Cereals, incl feed",RoW,0.258,0,0.045
115,"Barley, average","Cereals, incl feed",Greece,0.742,0,0.045
0115_s,"Barley, spring",Cereals,RoW,0.258,0,0.045
0115_s,"Barley, spring",Cereals,Greece,0.742,0,0.045
0115_w,"Barley, winter",Cereals,RoW,0.258,0,0.045
0115_w,"Barley, winter",Cereals,Greece,0.742,0,0.045
1701,"Beans, dry",Pulses,RoW,0.206,0,0.06
1701,"Beans, dry",Pulses,Canada,0.148,0,0.06
1701,"Beans, dry",Pulses,Greece,0.645,0,0.06
1355.01,Blueberries,Berries,RoW,0.269,0,0.07
1355.01,Blueberries,Berries,Netherlands,0.622,0,0.07
1355.01,Blueberries,Berries,Spain,0.109,0,0.07
1377,"Brazil nuts, in shell",Nuts,RoW,0.141,0,0.06
1377,"Brazil nuts, in shell",Nuts,Greece,0.859,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.099,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",Greece,0.668,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",Turkey,0.233,0,0.06
1243,"Broad beans and horse beans, green",Vegetables,RoW,0.099,0,0.07
1243,"Broad beans and horse beans, green",Vegetables,Greece,0.668,0,0.07
1243,"Broad beans and horse beans, green",Vegetables,Turkey,0.233,0,0.07
1192,Buckwheat,Seeds,"China, mainland",0.162,0,0.06
1192,Buckwheat,Seeds,RoW,0.147,0,0.06
1192,Buckwheat,Seeds,Russian Federation,0.436,0,0.06
1192,Buckwheat,Seeds,Ukraine,0.255,0,0.06
1212,Cabbages,Vegetables,RoW,0.004,0,0.07
1212,Cabbages,Vegetables,Greece,0.996,0,0.07
1229,Cantaloupes and other melons,Fruits,RoW,0.003,0,0.07
1229,Cantaloupes and other melons,Fruits,Greece,0.997,0,0.07
1251,Carrots and turnips,Vegetables,RoW,0.057,0,0.07
1251,Carrots and turnips,Vegetables,Greece,0.943,0,0.07
1372,"Cashew nuts, in shell",Nuts,RoW,0.34,0,0.06
1372,"Cashew nuts, in shell",Nuts,India,0.456,0,0.06
1372,"Cashew nuts, in shell",Nuts,Côte d'Ivoire,0.204,0,0.06
1213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.003,0,0.07
1213,"Cauliflowers and broccoli, average",Vegetables,Greece,0.997,0,0.07
01213_b,Broccoli,Vegetables,RoW,0.021,0,0.07
01213_b,Broccoli,Vegetables,Greece,0.979,0,0.07
01213_cf,Cauliflowers,Vegetables,RoW,0.021,0,0.07
01213_cf,Cauliflowers,Vegetables,Greece,0.979,0,0.07
1199.9,Cereals n.e.c.,Cereals,RoW,0.1,0,0.045
1199.9,Cereals n.e.c.,Cereals,Greece,0.9,0,0.045
1344.02,Cherries,Berries,RoW,0.003,0,0.07
