SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1371,"Almonds, in shell",Nuts,RoW,0.076,0,0.06
1371,"Almonds, in shell",Nuts,Hungary,0.14,0,0.06
1371,"Almonds, in shell",Nuts,Spain,0.171,0,0.06
1371,"Almonds, in shell",Nuts,United States of America,0.613,0,0.06
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.113,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Hungary,0.887,0,0.07
1341,Apples,Fruits,RoW,0.066,0,0.07
1341,Apples,Fruits,Hungary,0.934,0,0.07
1343,Apricots,Fruits,RoW,0.118,0,0.07
1343,Apricots,Fruits,Hungary,0.882,0,0.07
1216,Artichokes,Vegetables,France,0.628,0,0.07
1216,Artichokes,Vegetables,Greece,0.359,0,0.07
1216,Artichokes,Vegetables,RoW,0.014,0,0.07
1211,Asparagus,Vegetables,RoW,0.007,0,0.07
1211,Asparagus,Vegetables,Hungary,0.993,0,0.07
1311,Avocados,Vegetables,RoW,0.189,0,0.07
1311,Avocados,Vegetables,Chile,0.155,0,0.07
1311,Avocados,Vegetables,Peru,0.291,0,0.07
1311,Avocados,Vegetables,South Africa,0.13,0,0.07
1311,Avocados,Vegetables,Spain,0.234,0,0.07
1312,Bananas,Fruits,RoW,0.345,0,0.07
1312,Bananas,Fruits,Colombia,0.271,0,0.07
1312,Bananas,Fruits,Costa Rica,0.128,0,0.07
1312,Bananas,Fruits,Ecuador,0.256,0,0.07
115,"Barley, average","Cereals, incl feed",RoW,0.124,0,0.045
115,"Barley, average","Cereals, incl feed",Hungary,0.876,0,0.045
0115_s,"Barley, spring",Cereals,RoW,0.124,0,0.045
0115_s,"Barley, spring",Cereals,Hungary,0.876,0,0.045
0115_w,"Barley, winter",Cereals,RoW,0.124,0,0.045
0115_w,"Barley, winter",Cereals,Hungary,0.876,0,0.045
1701,"Beans, dry",Pulses,RoW,0.251,0,0.06
1701,"Beans, dry",Pulses,Canada,0.105,0,0.06
1701,"Beans, dry",Pulses,"China, mainland",0.216,0,0.06
1701,"Beans, dry",Pulses,United States of America,0.296,0,0.06
1701,"Beans, dry",Pulses,Ethiopia,0.132,0,0.06
1355.01,Blueberries,Berries,RoW,0.247,0,0.07
1355.01,Blueberries,Berries,Romania,0.753,0,0.07
1377,"Brazil nuts, in shell",Nuts,RoW,0.076,0,0.06
1377,"Brazil nuts, in shell",Nuts,Hungary,0.14,0,0.06
1377,"Brazil nuts, in shell",Nuts,Spain,0.171,0,0.06
1377,"Brazil nuts, in shell",Nuts,United States of America,0.613,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.038,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",Hungary,0.962,0,0.06
1243,"Broad beans and horse beans, green",Vegetables,RoW,0.038,0,0.07
1243,"Broad beans and horse beans, green",Vegetables,Hungary,0.962,0,0.07
1192,Buckwheat,Seeds,RoW,1,0,0.06
1212,Cabbages,Vegetables,RoW,0.082,0,0.07
1212,Cabbages,Vegetables,Hungary,0.918,0,0.07
1229,Cantaloupes and other melons,Fruits,RoW,0.044,0,0.07
1229,Cantaloupes and other melons,Fruits,Hungary,0.956,0,0.07
1251,Carrots and turnips,Vegetables,RoW,0.067,0,0.07
1251,Carrots and turnips,Vegetables,Hungary,0.933,0,0.07
1372,"Cashew nuts, in shell",Nuts,RoW,0.349,0,0.06
1372,"Cashew nuts, in shell",Nuts,India,0.424,0,0.06
1372,"Cashew nuts, in shell",Nuts,Côte d'Ivoire,0.227,0,0.06
1213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.044,0,0.07
1213,"Cauliflowers and broccoli, average",Vegetables,Hungary,0.956,0,0.07
01213_b,Broccoli,Vegetables,RoW,0.172,0,0.07
01213_b,Broccoli,Vegetables,Hungary,0.828,0,0.07
01213_cf,Cauliflowers,Vegetables,RoW,0.172,0,0.07
01213_cf,Cauliflowers,Vegetables,Hungary,0.828,0,0.07
1199.9,Cereals n.e.c.,Cereals,RoW,1,0,0.045
