SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1371,"Almonds, in shell",Nuts,RoW,0.088,0,0.06
1371,"Almonds, in shell",Nuts,Italy,0.686,0,0.06
1371,"Almonds, in shell",Nuts,United States of America,0.226,0,0.06
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,1,0,0.07
1341,Apples,Fruits,RoW,0.044,0,0.07
1341,Apples,Fruits,Italy,0.956,0,0.07
1343,Apricots,Fruits,RoW,0.166,0,0.07
1343,Apricots,Fruits,Italy,0.834,0,0.07
1216,Artichokes,Vegetables,RoW,0.026,0,0.07
1216,Artichokes,Vegetables,Italy,0.974,0,0.07
1211,Asparagus,Vegetables,RoW,0.092,0,0.07
1211,Asparagus,Vegetables,Italy,0.908,0,0.07
1311,Avocados,Vegetables,RoW,0.084,0,0.07
1311,Avocados,Vegetables,Chile,0.135,0,0.07
1311,Avocados,Vegetables,Israel,0.283,0,0.07
1311,Avocados,Vegetables,Peru,0.245,0,0.07
1311,Avocados,Vegetables,South Africa,0.111,0,0.07
1311,Avocados,Vegetables,Spain,0.143,0,0.07
1312,Bananas,Fruits,RoW,0.14,0,0.07
1312,Bananas,Fruits,Colombia,0.257,0,0.07
1312,Bananas,Fruits,Costa Rica,0.258,0,0.07
1312,Bananas,Fruits,Ecuador,0.345,0,0.07
115,"Barley, average","Cereals, incl feed",RoW,0.158,0,0.045
115,"Barley, average","Cereals, incl feed",France,0.249,0,0.045
115,"Barley, average","Cereals, incl feed",Germany,0.102,0,0.045
115,"Barley, average","Cereals, incl feed",Italy,0.49,0,0.045
0115_s,"Barley, spring",Cereals,RoW,0.158,0,0.045
0115_s,"Barley, spring",Cereals,France,0.249,0,0.045
0115_s,"Barley, spring",Cereals,Germany,0.102,0,0.045
0115_s,"Barley, spring",Cereals,Italy,0.49,0,0.045
0115_w,"Barley, winter",Cereals,RoW,0.158,0,0.045
0115_w,"Barley, winter",Cereals,France,0.249,0,0.045
0115_w,"Barley, winter",Cereals,Germany,0.102,0,0.045
0115_w,"Barley, winter",Cereals,Italy,0.49,0,0.045
1701,"Beans, dry",Pulses,RoW,0.332,0,0.06
1701,"Beans, dry",Pulses,Canada,0.164,0,0.06
1701,"Beans, dry",Pulses,"China, mainland",0.348,0,0.06
1701,"Beans, dry",Pulses,United States of America,0.156,0,0.06
1355.01,Blueberries,Berries,RoW,0.329,0,0.07
1355.01,Blueberries,Berries,Italy,0.42,0,0.07
1355.01,Blueberries,Berries,Spain,0.25,0,0.07
1377,"Brazil nuts, in shell",Nuts,RoW,0.088,0,0.06
1377,"Brazil nuts, in shell",Nuts,Italy,0.686,0,0.06
1377,"Brazil nuts, in shell",Nuts,United States of America,0.226,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.212,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",Italy,0.788,0,0.06
1243,"Broad beans and horse beans, green",Vegetables,RoW,0.212,0,0.07
1243,"Broad beans and horse beans, green",Vegetables,Italy,0.788,0,0.07
1192,Buckwheat,Seeds,RoW,0.344,0,0.06
1192,Buckwheat,Seeds,Poland,0.656,0,0.06
1212,Cabbages,Vegetables,RoW,0.062,0,0.07
1212,Cabbages,Vegetables,Italy,0.938,0,0.07
1229,Cantaloupes and other melons,Fruits,RoW,0.051,0,0.07
1229,Cantaloupes and other melons,Fruits,Italy,0.949,0,0.07
1251,Carrots and turnips,Vegetables,RoW,0.028,0,0.07
1251,Carrots and turnips,Vegetables,Italy,0.972,0,0.07
1372,"Cashew nuts, in shell",Nuts,Brazil,0.162,0,0.06
1372,"Cashew nuts, in shell",Nuts,RoW,0.259,0,0.06
1372,"Cashew nuts, in shell",Nuts,Ghana,0.11,0,0.06
1372,"Cashew nuts, in shell",Nuts,India,0.172,0,0.06
1372,"Cashew nuts, in shell",Nuts,Côte d'Ivoire,0.296,0,0.06
1213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.051,0,0.07
1213,"Cauliflowers and broccoli, average",Vegetables,Italy,0.949,0,0.07
01213_b,Broccoli,Vegetables,RoW,0.046,0,0.07
01213_b,Broccoli,Vegetables,Italy,0.954,0,0.07
01213_cf,Cauliflowers,Vegetables,RoW,0.046,0,0.07
01213_cf,Cauliflowers,Vegetables,Italy,0.954,0,0.07
1199.9,Cereals n.e.c.,Cereals,RoW,0.197,0,0.045
1199.9,Cereals n.e.c.,Cereals,Latvia,0.803,0,0.045
1344.02,Cherries,Berries,RoW,0.06,0,0.07
1344.02,Cherries,Berries,Italy,0.94,0,0.07
1373,"Chestnuts, in shell",Nuts,RoW,0.142,0,0.06
1373,"Chestnuts, in shell",Nuts,Italy,0.628,0,0.06
1373,"Chestnuts, in shell",Nuts,Portugal,0.107,0,0.06
1373,"Chestnuts, in shell",Nuts,Spain,0.122,0,0.06
1703,"Chick peas, dry",Pulses,Argentina,0.253,0,0.06
1703,"Chick peas, dry",Pulses,RoW,0.272,0,0.06
1703,"Chick peas, dry",Pulses,Italy,0.323,0,0.06
1703,"Chick peas, dry",Pulses,Mexico,0.152,0,0.06
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.031,0,0.07
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Italy,0.809,0,0.07
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Spain,0.16,0,0.07
1640,Cocoa beans,Stimulants,RoW,0.282,0,0.07
1640,Cocoa beans,Stimulants,Ghana,0.223,0,0.07
1640,Cocoa beans,Stimulants,Côte d'Ivoire,0.496,0,0.07
1460,"Coconut, in shell",Nuts,RoW,0.19,0,0.06
1460,"Coconut, in shell",Nuts,Philippines,0.81,0,0.06
1610,"Coffee, green",Stimulants,RoW,0.345,0,0.07
1610,"Coffee, green",Stimulants,Brazil,0.41,0,0.07
1610,"Coffee, green",Stimulants,India,0.137,0,0.07
1610,"Coffee, green",Stimulants,Indonesia,0.107,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.057,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,Italy,0.814,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,Spain,0.129,0,0.07
01232_gh,"Cucumbers and gherkins, greenhouse",Vegetables,RoW,0.057,0,0.07
01232_gh,"Cucumbers and gherkins, greenhouse",Vegetables,Italy,0.814,0,0.07
01232_gh,"Cucumbers and gherkins, greenhouse",Vegetables,Spain,0.129,0,0.07
01232_of,"Cucumbers and gherkins, openfield",Vegetables,RoW,0.057,0,0.07
01232_of,"Cucumbers and gherkins, openfield",Vegetables,Italy,0.814,0,0.07
01232_of,"Cucumbers and gherkins, openfield",Vegetables,Spain,0.129,0,0.07
1351.01,Currants,Berries,Austria,0.121,0,0.07
1351.01,Currants,Berries,RoW,0.223,0,0.07
1351.01,Currants,Berries,France,0.131,0,0.07
1351.01,Currants,Berries,Germany,0.179,0,0.07
1351.01,Currants,Berries,Italy,0.226,0,0.07
1351.01,Currants,Berries,Poland,0.121,0,0.07
1314,Dates,Fruits,RoW,0.138,0,0.07
1314,Dates,Fruits,Tunisia,0.862,0,0.07
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.246,0,0.24
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,"China, mainland",0.128,0,0.24
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,France,0.265,0,0.24
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,Côte d'Ivoire,0.151,0,0.24
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,Nicaragua,0.104,0,0.24
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,Togo,0.106,0,0.24
1233,Eggplants (aubergines),Vegetables,RoW,0.055,0,0.07
1233,Eggplants (aubergines),Vegetables,Italy,0.945,0,0.07
1315,Figs,Fruits,RoW,0.013,0,0.07
1315,Figs,Fruits,Greece,0.119,0,0.07
1315,Figs,Fruits,Italy,0.424,0,0.07
1315,Figs,Fruits,Turkey,0.444,0,0.07
1351.02,Gooseberries,Berries,RoW,1,0,0.07
1330,Grapes,Fruits,RoW,0.042,0,0.07
1330,Grapes,Fruits,Italy,0.958,0,0.07
1290.01,Green corn (maize),Vegetables,RoW,0.054,0,0.07
1290.01,Green corn (maize),Vegetables,France,0.557,0,0.07
1290.01,Green corn (maize),Vegetables,Hungary,0.389,0,0.07
1252,Green garlic,Vegetables,RoW,0.164,0,0.07
1252,Green garlic,Vegetables,Italy,0.51,0,0.07
1252,Green garlic,Vegetables,Spain,0.326,0,0.07
142,"Groundnuts, excluding shelled",Nuts,RoW,0.088,0,0.06
142,"Groundnuts, excluding shelled",Nuts,Italy,0.686,0,0.06
142,"Groundnuts, excluding shelled",Nuts,United States of America,0.226,0,0.06
1374,"Hazelnuts, in shell",Nuts,RoW,0.077,0,0.06
1374,"Hazelnuts, in shell",Nuts,Italy,0.718,0,0.06
1374,"Hazelnuts, in shell",Nuts,Turkey,0.206,0,0.06
1352,Kiwi fruit,Fruits,RoW,0.088,0,0.07
1352,Kiwi fruit,Fruits,Italy,0.912,0,0.07
1254,Leeks and other alliaceous vegetables,Vegetables,RoW,0.175,0,0.07
1254,Leeks and other alliaceous vegetables,Vegetables,France,0.102,0,0.07
1254,Leeks and other alliaceous vegetables,Vegetables,Italy,0.409,0,0.07
1254,Leeks and other alliaceous vegetables,Vegetables,Netherlands,0.199,0,0.07
1254,Leeks and other alliaceous vegetables,Vegetables,Belgium,0.115,0,0.07
1322,Lemons and limes,Fruits,RoW,0.125,0,0.07
1322,Lemons and limes,Fruits,Argentina,0.111,0,0.07
1322,Lemons and limes,Fruits,Italy,0.764,0,0.07
1704,"Lentils, dry (organic)",Pulses,RoW,0.135,0,0.06
1704,"Lentils, dry (organic)",Pulses,Canada,0.666,0,0.06
1704,"Lentils, dry (organic)",Pulses,United States of America,0.199,0,0.06
1214,Lettuce and chicory,Vegetables,RoW,0.112,0,0.07
1214,Lettuce and chicory,Vegetables,Italy,0.888,0,0.07
1441,Linseed,Seeds,RoW,0.164,0,0.06
1441,Linseed,Seeds,Canada,0.143,0,0.06
1441,Linseed,Seeds,Kazakhstan,0.108,0,0.06
1441,Linseed,Seeds,Russian Federation,0.585,0,0.06
1709.02,Lupins,Pulses,RoW,0.212,0,0.06
1709.02,Lupins,Pulses,Italy,0.788,0,0.06
112,Maize (corn),"Cereals, incl feed",RoW,0.243,0,0.045
112,Maize (corn),"Cereals, incl feed",Italy,0.656,0,0.045
112,Maize (corn),"Cereals, incl feed",Ukraine,0.1,0,0.045
1316,"Mangoes, guavas and mangosteens",Fruits,RoW,0.4,0,0.07
1316,"Mangoes, guavas and mangosteens",Fruits,Brazil,0.357,0,0.07
1316,"Mangoes, guavas and mangosteens",Fruits,Peru,0.243,0,0.07
118,Millet,Cereals,RoW,0.322,0,0.045
118,Millet,Cereals,France,0.19,0,0.045
118,Millet,Cereals,India,0.155,0,0.045
118,Millet,Cereals,Russian Federation,0.164,0,0.045
118,Millet,Cereals,Ukraine,0.169,0,0.045
1199.02,Mixed grain,Cereals,RoW,0.197,0,0.045
1199.02,Mixed grain,Cereals,Latvia,0.803,0,0.045
1270,Mushrooms and truffles,Mushrooms,RoW,0.161,0,0.07
1270,Mushrooms and truffles,Mushrooms,Italy,0.568,0,0.07
1270,Mushrooms and truffles,Mushrooms,Poland,0.17,0,0.07
1270,Mushrooms and truffles,Mushrooms,Spain,0.102,0,0.07
117,Oats,"Cereals, incl feed",RoW,0.118,0,0.045
117,Oats,"Cereals, incl feed",Italy,0.882,0,0.045
1491.01,Oil palm fruit,"Oil crops, tree",RoW,0.418,0,0.06
1491.01,Oil palm fruit,"Oil crops, tree",Italy,0.582,0,0.06
1450,Olives,"Oil crops, tree",RoW,0.145,0,0.06
1450,Olives,"Oil crops, tree",Italy,0.697,0,0.06
1450,Olives,"Oil crops, tree",Spain,0.158,0,0.06
1253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,RoW,0.189,0,0.07
1253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,Italy,0.811,0,0.07
1323,Oranges,Fruits,RoW,0.134,0,0.07
1323,Oranges,Fruits,Italy,0.866,0,0.07
1241.9,"Other beans, green",Vegetables,RoW,0.093,0,0.07
1241.9,"Other beans, green",Vegetables,Italy,0.907,0,0.07
1359.9,"Other fruits, n.e.c.",Fruits,RoW,1,0,0.07
1449.9,"Other oil seeds, n.e.c.",Oil crops,RoW,0.418,0,0.06
1449.9,"Other oil seeds, n.e.c.",Oil crops,Italy,0.582,0,0.06
1709.9,Other pulses n.e.c.,Pulses,RoW,0.332,0,0.06
1709.9,Other pulses n.e.c.,Pulses,Canada,0.164,0,0.06
1709.9,Other pulses n.e.c.,Pulses,"China, mainland",0.348,0,0.06
1709.9,Other pulses n.e.c.,Pulses,United States of America,0.156,0,0.06
1699,"Other stimulant, spice and aromatic crops, n.e.c.",Stimulants,RoW,1,0,0.07
1290.9,"Other vegetables, fresh n.e.c.",Vegetables,RoW,0.366,0,0.07
1290.9,"Other vegetables, fresh n.e.c.",Vegetables,Italy,0.634,0,0.07
1317,Papayas,Fruits,Brazil,0.822,0,0.07
1317,Papayas,Fruits,RoW,0.178,0,0.07
1345,Peaches and nectarines,Fruits,RoW,0.049,0,0.07
1345,Peaches and nectarines,Fruits,Italy,0.951,0,0.07
1342.01,Pears,Fruits,RoW,0.115,0,0.07
1342.01,Pears,Fruits,Italy,0.885,0,0.07
1705,"Peas, dry","Pulses, incl feed",RoW,0.129,0,0.06
1705,"Peas, dry","Pulses, incl feed",France,0.119,0,0.06
1705,"Peas, dry","Pulses, incl feed",Italy,0.185,0,0.06
1705,"Peas, dry","Pulses, incl feed",Russian Federation,0.568,0,0.06
1242,"Peas, green",Vegetables,RoW,0.027,0,0.07
1242,"Peas, green",Vegetables,Italy,0.973,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,Brazil,0.14,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,RoW,0.19,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,India,0.356,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,Indonesia,0.314,0,0.07
1318,Pineapples,Fruits,RoW,0.133,0,0.07
1318,Pineapples,Fruits,Costa Rica,0.734,0,0.07
1318,Pineapples,Fruits,Thailand,0.132,0,0.07
1313,Plantains and cooking bananas,Fruits,RoW,0.043,0,0.07
1313,Plantains and cooking bananas,Fruits,Colombia,0.368,0,0.07
1313,Plantains and cooking bananas,Fruits,Ecuador,0.589,0,0.07
1346,Plums and sloes,Fruits,RoW,0.2,0,0.07
1346,Plums and sloes,Fruits,Italy,0.8,0,0.07
1321,Pomelos and grapefruits,Fruits,RoW,0.324,0,0.07
1321,Pomelos and grapefruits,Fruits,Israel,0.209,0,0.07
1321,Pomelos and grapefruits,Fruits,Italy,0.172,0,0.07
1321,Pomelos and grapefruits,Fruits,South Africa,0.295,0,0.07
1448,Poppy seed,Seeds,RoW,0.081,0,0.06
