SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1371,"Almonds, in shell",Nuts,RoW,0.065,0,0.06
1371,"Almonds, in shell",Nuts,Australia,0.111,0,0.06
1371,"Almonds, in shell",Nuts,Spain,0.26,0,0.06
1371,"Almonds, in shell",Nuts,United States of America,0.564,0,0.06
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.13,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,India,0.101,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Lithuania,0.136,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Russian Federation,0.379,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Ukraine,0.254,0,0.07
1341,Apples,Fruits,RoW,0.058,0,0.07
1341,Apples,Fruits,Poland,0.942,0,0.07
1343,Apricots,Fruits,RoW,0.161,0,0.07
1343,Apricots,Fruits,Poland,0.153,0,0.07
1343,Apricots,Fruits,Turkey,0.686,0,0.07
1216,Artichokes,Vegetables,France,0.415,0,0.07
1216,Artichokes,Vegetables,Greece,0.561,0,0.07
1216,Artichokes,Vegetables,RoW,0.024,0,0.07
1211,Asparagus,Vegetables,RoW,1,0,0.07
1311,Avocados,Vegetables,RoW,0.095,0,0.07
1311,Avocados,Vegetables,Chile,0.169,0,0.07
1311,Avocados,Vegetables,Israel,0.146,0,0.07
1311,Avocados,Vegetables,Peru,0.279,0,0.07
1311,Avocados,Vegetables,South Africa,0.152,0,0.07
1311,Avocados,Vegetables,Spain,0.158,0,0.07
1312,Bananas,Fruits,RoW,0.237,0,0.07
1312,Bananas,Fruits,Colombia,0.276,0,0.07
1312,Bananas,Fruits,Costa Rica,0.15,0,0.07
1312,Bananas,Fruits,Ecuador,0.337,0,0.07
115,"Barley, average","Cereals, incl feed",RoW,0.1,0,0.045
115,"Barley, average","Cereals, incl feed",Poland,0.9,0,0.045
0115_s,"Barley, spring",Cereals,RoW,0.1,0,0.045
0115_s,"Barley, spring",Cereals,Poland,0.9,0,0.045
0115_w,"Barley, winter",Cereals,RoW,0.1,0,0.045
0115_w,"Barley, winter",Cereals,Poland,0.9,0,0.045
1701,"Beans, dry",Pulses,RoW,0.25,0,0.06
1701,"Beans, dry",Pulses,Poland,0.75,0,0.06
1355.01,Blueberries,Berries,RoW,0.095,0,0.07
1355.01,Blueberries,Berries,Poland,0.905,0,0.07
1377,"Brazil nuts, in shell",Nuts,RoW,0.065,0,0.06
1377,"Brazil nuts, in shell",Nuts,Australia,0.111,0,0.06
1377,"Brazil nuts, in shell",Nuts,Spain,0.26,0,0.06
1377,"Brazil nuts, in shell",Nuts,United States of America,0.564,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,1,0,0.06
1243,"Broad beans and horse beans, green",Vegetables,RoW,1,0,0.07
1192,Buckwheat,Seeds,RoW,0.061,0,0.06
1192,Buckwheat,Seeds,Poland,0.939,0,0.06
