SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1371,"Almonds, in shell",Nuts,RoW,0.11,0,0.06
1371,"Almonds, in shell",Nuts,Australia,0.135,0,0.06
1371,"Almonds, in shell",Nuts,United States of America,0.756,0,0.06
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.259,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,India,0.259,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Syrian Arab Republic,0.123,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Turkey,0.359,0,0.07
1341,Apples,Fruits,RoW,0.533,0,0.07
1341,Apples,Fruits,Italy,0.206,0,0.07
1341,Apples,Fruits,Poland,0.11,0,0.07
1341,Apples,Fruits,Sweden,0.15,0,0.07
1343,Apricots,Fruits,RoW,0.158,0,0.07
1343,Apricots,Fruits,Turkey,0.842,0,0.07
1216,Artichokes,Vegetables,RoW,0.057,0,0.07
1216,Artichokes,Vegetables,Spain,0.943,0,0.07
1211,Asparagus,Vegetables,RoW,0.244,0,0.07
1211,Asparagus,Vegetables,Germany,0.112,0,0.07
1211,Asparagus,Vegetables,Italy,0.192,0,0.07
1211,Asparagus,Vegetables,Netherlands,0.211,0,0.07
1211,Asparagus,Vegetables,Peru,0.24,0,0.07
1311,Avocados,Vegetables,RoW,0.194,0,0.07
1311,Avocados,Vegetables,Chile,0.196,0,0.07
1311,Avocados,Vegetables,Israel,0.138,0,0.07
1311,Avocados,Vegetables,Peru,0.297,0,0.07
1311,Avocados,Vegetables,South Africa,0.175,0,0.07
1312,Bananas,Fruits,RoW,0.071,0,0.07
1312,Bananas,Fruits,Colombia,0.175,0,0.07
1312,Bananas,Fruits,Costa Rica,0.384,0,0.07
1312,Bananas,Fruits,Ecuador,0.255,0,0.07
1312,Bananas,Fruits,Panama,0.114,0,0.07
115,"Barley, average","Cereals, incl feed",RoW,0.034,0,0.045
115,"Barley, average","Cereals, incl feed",Sweden,0.966,0,0.045
0115_s,"Barley, spring",Cereals,RoW,0.034,0,0.045
0115_s,"Barley, spring",Cereals,Sweden,0.966,0,0.045
0115_w,"Barley, winter",Cereals,RoW,0.034,0,0.045
0115_w,"Barley, winter",Cereals,Sweden,0.966,0,0.045
1701,"Beans, dry",Pulses,RoW,0.465,0,0.06
1701,"Beans, dry",Pulses,"China, mainland",0.306,0,0.06
1701,"Beans, dry",Pulses,Kyrgyzstan,0.109,0,0.06
1701,"Beans, dry",Pulses,United States of America,0.12,0,0.06
1355.01,Blueberries,Berries,RoW,1,0,0.07
1377,"Brazil nuts, in shell",Nuts,RoW,0.11,0,0.06
1377,"Brazil nuts, in shell",Nuts,Australia,0.135,0,0.06
1377,"Brazil nuts, in shell",Nuts,United States of America,0.756,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.004,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",Sweden,0.996,0,0.06
1243,"Broad beans and horse beans, green",Vegetables,RoW,0.004,0,0.07
1243,"Broad beans and horse beans, green",Vegetables,Sweden,0.996,0,0.07
1192,Buckwheat,Seeds,RoW,0.269,0,0.06
1192,Buckwheat,Seeds,Lithuania,0.117,0,0.06
1192,Buckwheat,Seeds,Poland,0.613,0,0.06
1212,Cabbages,Vegetables,RoW,0.239,0,0.07
1212,Cabbages,Vegetables,Germany,0.396,0,0.07
1212,Cabbages,Vegetables,Sweden,0.365,0,0.07
1229,Cantaloupes and other melons,Fruits,RoW,0.162,0,0.07
1229,Cantaloupes and other melons,Fruits,Brazil,0.208,0,0.07
1229,Cantaloupes and other melons,Fruits,Spain,0.63,0,0.07
1251,Carrots and turnips,Vegetables,RoW,0.071,0,0.07
1251,Carrots and turnips,Vegetables,Sweden,0.929,0,0.07
1372,"Cashew nuts, in shell",Nuts,RoW,0.237,0,0.06
1372,"Cashew nuts, in shell",Nuts,Ghana,0.102,0,0.06
1372,"Cashew nuts, in shell",Nuts,India,0.224,0,0.06
1372,"Cashew nuts, in shell",Nuts,Côte d'Ivoire,0.27,0,0.06
1372,"Cashew nuts, in shell",Nuts,United Republic of Tanzania,0.167,0,0.06
1213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.162,0,0.07
1213,"Cauliflowers and broccoli, average",Vegetables,Brazil,0.208,0,0.07
1213,"Cauliflowers and broccoli, average",Vegetables,Spain,0.63,0,0.07
01213_b,Broccoli,Vegetables,RoW,0.219,0,0.07
01213_b,Broccoli,Vegetables,France,0.116,0,0.07
01213_b,Broccoli,Vegetables,Spain,0.24,0,0.07
01213_b,Broccoli,Vegetables,Sweden,0.425,0,0.07
01213_cf,Cauliflowers,Vegetables,RoW,0.219,0,0.07
01213_cf,Cauliflowers,Vegetables,France,0.116,0,0.07
01213_cf,Cauliflowers,Vegetables,Spain,0.24,0,0.07
01213_cf,Cauliflowers,Vegetables,Sweden,0.425,0,0.07
1199.9,Cereals n.e.c.,Cereals,Sweden,1,0,0.045
1344.02,Cherries,Berries,RoW,0.26,0,0.07
1344.02,Cherries,Berries,Austria,0.115,0,0.07
1344.02,Cherries,Berries,Sweden,0.23,0,0.07
1344.02,Cherries,Berries,Turkey,0.395,0,0.07
1373,"Chestnuts, in shell",Nuts,RoW,0.18,0,0.06
1373,"Chestnuts, in shell",Nuts,"China, mainland",0.82,0,0.06
1703,"Chick peas, dry",Pulses,Argentina,0.129,0,0.06
1703,"Chick peas, dry",Pulses,RoW,0.178,0,0.06
1703,"Chick peas, dry",Pulses,Canada,0.107,0,0.06
1703,"Chick peas, dry",Pulses,India,0.156,0,0.06
1703,"Chick peas, dry",Pulses,Turkey,0.312,0,0.06
1703,"Chick peas, dry",Pulses,United States of America,0.118,0,0.06
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.178,0,0.07
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Netherlands,0.457,0,0.07
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Spain,0.365,0,0.07
1640,Cocoa beans,Stimulants,RoW,0.102,0,0.07
1640,Cocoa beans,Stimulants,Cameroon,0.11,0,0.07
1640,Cocoa beans,Stimulants,Ghana,0.236,0,0.07
1640,Cocoa beans,Stimulants,Côte d'Ivoire,0.435,0,0.07
1640,Cocoa beans,Stimulants,Nigeria,0.118,0,0.07
1460,"Coconut, in shell",Nuts,RoW,0.105,0,0.06
1460,"Coconut, in shell",Nuts,Indonesia,0.177,0,0.06
1460,"Coconut, in shell",Nuts,Philippines,0.718,0,0.06
1610,"Coffee, green",Stimulants,RoW,0.456,0,0.07
1610,"Coffee, green",Stimulants,Brazil,0.433,0,0.07
1610,"Coffee, green",Stimulants,Peru,0.111,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.03,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,Netherlands,0.135,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,Spain,0.294,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,Sweden,0.541,0,0.07
