"FoodEx2 Code","Long Code ","FoodEx2 Name","SUA code","SUA name","Type",,,,,
"A001N","A.01.02.001","Common wheat grain","0111","wheat","Crop",,,,,
"A001P","A.01.02.001.002","Durum wheat grain","0111","wheat","Crop",,,,,
"A001N","A.01.02.001.003","Common wheat grain","0111","wheat","Crop",,,,,
"A001P","A.01.02.001.004","Durum wheat grain","0111","wheat","Crop",,,,,
"A000P","A.01.02.002.001","Barley grains","0115","barley","Crop",,,,,
"A000T","A.01.02.003","Maize grain","0112","maize (corn)","Crop",,,,,
"A001K","A.01.02.004","Rye grain","0116","rye","Crop",,,,,
"A001R","A.01.02.005","Spelt grain","0111","wheat","Crop",,,,,
"A000N","A.01.02.006","Buckwheat","01192","buckwheat","Crop",,,,,
"A001B","A.01.02.007","Common millet grain","0118","millet","Crop",,,,,
"A000G","A.01.02.008","Oat grain","0117","oats","Crop",,,,,
"A001D","A.01.02.009","Rice grain","0113","rice","Crop",,,,,
"A001J","A.01.02.009.007","Indian rice grain","0113","rice","Crop",,,,,
"A010G","A.02.01.001","Arrowroots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00QG","A.02.01.002","Beetroots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00QH","A.02.01.003","Carrots","01251","carrots and turnips","Crop",,,,,
"A00QJ","A.02.01.004","Celeriacs","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00QK","A.02.01.005","Horseradish roots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00QS","A.02.01.006","Parsley roots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00QR","A.02.01.007","Parsnip roots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00QV","A.02.01.008","Radishes","01212","cabbages","Crop",,,,,
"A00RA","A.02.01.009","Salsifies","01445","sunflower seed","Crop",,,,,
"A00RD","A.02.01.010","Swedes","01212","cabbages","Crop",,,,,
"A00RE","A.02.01.012","Turnips","01251","carrots and turnips","Crop",,,,,
"A00GZ","A.02.02.001","Garlic","01252","green garlic","Crop",,,,,
