Long Code,Name,Short Code,,,,,,,
"A.01","Grains and grain-based products","A000J",,,,"Grains and grain-based products","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.01","Grains as crops","A000L",,,,"Cereal and cereal-like grains","Included in another FoodEx code",,
"A.01.01.001","Wheat grain crop","A001M",,,,"Wheat grains","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.002","Barley grain","A000P",,,,"Barley grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.003","Corn grain","A000S",,,,"Maize grains (p)","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.004","Rye grain","A001K",,,,"Rye grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.005","Spelt grain","A001R",,,,"Spelt grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.006","Buckwheat grain","A000N",,,,"Buckwheat grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.007","Millet grain","A000Y",,,,"Millet grain (p)","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.008","Oats, grain","A000F",,,,"Oat grains (p)","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.009","Rice","A001C",,,,"Rice grains (p)","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.010","Other grains","A001Y",,,,"Other cereal and cereal-like grains","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02","Grains for human consumption","A000L",,,,"Cereal and cereal-like grains","Included in another FoodEx code",,
"A.01.02.001","Wheat grain ","A001M",,,,"Wheat grains","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.001.001","Wheat germ","A004Q",,,,"Wheat germ","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.001.002","Wheat grain, Durum","A001P",,,,"Durum wheat grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.001.003","Wheat grain, soft","A001N",,,,"Wheat grain, soft","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.001.004","Bulgur wheat","A004G",,,,"Bulgur wheat","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.002","Barley grain","A000P",,,,"Barley grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.002.001","Barley grain, whole","A000P",,,,"Barley grain","Included in another FoodEx code",,
"A.01.02.002.002","Barley, pearled","A002K",,,,"Barley, pearled","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.003","Corn grain","A000T",,,,"Maize grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.004","Rye grain","A001K",,,,"Rye grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.005","Spelt grain","A001R",,,,"Spelt grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.005.001","Spelt grain, rippen","A001R",,,,"Spelt grain","Included in another FoodEx code",,
"A.01.02.005.002","Spelt grain, unrippen","A001R",,,,"Spelt grain","Included in another FoodEx code",,
"A.01.02.006","Buckwheat grain","A000N",,,,"Buckwheat grain","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.007","Millet grain","A000Y",,,,"Millet grain (p)","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.02.008","Oats, grain","A000G",,,,"Oat grain","Exact matching of codes between FoodEx1 and FoodEx2",,
