Code,Name,Amount
A.16.02.004,"Allspice fruit",0.0003
A.16.09.001,"Almond essence",0.0002
A.11.04.001,"Almond oil",0.0001
A.04.03.001,"Tree nuts",0.2807
I.01.02.010.005,"Amaranth leaves",0.0112
A.07.01.004,"Canned anchovies",0.0245
A.11.01.009,"Fats and oils from terrestrial animals",0.111
A.01.07.001.038,"Sugar and similar, confectionery and water-based sweet desserts",0.8015
A.05.02.001,"Apples",62.8878
A.05.03.001,"Apricots",0.4295
A.16.01,"Bouquet garni",0.025
A.02.07.001,"Stems/stalks eaten as vegetables",1.1487
A.02.03.004,"Aubergines",0.1304
A.05.06.014,"Avocados",0.1529
A.06.08.007,"Bacon",0.5917
A.16.10.001,"Yeast cultures",0.5478
A.02.07.008,"Bamboo shoots",0.0371
A.16.05.007,"Barbecue or steak sauces",0.5613
A.01.02.002.001,"Barley groats",0.0614
A.16.01.009,"Basil",0.0784
A.02.06.001,"Slicing bean (young pods)",1.2838
A.06.06.001,"Bovine other slaughtering products",0.0681
A.14.01.002,"Wheat beer",3.1043
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",0.4492
A.05.04.003,"Wild strawberries",8.7811
A.01.07.002.003,"Biscuit with inclusions, filling or coating",2.0683
A.01.07.002.007,"Biscuits",0.352
A.01.07.002.002,"Confectionery including chocolate",0.1243
A.01.07.002.010,"Biscuits, oat meal",0.1
A.01.07.002.001,"Biscuits, sweet, plain",0.8393
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",0.0237
A.10.03.001,"Bitter chocolate",0.4006
A.05.04.004,"Blackberries and similar-",0.0021
A.11.05,"Functional vegetable margarines/fats",0.0233
A.11.06.001,"Traditional margarine",5.3315
A.06.09.003.001,"Blood-type sausage",0.2494
A.05.04.008,"Blueberries",0.6154
A.06.09.004.002,"Bologna-type sausage",2.593
A.04.04.011,"Borage",0.0011
A.04.02.001,"Yardlong beans (with pods)",0.0991
A.06.05.001,"Bovine and pig, minced meat",5.1979
A.06.06.021,"Bovine marrowbone",0.0183
A.06.06.013,"Pig tongue",0.0166
A.06.01.001,"Cow, ox or bull fresh meat",8.1441
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",62.0615
A.01.04.007.001,"Breadcrumbs",1.6843
I.10.04.019,"Candied or sugar preserved nuts",0.0088
A.02.04.001,"Broccoli",2.6931
A.10.01.002,"Brown sugar",0.0315
A.02.04.003,"Brussels sprouts",0.1233
A.01.02.001.004,"Bulgur",0.0188
A.11.01.001,"Milk fat from other animals",6.975
A.01.07.002.006,"Crackers and breadsticks",2.1995
A.11.01.002,"Butter oil",0.0827
A.08.06.008,"Traditional buttermilk (churning)",0.9656
A.01.07.001.046,"Cake marbled, with chocolate",1.676
A.01.07.001.008,"Spice cakes",4.5503
A.05.09.008.007,"Candied fruit, mixed fruit",0.025
A.02.15.001,"Wild fungi and similar-",2.0376
A.05.09.006.004,"Canned or jarred apricot",0.1426
I.04.02.022,"Runner beans (dry)",0.3299
A.05.09.006.012,"Miscellaneous fruits (generic)",0.5646
I.04.02.023,"Lentils (dry)",0.1772
A.05.09.006.001,"Canned or jarred mandarin",1.0199
A.05.09.006.008,"Canned or jarred peach",0.1707
A.05.09.006.003,"Canned or jarred pear",0.2949
I.04.02.024,"Peas (dry) and similar-",0.8551
A.05.09.006.011,"Canned or jarred pineapple",0.6248
A.05.09.006.007,"Canned or jarred sour cherry",0.097
A.05.09.006.006,"Canned or jarred sweet cherry",0.511
I.19.07.004.001,"Salted vegetables",0.051
A.16.02.009,"Capers buds",0.03
A.05.06.005,"Carambolas",0.212
A.10.04.004,"Caramel, hard",0.1696
A.16.02.010,"Caraway fruit",0.0048
A.15.03.002,"Still natural mineral water",321.8746
A.02.01.003,"Carrots",13.6731
A.04.03.004,"Dried nuts/seeds and related flours and powders",0.0882
A.16.02.014,"Cinnamon bark and similar-",0.0159
A.02.04.002,"Romanesco cauliflowers",2.1241
A.02.01.004,"Celeriacs",0.425
A.02.07.003,"Celtuce",0.5722
A.16.01.004,"Celery leaves",0.0763
A.01.03.008.004,"Unleavened doughs",0.1744
A.01.06.003.001,"Cereal bars mixed",1.0426
A.01.03.001.008,"Wheat bran",0.017
A.01.06.001.008,"Cereal flakes and similar",5.0963
A.01.02.010.001,"Mixture of grains",0.1481
A.02.16.006,"Chanterelles",0.0046
A.02.05.013,"Swiss chards",0.0045
I.08.08.192,"Other processed cheese",2.9584
A.08.08.069,"Soft brined cheese (feta type)",0.5858
A.05.03.006,"Cherries and similar-",1.2615
A.16.01.001,"Chervil",0.0028
A.04.03.005,"Chinese water chestnut",0.0747
A.10.04.016,"Chewing gum",0.1686
