Code,Name,Amount
I.16.08.006.001,"Aioli or garlic sauce",0.0476
A.08.09.001,"Almond drink",0.2239
A.04.03.001,"Tree nuts",0.5056
A.07.01.004,"Canned anchovies",1.1704
A.05.02.001,"Apples",40.6778
A.05.03.001,"Apricots",2.5796
A.01.05.004,"Asian-style noodles other than glass noodles",0.1586
A.02.07.001,"Stems/stalks eaten as vegetables",0.3972
A.02.03.004,"Aubergines",1.6039
A.05.06.014,"Avocados",0.4898
A.06.08.007,"Bacon",0.6856
A.16.05.007,"Barbecue or steak sauces",0.2034
A.04.02.001,"Yardlong beans (with pods)",1.629
A.02.06.001,"Slicing bean (young pods)",5.648
I.16.08.001.004,"White sauces",0.056
A.14.01.002,"Wheat beer",62.4473
A.14.01.004,"Beer, alcohol-free",10.3825
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",0.283
I.01.07.001.076,"Beignets",0.028
A.05.04.003,"Wild strawberries",3.873
A.01.07.002.003,"Biscuit with inclusions, filling or coating",0.028
A.01.07.002.002,"Confectionery including chocolate",1.2593
A.01.07.002.010,"Biscuits, oat meal",0.3293
A.01.07.002.001,"Biscuits, sweet, plain",6.0438
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",4.0993
A.10.03.001,"Bitter chocolate",0.3825
A.06.09.003.001,"Blood-type sausage",0.2447
I.07.01.017.002,"Whiting",0.2042
A.06.09.004.002,"Bologna-type sausage",0.0746
A.04.04.011,"Borage",0.3552
A.06.05.001,"Bovine and pig, minced meat",1.2474
A.06.08.003,"Bovine meat, dried",0.0187
A.06.06.017,"Buffalo edible offal, non-muscle, other than liver and kidney",0.0624
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",62.262
A.01.04.007.001,"Breadcrumbs",0.3653
A.06.09.004.001,"Breakfast-type sausage",1.3983
A.01.07.001.042,"Brioche type products",2.0392
A.04.02.007,"Broad beans (without pods)",0.1923
A.02.04.001,"Broccoli",1.4389
A.10.01.002,"Brown sugar",0.7663
A.02.04.003,"Brussels sprouts",0.3901
A.01.07.001.002,"Yeast leavened sweet doughs",1.0905
A.11.01.001,"Milk fat from other animals",0.8909
A.01.07.002.006,"Crackers and breadsticks",0.986
A.01.07.001.008,"Spice cakes",3.041
A.06.01.001,"Cow, ox or bull fresh meat",23.4488
A.07.01.013,"Smoked mackerel",0.7901
A.04.02.005,"Hummus",2.6236
I.04.02.022,"Runner beans (dry)",0.2118
I.04.02.023,"Lentils (dry)",3.7951
A.05.09.006.012,"Miscellaneous fruits (generic)",0.0951
A.05.09.006.008,"Canned or jarred peach",0.1959
A.05.09.006.011,"Canned or jarred pineapple",0.4991
A.07.01.003,"Sardines and sardine-type fishes",0.8939
