Code,Name,Amount
A.08.06.006,"Acidophilus milk",1.5578
I.16.08.006.001,"Aioli or garlic sauce",0.0557
A.14.07.003,"Alcopop and flavoured wine",0.2865
A.18.02.011,"Red algae",0.007
A.08.09.001,"Almond drink",0.0668
A.04.03.001,"Tree nuts",0.0258
A.07.01.004,"Canned anchovies",0.0051
A.11.05,"Functional vegetable margarines/fats",1.6731
A.11.01.009,"Fats and oils from terrestrial animals",0.0085
A.01.07.001.038,"Sugar and similar, confectionery and water-based sweet desserts",0.354
A.05.02.001,"Apples",18.0391
A.05.03.001,"Apricots",1.075
A.16.01,"Bouquet garni",0.0279
A.01.05.004,"Asian-style noodles other than glass noodles",0.3767
A.02.07.001,"Stems/stalks eaten as vegetables",0.3218
A.02.03.004,"Aubergines",2.436
A.05.06.014,"Avocados",0.8798
A.04.02.001,"Yardlong beans (with pods)",0.9945
A.06.08.007,"Bacon",0.4567
A.08.01.001.002,"Cow milk",207.0075
A.16.10.001,"Yeast cultures",0.0063
A.16.05.004,"Vinegar, wine",0.4961
A.16.05.007,"Barbecue or steak sauces",0.2234
A.01.07.001.002,"Yeast leavened sweet doughs",4.2379
A.16.01.009,"Basil",0.044
I.16.01.025,"Basil, dry",0.0006
A.16.01.010,"Laurel",0.0023
I.16.08.001.004,"White sauces",3.3659
A.06.06.001,"Bovine other slaughtering products",0.1422
A.14.01.002,"Wheat beer",2.6242
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",1.0079
I.01.07.001.076,"Beignets",2.4748
A.05.04.003,"Wild strawberries",8.3665
A.05.04.022,"Bilberries (generic)",0.0365
A.06.02.001,"Poultry fresh meat (muscle meat)",32.5604
A.01.07.002.003,"Biscuit with inclusions, filling or coating",9.7424
A.01.07.002.007,"Biscuits",0.5888
A.01.07.002.002,"Confectionery including chocolate",0.5788
A.01.07.002.001,"Biscuits, sweet, plain",1.4221
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",0.0451
A.10.03.001,"Bitter chocolate",0.5575
A.05.01.002,"Shaddocks",4.71
A.05.04.004,"Blackberries and similar-",0.0018
A.06.09.003.001,"Blood-type sausage",0.1869
A.09.01.001,"Whole eggs",4.7391
A.15.03,"Still bottled drinking water",108.5136
A.06.01.001,"Cow, ox or bull fresh meat",43.9991
A.06.06.021,"Bovine marrowbone",0.0186
A.06.08.003,"Bovine meat, dried",0.039
A.06.06.013,"Pig tongue",0.347
A.06.06.023,"Pig trotters and feet",0.0073
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",69.5519
A.01.04.007.001,"Breadcrumbs",0.7528
A.01.06.005.001,"Processed and mixed breakfast cereals",3.5991
A.01.07.001.042,"Brioche type products",9.5396
A.16.08.002,"Continental european brown cooked sauce, gravy",0.1467
I.10.04.019,"Candied or sugar preserved nuts",0.0232
A.04.02.007,"Broad beans (without pods)",0.0323
A.02.04.001,"Broccoli",1.2596
A.10.01.002,"Brown sugar",0.3711
A.02.04.003,"Brussels sprouts",0.0866
A.01.02.006,"Buckwheat and other pseudo-cereals and similar-",0.0085
A.02.02.002,"Welsh onions",0.8101
A.01.02.001.004,"Bulgur",0.1383
A.11.01.001,"Milk fat from other animals",5.9365
A.01.07.002.006,"Crackers and breadsticks",1.1679
A.16.08.004,"Butter sauce",0.1574
A.01.07.001.046,"Cake marbled, with chocolate",1.2266
A.01.07.001.008,"Spice cakes",5.0513
A.05.09.008.001,"Candied or sugar preserved vegetables",0.0119
A.10.04.001,"Hard candies",0.6647
A.07.01.001,"Smoked herring",0.3296
A.07.01.013,"Smoked mackerel",0.2401
A.02.15.001,"Wild fungi and similar-",2.2734
A.05.09.006.002,"Canned or jarred apple",0.0359
A.05.09.006.004,"Canned or jarred apricot",0.0251
A.04.02.005,"Hummus",0.4902
I.04.02.022,"Runner beans (dry)",1.0433
A.05.09.006.012,"Miscellaneous fruits (generic)",1.0938
I.04.02.023,"Lentils (dry)",1.5898
A.05.09.006.008,"Canned or jarred peach",0.2508
A.05.09.006.003,"Canned or jarred pear",0.049
I.04.02.024,"Peas (dry) and similar-",0.6897
A.05.09.006.011,"Canned or jarred pineapple",0.2557
A.05.09.006.006,"Canned or jarred sweet cherry",0.0159
A.07.01.003,"Sardines and sardine-type fishes",0.0996
A.07.01.014,"Tuna and bonito (generic)",2.7813
I.19.07.004.001,"Salted vegetables",2.2042
A.16.02.009,"Capers buds",0.0007
A.10.04.005,"Caramel, soft",0.1184
A.15.03.002,"Still natural mineral water",104.1355
A.02.01.003,"Carrots",13.0126
A.03.02.002,"Cassava roots",0.0093
A.02.04.002,"Romanesco cauliflowers",2.1079
A.02.01.004,"Celeriacs",0.1994
A.02.07.003,"Celtuce",0.1923
A.01.06.003.001,"Cereal bars mixed",0.3493
A.01.03.001.008,"Wheat bran",0.2804
A.01.06.001.008,"Cereal flakes and similar",0.059
A.14.02.002,"Sparkling wine",0.3178
A.02.16.006,"Chanterelles",0.0124
A.02.05.013,"Swiss chards",0.053
I.08.08.192,"Other processed cheese",10.4288
I.16.08.001.001,"Cheese sauce",0.3225
A.08.08.051,"Cheese, chevre frais",0.0465
A.08.08.069,"Soft brined cheese (feta type)",0.2276
A.05.03.006,"Cherries and similar-",1.2335
A.05.03.002,"Plums and similar-",0.4733
A.16.01.001,"Chervil",0.1156
A.02.14.010,"Chestnut puree (castanea vulgaris)",0.0755
A.04.03.005,"Chinese water chestnut",0.013
A.10.04.016,"Chewing gum",0.3841
A.06.06.024,"Chicken, other slaughtering products",0.0177
A.02.13.002,"Chicory coffee ingredient",1.7911
A.02.03.003,"Chili peppers",0.0125
A.02.04.005,"Chinese cabbages and similar-",0.1436
