Code,Name,Amount
A.14.07.003,"Alcopop and flavoured wine",3.2951
A.14.01.002,"Wheat beer",179.535
A.02.05.022,"Alfalfa sprouts",0.0818
A.18.02.011,"Red algae",0.0109
A.16.02.004,"Allspice fruit",0.0027
A.04.03.001,"Tree nuts",0.3286
A.07.01.004,"Canned anchovies",0.0004
A.16.07.002,"Apple chutney",0.0116
A.01.07.001.038,"Sugar and similar, confectionery and water-based sweet desserts",0.3373
A.05.02.001,"Apples",23.2336
A.05.03.001,"Apricots",0.0484
A.01.05.004,"Asian-style noodles other than glass noodles",0.8442
A.02.07.001,"Stems/stalks eaten as vegetables",0.193
A.02.03.004,"Aubergines",0.2307
A.05.06.014,"Avocados",0.5234
A.06.08.007,"Bacon",9.9726
A.02.07.008,"Bamboo shoots",0.0173
A.16.05.007,"Barbecue or steak sauces",0.1089
A.02.13.005,"Barley coffee ingredient",0.051
A.01.02.002.001,"Barley groats",0.061
A.16.01.009,"Basil",0.039
I.16.01.025,"Basil, dry",0.001
A.16.01.010,"Laurel",0.0111
A.02.06.001,"Slicing bean (young pods)",1.5291
I.16.08.001.004,"White sauces",1.0856
A.11.01.009,"Fats and oils from terrestrial animals",0.0859
A.14.01.004,"Beer, alcohol-free",0.3179
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",0.6078
I.01.07.001.076,"Beignets",0.0324
A.05.04.022,"Bilberries (generic)",0.6593
A.01.07.002.003,"Biscuit with inclusions, filling or coating",7.147
A.01.07.002.002,"Confectionery including chocolate",1.6272
A.01.07.002.010,"Biscuits, oat meal",1.1625
A.01.07.002.001,"Biscuits, sweet, plain",0.8641
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",2.6143
A.10.03.001,"Bitter chocolate",0.4351
A.04.02.011,"Black eyed peas (without pods)",0.0995
A.05.04.004,"Blackberries and similar-",0.1163
A.11.05,"Functional vegetable margarines/fats",3.0482
A.11.06.001,"Traditional margarine",5.9563
A.06.09.003.001,"Blood-type sausage",1.2017
A.09.01.001,"Whole eggs",10.3892
A.04.02.001,"Yardlong beans (with pods)",2.0172
A.15.03,"Still bottled drinking water",154.6285
A.04.03.003,"Brazil nuts and similar-",0.1874
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",57.8853
A.01.04.007.003,"Bread stuffing",1.3497
A.01.04.007.001,"Breadcrumbs",3.7469
A.06.09.004.001,"Breakfast-type sausage",12.8821
A.01.07.001.042,"Brioche type products",0.1334
A.16.08.002,"Continental european brown cooked sauce, gravy",2.5675
I.10.04.019,"Candied or sugar preserved nuts",0.0075
A.04.02.007,"Broad beans (without pods)",0.0957
A.02.04.001,"Broccoli",6.6507
A.10.01.002,"Brown sugar",0.1304
A.02.04.003,"Brussels sprouts",0.5504
A.01.03.003.002,"Groats",0.0053
A.01.02.001.004,"Bulgur",0.0484
A.01.07.001.002,"Yeast leavened sweet doughs",0.5916
A.11.01.001,"Milk fat from other animals",9.6489
A.01.07.002.006,"Crackers and breadsticks",1.5389
A.08.06.008,"Traditional buttermilk (churning)",0.0279
A.05.09.008.001,"Candied or sugar preserved vegetables",0.0018
A.06.01.001,"Cow, ox or bull fresh meat",50.1189
A.05.09.006.004,"Canned or jarred apricot",0.0196
I.04.02.022,"Runner beans (dry)",0.0186
A.05.09.006.012,"Miscellaneous fruits (generic)",0.8408
A.05.09.006.001,"Canned or jarred mandarin",0.0297
A.05.09.006.008,"Canned or jarred peach",0.1511
A.05.09.006.003,"Canned or jarred pear",0.1223
I.04.02.024,"Peas (dry) and similar-",2.3263
A.05.09.006.011,"Canned or jarred pineapple",0.4162
A.05.09.006.005,"Canned or jarred plum",0.0522
A.10.04.004,"Caramel, hard",0.0008
A.16.02.010,"Caraway fruit",0.0001
A.15.03.002,"Still natural mineral water",0.5118
A.16.02.011,"Cardamom fruit",0.0054
A.02.01.003,"Carrots",22.7026
A.04.03.004,"Dried nuts/seeds and related flours and powders",0.3153
A.02.04.002,"Romanesco cauliflowers",2.8846
A.02.01.004,"Celeriacs",0.0258
A.02.07.003,"Celtuce",1.9753
A.01.06.003.001,"Cereal bars mixed",1.0177
A.01.06.001.008,"Cereal flakes and similar",0.0565
A.01.02.010.001,"Mixture of grains",0.0355
A.14.02.002,"Sparkling wine",1.4541
A.01.03.008.003,"Chapati",0.0126
I.16.08.001.001,"Cheese sauce",0.1337
A.08.08.069,"Soft brined cheese (feta type)",0.1618
A.05.03.006,"Cherries and similar-",0.1548
A.04.03.005,"Chinese water chestnut",0.0078
A.10.04.016,"Chewing gum",0.0022
A.06.02.001,"Poultry fresh meat (muscle meat)",57.4223
A.04.02.006,"Chickpea flour",0.0264
A.04.02.005,"Hummus",0.8929
A.02.08.003,"Wild chicories",0.044
A.02.03.003,"Chili peppers",0.2402
A.16.07.007,"Chili pickle",0.0039
A.02.04.005,"Chinese cabbages and similar-",0.0199
A.16.01.002,"Chives",0.0017
I.10.03.002.002,"Couverture chocolate",0.0932
A.01.07.001.006,"Chocolate-based cakes",1.5532
I.10.03.006.001,"Chocolate coated confectionery",4.1352
A.05.09.012,"Chocolate coated dried fruit",0.0392
A.10.05.002,"Dessert sauces/toppings",0.1131
I.01.07.001.049,"Choux pastry dough",0.0151
A.14.04.001,"Cider",34.0292
A.16.02.014,"Cinnamon bark and similar-",0.0096
A.05.01.002,"Shaddocks",9.9293
A.05.01.005,"Tangerines",1.4618
A.16.02.015,"Cloves buds",0.0031
A.02.11.003,"Cocoa beverage-preparation, powder",0.2658
A.02.11.002,"Cocoa powder",0.0017
A.02.14.009,"Coconut water",0.6274
A.04.03.006,"Coconuts",0.0251
I.07.01.017.001,"Salted seafood",5.5806
I.07.03.001.001,"Cod roe",0.0344
A.13.03.002,"Coffee beverages",30.6511
A.02.12.006,"Instant coffee powder",1.3131
A.13.01.003,"Cola-type drinks",53.2786
A.18.02.003,"Combination of vitamin and mineral only supplements",0.3108
A.05.06.015,"Common banana",23.0057
A.02.15.001,"Wild fungi and similar-",7.2318
A.05.09.007.002,"Fruit compote, apple",1.0585
A.06.08.002,"Ham, beef",0.0473
A.06.08.006,"Cured seasoned poultry meat",0.6173
A.06.08.001,"Raw cured (or seasoned) meat",17.2113
A.06.02.002,"Turkey meat, dried",3.2977
I.16.01.015,"Coriander leaves",0.0148
A.16.02.016,"Coriander seed",0.0313
A.20.01.002,"Corn chips",0.2257
A.10.06.004,"Corn syrup",0.0024
I.08.08.187,"Cottage cheese",0.3171
A.02.03.008,"Courgettes and similar-",0.8822
A.01.03.001.007,"Couscous",0.2244
A.08.01.001.002,"Cow milk",210.9317
A.05.04.009,"Cranberries and similar-",0.0706
A.01.07.001.008,"Spice cakes",2.8057
A.08.08.113,"Mascarpone",0.0072
A.14.05.007,"Cream liqueur",0.2117
I.16.08.003.002,"Cream with other ingredients",0.2831
A.08.05.001.003,"Cream, plain",1.8331
I.16.08.003.009,"Tzatziki",0.0012
A.08.05.004.005,"Créme fraiche and other mild variants of sour cream",0.2141
A.01.04.005.001,"Rye crisp bread",0.4927
A.01.04.005.003,"Wheat crisp bread",0.1234
A.02.05.002,"Romaines",6.4958
A.01.07.001.012,"Croissant",0.7231
A.01.07.001.013,"Puff-pastry croissant, filled with chocolate",0.2072
A.01.07.001.014,"Croissant, filled with cream",0.0942
A.02.03.006,"Cucurbits fruiting vegetables",2.0184
A.16.02.017,"Cumin seed",0.0308
A.02.04.006,"Kales and similar-",0.0314
A.05.04.010,"Currants and similar-",0.0333
A.16.03.002,"Curry powder",0.0701
A.16.05.012,"Curry sauce",3.69
A.20.02.004,"Custard",1.3432
A.05.06.001,"Dates",0.0068
I.10.04.015.004,"Dessert halva",0.0406
A.16.02.018,"Dill leaves",0.0002
A.01.07.001.017,"Doughnuts-berliner",0.7681
A.10.04.008,"Dragée, sugar coated",0.156
A.05.07.004,"Dried apricots",0.0876
A.05.07.008,"Dried bananas",0.0053
A.05.07.007,"Dried dates",0.1283
I.16.01.018,"Herbs/spices sauces",0.4598
