Code,Name,Amount
A.10.05.004,"Alcoholic sweet sauce",0.01
A.14.07.003,"Alcopop and flavoured wine",1.1423
A.18.02.011,"Red algae",0.0152
A.08.09.001,"Almond drink",2.3784
A.04.03.001,"Tree nuts",2.596
A.07.01.004,"Canned anchovies",0.9581
A.01.07.001.038,"Sugar and similar, confectionery and water-based sweet desserts",0.4211
A.05.02.001,"Apples",30.4886
A.05.03.001,"Apricots",6.6685
A.02.07.001,"Stems/stalks eaten as vegetables",0.4435
A.02.03.004,"Aubergines",13.0504
A.05.06.014,"Avocados",0.4682
A.16.10.001,"Yeast cultures",0.0945
A.16.05.004,"Vinegar, wine",1.0918
A.02.13.005,"Barley coffee ingredient",2.3166
A.01.02.002.001,"Barley groats",0.4109
A.16.01.009,"Basil",0.4379
A.16.01.010,"Laurel",0.0103
I.16.08.001.004,"White sauces",0.3476
A.10.07.003,"Minor honey types",1.0973
A.06.06.001,"Bovine other slaughtering products",0.1784
A.14.01.002,"Wheat beer",47.8582
A.14.01.004,"Beer, alcohol-free",0.4132
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",0.4559
I.01.07.001.076,"Beignets",1.3492
A.05.04.003,"Wild strawberries",1.8395
A.01.07.002.003,"Biscuit with inclusions, filling or coating",4.0445
A.01.07.002.002,"Confectionery including chocolate",2.3033
A.01.07.002.010,"Biscuits, oat meal",0.0868
A.17.05.003,"Biscuits, rusks and cookies for children",0.0275
A.01.07.002.001,"Biscuits, sweet, plain",8.6529
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",2.2273
A.10.03.001,"Bitter chocolate",0.9264
A.05.03.006,"Cherries and similar-",1.668
A.07.05.007,"Mussels",0.7528
A.05.04.008,"Blueberries",0.2314
A.09.01.001,"Whole eggs",10.841
A.04.02.001,"Yardlong beans (with pods)",3.3806
A.06.06.021,"Bovine marrowbone",0.0408
A.06.06.017,"Buffalo edible offal, non-muscle, other than liver and kidney",0.4757
A.06.01.001,"Cow, ox or bull fresh meat",40.8059
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",44.1607
A.01.04.007.001,"Breadcrumbs",3.2468
A.01.07.001.042,"Brioche type products",3.3588
A.04.02.007,"Broad beans (without pods)",0.1347
A.02.04.001,"Broccoli",4.0661
A.10.01.002,"Brown sugar",0.3444
A.02.04.003,"Brussels sprouts",0.3423
A.01.02.006,"Buckwheat and other pseudo-cereals and similar-",0.0494
