Energy carrier,Country code,Carbon dioxide,"Methane, fossil",Nitrous oxide
District heating,DK,0.0244,0,0
District heating,RoW,0.02450555555555555,0,0
District heating,SE,0.0246111111111111,0,0
Electricity,DE,0.128750943509333,2.46286407512333e-4,5.76638897222222e-6
Electricity,DK,0.102925565340944,1.41965115686222e-4,5.29546226388889e-6
Electricity,ES,0.0744764114988611,2.30218006887778e-4,3.37169218888889e-6
Electricity,FR,0.024197970935416705,7.50211703281667e-5,2.26788724194444e-6
Electricity,GR,0.177767494500583,3.5289339619025e-4,6.11743450833333e-6
Electricity,HU,0.121431068833472,3.06597219101778e-4,4.25449276111111e-6
Electricity,IR,0.045961491421137,2.03433370692542e-4,5.933048669e-6
Electricity,IT,0.104993426210611,4.56430122252167e-4,4.56899877777778e-6
Electricity,PL,0.270958627947639,5.22055782962122e-4,4.88902583611111e-6
Electricity,RoW,0.325611362050926,9.08717626347936e-4,1.20666676758442e-5
Electricity,SE,0.0245695388134611,2.72995968488722e-5,2.2701113388888894e-6
Heating oil,RoW,0.08056,3.06e-5,2.8526e-6
Natural gas,RoW,0.062,2.8e-4,2e-6
Other fossil energy sources,RoW,0.071,1.55e-4,1.325e-6
Bark and chips,RoW,0.0017,2.86666666666667e-6,6.76666666666667e-7
Pellets and briquettes,RoW,0.00365,1.75e-5,7.8e-6
Other renewable energy sources,RoW,0.002675,1.01833333333333e-5,4.23833333333333e-6
Diesel fuel,RoW,0.07592,3.363e-5,2.04e-6
Capital goods,RoW,0.027,9.5e-5,1.1e-6
