"Facet Code","Process","Energy Consumption","Approximation","Electricity","Heating oil","Natural gas","Other fossil energy sources","Bark and chips","Pellets and briquettes","Other renewable energy sources","Diesel fuel","District heating"
"F28.A07JZ","Bacteria fermentation","0.39500000000000002",,,,"0.39500000000000002",,,,,,
"F28.A07GZ","Broiling/grilling","2",,"2",,,,,,,,
"F28.A0BYP","Canning / jarring","5.5477777799999997",,"0.35488395720626631","4.2851634288511722","0.90773039616360118",,,,,,
"F28.A0C6E","Cheesemaking","6.3314285699999999",,"1.2838987669103115","5.0475298030896889",,,,,,,
"F28.A07MH","Churning","3.0387499999999998",,"0.46007243246249996","2.5786775675374995",,,,,,,
"F28.A07KF","Concentration / evaporation","4.7737499999999997",,"1.2487499865",,"3.5250000134999997",,,,,,
"F28.A07KM","Condensing milk (concentration + sugars)","4.5",,"1.1771406",,"3.3228594",,,,,,
"F28.A0BA1","Cooking and similar thermal preparation processes","2.9781249999999999",,"2.4240552374062498",,"0.55406976259374996",,,,,,
"F28.A07GG","Cooking in water","4.4000000000000004",,"4.4000000000000004",,,,,,,,
"F28.A07KD","Curing","1.26","Drying","0.29589658559999998","3.9964695119999998E-2",,,,,,,
"F28.A07GV","Deep frying","9.9450000000000003",,"8.0947674580499989",,"1.8502325419500001",,,,,,
"F28.A07MF","Distillation","14.435",,"0.5551923299","13.8798076701",,,,,,,
"F28.A07KG","Drying (dehydration)","1.26",,"0.29589658559999998","3.9964695119999998E-2",,,"0.92413872180000001",,,,
"F28.A07MJ","Extraction","0.81111111000000002",,"0.2018075507235513","5.8213687698033005E-3","0.60348219050664542",,,,,,
"F28.A0CQZ","Fermentation","0.39500000000000002","Bacteria fermentation",,,"0.39500000000000002",,,,,,
"F28.A07LG","Flaking","18.399999999999999",,"0.15000000000000002","18.250000000000007",,,,,,,
"F28.A07LH","Flattening / rolling","4.0104136408912181","Grain milling","3.9850000105861181","2.5413642336340889E-2",,,,,,,
"F28.A07KQ","Freezing","1.1488888900000001",,"0.9091771103195494",,"0.23971177968045068",,,,,,
"F28.A07GR","Frying","9.9450000000000003","Deep frying","8.0947674580499989",,"1.8502325419500001",,,,,,
"F28.A0C03","Grain milling","4.0104136408912181",,"3.9850000105861181","2.5413642336340889E-2",,,,,,,
"F28.A07LA","Grinding / milling / crushing","2",,"1.9875442000000001","1.2455793999999999E-2",,,,,,,
"F28.A07LN","Juicing","3.0350000000000001",,"0.19000001394999999","2.8449999860499999",,,,,,,
"F28.A0C0L","Malting","2.68",,,,"2.68",,,,,,
"F28.A0C02","Oil production","1.5149999999999999",,"0.25112771805","6.1752763499999998E-3","1.2576970055999999",,,,,,
"F28.A07KC","Pickling","1.6025",,"0.30249999887500001",,"1.3000000011249999",,,,,,
"F28.A0BZV","Polishing","0.185",,"0.1215714291","6.3428570899999995E-2",,,,,,,
"F28.A0C0R","Processed","2.9781249999999999","Cooking and similar thermal preparation processes","0.77903818874999997",,"2.1990868112499999",,,,,,
"F28.A07LL","Puffing / expanding","2.9781249999999999","Cooking and similar thermal preparation processes","2.4240552374062498",,"0.55406976259374996",,,,,,
"F28.A0C6N","Pulping / mashing","1.83",,"0.01","1.82",,,,,,,
"F28.A07GY","Roasting","6.4497499999999999",,"1.71581125511","4.6141410883899994","0.1197976565",,,,,,
"F28.A0EKQ","Separation (in liquid phase)","0.09",,"0.09",,,,,,,,
"F28.A0C0B","Starch production","6.6733333300000002",,"1.7766666909125539","4.8966666390874458",,,,,,,
"F28.A07GM","Stewing","4.4000000000000004","Cooked in water","4.4000000000000004",,,,,,,,
"F28.A0C04","Sugar production","0.88704000000000005",,"4.7520001267200004E-2","0.30959999997696003","0.51408000040320001",,,,"1.5840000126719999E-2",,
"F28.A07HC","Toasting / coffee roasting","2.52",,"0.5200000092","1.9999999908000001",,,,,,,
"F28.A0C00","Winemaking","2.95333333",,"0.81524306447986117","2.1380902655201388",,,,,,,
"F28.A07KV","Slicing","0.28499999999999998",,"0.17500000064999999","0.10999999934999999",,,,,,,
"F28.A07KX","Dicing and stripe-cutting","0.28499999999999998","Slicing","0.17500000064999999","0.10999999934999999",,,,,,,
"F28.A07LK","Parboiling / pre-gelatinising","1.1837500000000001",,"0.11250000140000001",,"1.0712499986000001",,,,,,
"F28.A07MN","Decaffeinating","0.81111111000000002","Extraction","0.2018075507235513","5.8213687698033005E-3","0.60348219050664542",,,,,,
"F28.A0BZT","Refining","1.80666667",,"7.9459874013271606E-2","0.24256173018086419","1.4846450658058643",,,,,,
