RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.01.02.001.002,Durum wheat grain,France,FR,0.954,0.045,0111
A.01.02.001.002,Durum wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.001.003,Common wheat grain,France,FR,0.954,0.045,0111
A.01.02.001.003,Common wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.001.004,Durum wheat grain,France,FR,0.954,0.045,0111
A.01.02.001.004,Durum wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.001,Common wheat grain,France,FR,0.954,0.045,0111
A.01.02.001,Common wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.002.001,Barley grains,France,FR,0.987,0.045,0115
A.01.02.002.001,Barley grains,Rest of World,RoW,0.013,0.045,0115
A.01.02.003,Maize grain,France,FR,0.961,0.045,0112
A.01.02.003,Maize grain,Rest of World,RoW,0.039,0.045,0112
A.01.02.004,Rye grain,France,FR,0.99,0.045,0116
A.01.02.004,Rye grain,Rest of World,RoW,0.01,0.045,0116
A.01.02.005,Spelt grain,France,FR,0.954,0.045,0111
A.01.02.005,Spelt grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.006,Buckwheat,France,FR,0.932,0.06,01192
A.01.02.006,Buckwheat,Rest of World,RoW,0.068,0.06,01192
A.01.02.007,Millet grain,Rest of World,RoW,1,0.045,01193
A.01.02.007,Millet grain,France,FR,0.949,0.045,0118
A.01.02.007,Millet grain,Rest of World,RoW,0.051,0.045,0118
A.01.02.008,Oat grain,France,FR,0.931,0.045,0117
A.01.02.008,Oat grain,Rest of World,RoW,0.069,0.045,0117
A.01.02.009.007,Indian rice grain,France,FR,0.91,0.045,0113
A.01.02.009.007,Indian rice grain,Rest of World,RoW,0.09,0.045,0113
A.01.02.009,Rice grain,France,FR,0.91,0.045,0113
A.01.02.009,Rice grain,Rest of World,RoW,0.09,0.045,0113
A.01.02.010.002,Sorghum grain,France,FR,0.987,0.045,0114
A.01.02.010.002,Sorghum grain,Rest of World,RoW,0.013,0.045,0114
A.02.01.001,Arrowroots,France,FR,0.879,0.24,01599.10
A.02.01.001,Arrowroots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.002,Beetroots,France,FR,0.879,0.24,01599.10
A.02.01.002,Beetroots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.003,Carrots,France,FR,0.824,0.07,01251
A.02.01.003,Carrots,Rest of World,RoW,0.176,0.07,01251
A.02.01.004,Celeriacs,France,FR,0.879,0.24,01599.10
A.02.01.004,Celeriacs,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.005,Horseradish roots,France,FR,0.879,0.24,01599.10
A.02.01.005,Horseradish roots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.006,Parsley roots,France,FR,0.879,0.24,01599.10
A.02.01.006,Parsley roots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.007,Parsnip roots,France,FR,0.879,0.24,01599.10
A.02.01.007,Parsnip roots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.008,Radishes,France,FR,0.786,0.07,01212
A.02.01.008,Radishes,Rest of World,RoW,0.214,0.07,01212
A.02.01.009,Salsifies,France,FR,0.544,0.06,01445
A.02.01.009,Salsifies,Ukraine,UA,0.19,0.06,01445
A.02.01.009,Salsifies,Rest of World,RoW,0.266,0.06,01445
A.02.01.010,Swedes,France,FR,0.786,0.07,01212
A.02.01.010,Swedes,Rest of World,RoW,0.214,0.07,01212
A.02.01.012,Turnips,France,FR,0.824,0.07,01251
A.02.01.012,Turnips,Rest of World,RoW,0.176,0.07,01251
A.02.02.001,Garlic,France,FR,0.474,0.07,01252
A.02.02.001,Garlic,Spain,ES,0.317,0.07,01252
A.02.02.001,Garlic,Rest of World,RoW,0.209,0.07,01252
A.02.02.002,Onions,France,FR,0.703,0.07,01253.02
A.02.02.002,Onions,Netherlands,NL,0.118,0.07,01253.02
A.02.02.002,Onions,Rest of World,RoW,0.179,0.07,01253.02
A.02.02.003,Shallots,France,FR,0.703,0.07,01253.02
A.02.02.003,Shallots,Netherlands,NL,0.118,0.07,01253.02
A.02.02.003,Shallots,Rest of World,RoW,0.179,0.07,01253.02
A.02.02.004,Spring onions,France,FR,0.703,0.07,01253.02
A.02.02.004,Spring onions,Netherlands,NL,0.118,0.07,01253.02
A.02.02.004,Spring onions,Rest of World,RoW,0.179,0.07,01253.02
A.02.02.005,Chives,France,FR,0.703,0.07,01253.02
A.02.02.005,Chives,Netherlands,NL,0.118,0.07,01253.02
A.02.02.005,Chives,Rest of World,RoW,0.179,0.07,01253.02
A.02.03.001,Tomatoes,France,FR,0.313,0.07,01234
A.02.03.001,Tomatoes,Italy,IT,0.217,0.07,01234
A.02.03.001,Tomatoes,Morocco,MA,0.161,0.07,01234
A.02.03.001,Tomatoes,Spain,ES,0.188,0.07,01234
A.02.03.001,Tomatoes,Rest of World,RoW,0.122,0.07,01234
A.02.03.002,Sweet peppers,France,FR,0.123,0.07,01231
A.02.03.002,Sweet peppers,Morocco,MA,0.192,0.07,01231
A.02.03.002,Sweet peppers,Spain,ES,0.603,0.07,01231
A.02.03.002,Sweet peppers,Rest of World,RoW,0.082,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),France,FR,0.123,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),Morocco,MA,0.192,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),Spain,ES,0.603,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),Rest of World,RoW,0.082,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),France,FR,0.123,0.07,01652
A.02.03.003,Chilli pepper (Capsicum frutescens),Morocco,MA,0.192,0.07,01652
A.02.03.003,Chilli pepper (Capsicum frutescens),Spain,ES,0.603,0.07,01652
A.02.03.003,Chilli pepper (Capsicum frutescens),Rest of World,RoW,0.082,0.07,01652
A.02.03.004,Aubergines,France,FR,0.35,0.07,01233
A.02.03.004,Aubergines,Spain,ES,0.589,0.07,01233
A.02.03.004,Aubergines,Rest of World,RoW,0.061,0.07,01233
A.02.03.005,Okra,Spain,ES,0.213,0.07,01359.90
A.02.03.005,Okra,Rest of World,RoW,0.787,0.07,01359.90
A.02.03.006,Cucumbers,France,FR,0.651,0.07,01232
A.02.03.006,Cucumbers,Spain,ES,0.238,0.07,01232
A.02.03.006,Cucumbers,Rest of World,RoW,0.112,0.07,01232
A.02.03.007,Gherkins,France,FR,0.651,0.07,01232
A.02.03.007,Gherkins,Spain,ES,0.238,0.07,01232
A.02.03.007,Gherkins,Rest of World,RoW,0.112,0.07,01232
A.02.03.008,Courgettes,France,FR,0.394,0.07,01235
A.02.03.008,Courgettes,Morocco,MA,0.147,0.07,01235
A.02.03.008,Courgettes,Spain,ES,0.399,0.07,01235
A.02.03.008,Courgettes,Rest of World,RoW,0.06,0.07,01235
A.02.03.009,Melons,France,FR,0.609,0.07,01229
