RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.01.02.001.002,Durum wheat grain,Bulgaria,BG,0.131,0.045,111
A.01.02.001.002,Durum wheat grain,Greece,GR,0.632,0.045,111
A.01.02.001.002,Durum wheat grain,Rest of World,RoW,0.238,0.045,111
A.01.02.001.003,Common wheat grain,Bulgaria,BG,0.131,0.045,111
A.01.02.001.003,Common wheat grain,Greece,GR,0.632,0.045,111
A.01.02.001.003,Common wheat grain,Rest of World,RoW,0.238,0.045,111
A.01.02.001.004,Durum wheat grain,Bulgaria,BG,0.131,0.045,111
A.01.02.001.004,Durum wheat grain,Greece,GR,0.632,0.045,111
A.01.02.001.004,Durum wheat grain,Rest of World,RoW,0.238,0.045,111
A.01.02.001,Common wheat grain,Bulgaria,BG,0.131,0.045,111
A.01.02.001,Common wheat grain,Greece,GR,0.632,0.045,111
A.01.02.001,Common wheat grain,Rest of World,RoW,0.238,0.045,111
A.01.02.002.001,Barley grains,Greece,GR,0.742,0.045,115
A.01.02.002.001,Barley grains,Rest of World,RoW,0.258,0.045,115
A.01.02.003,Maize grain,Greece,GR,0.831,0.045,112
A.01.02.003,Maize grain,Rest of World,RoW,0.169,0.045,112
A.01.02.004,Rye grain,Greece,GR,0.968,0.045,116
A.01.02.004,Rye grain,Rest of World,RoW,0.032,0.045,116
A.01.02.005,Spelt grain,Bulgaria,BG,0.131,0.045,111
A.01.02.005,Spelt grain,Greece,GR,0.632,0.045,111
A.01.02.005,Spelt grain,Rest of World,RoW,0.238,0.045,111
A.01.02.006,Buckwheat,China,CN,0.162,0.06,1192
A.01.02.006,Buckwheat,Russia,RU,0.436,0.06,1192
A.01.02.006,Buckwheat,Ukraine,UA,0.255,0.06,1192
A.01.02.006,Buckwheat,Rest of World,RoW,0.147,0.06,1192
A.01.02.007,Millet grain,Guinea,GN,0.687,0.045,1193
A.01.02.007,Millet grain,Mali,ML,0.313,0.045,1193
A.01.02.007,Millet grain,Bulgaria,BG,0.118,0.045,118
A.01.02.007,Millet grain,Greece,GR,0.623,0.045,118
A.01.02.007,Millet grain,Rest of World,RoW,0.259,0.045,118
A.01.02.008,Oat grain,Greece,GR,0.876,0.045,117
A.01.02.008,Oat grain,Rest of World,RoW,0.124,0.045,117
A.01.02.009.007,Indian rice grain,Greece,GR,0.9,0.045,113
A.01.02.009.007,Indian rice grain,Rest of World,RoW,0.1,0.045,113
A.01.02.009,Rice grain,Greece,GR,0.9,0.045,113
A.01.02.009,Rice grain,Rest of World,RoW,0.1,0.045,113
A.01.02.010.002,Sorghum grain,Bulgaria,BG,0.281,0.045,114
A.01.02.010.002,Sorghum grain,USA,US,0.486,0.045,114
A.01.02.010.002,Sorghum grain,Rest of World,RoW,0.232,0.045,114
A.02.01.001,Arrowroots,China,CN,0.176,0.24,1599.1
A.02.01.001,Arrowroots,Egypt,EG,0.415,0.24,1599.1
A.02.01.001,Arrowroots,Togo,TG,0.102,0.24,1599.1
A.02.01.001,Arrowroots,Rest of World,RoW,0.306,0.24,1599.1
A.02.01.002,Beetroots,China,CN,0.176,0.24,1599.1
A.02.01.002,Beetroots,Egypt,EG,0.415,0.24,1599.1
A.02.01.002,Beetroots,Togo,TG,0.102,0.24,1599.1
A.02.01.002,Beetroots,Rest of World,RoW,0.306,0.24,1599.1
A.02.01.003,Carrots,Greece,GR,0.943,0.07,1251
A.02.01.003,Carrots,Rest of World,RoW,0.057,0.07,1251
A.02.01.004,Celeriacs,China,CN,0.176,0.24,1599.1
A.02.01.004,Celeriacs,Egypt,EG,0.415,0.24,1599.1
A.02.01.004,Celeriacs,Togo,TG,0.102,0.24,1599.1
A.02.01.004,Celeriacs,Rest of World,RoW,0.306,0.24,1599.1
A.02.01.005,Horseradish roots,China,CN,0.176,0.24,1599.1
A.02.01.005,Horseradish roots,Egypt,EG,0.415,0.24,1599.1
A.02.01.005,Horseradish roots,Togo,TG,0.102,0.24,1599.1
A.02.01.005,Horseradish roots,Rest of World,RoW,0.306,0.24,1599.1
A.02.01.006,Parsley roots,China,CN,0.176,0.24,1599.1
A.02.01.006,Parsley roots,Egypt,EG,0.415,0.24,1599.1
A.02.01.006,Parsley roots,Togo,TG,0.102,0.24,1599.1
A.02.01.006,Parsley roots,Rest of World,RoW,0.306,0.24,1599.1
A.02.01.007,Parsnip roots,China,CN,0.176,0.24,1599.1
A.02.01.007,Parsnip roots,Egypt,EG,0.415,0.24,1599.1
A.02.01.007,Parsnip roots,Togo,TG,0.102,0.24,1599.1
A.02.01.007,Parsnip roots,Rest of World,RoW,0.306,0.24,1599.1
A.02.01.008,Radishes,Greece,GR,0.996,0.07,1212
A.02.01.008,Radishes,Rest of World,RoW,0.004,0.07,1212
A.02.01.009,Salsifies,Bulgaria,BG,0.265,0.06,1445
A.02.01.009,Salsifies,Greece,GR,0.551,0.06,1445
A.02.01.009,Salsifies,Rest of World,RoW,0.183,0.06,1445
A.02.01.010,Swedes,Greece,GR,0.996,0.07,1212
A.02.01.010,Swedes,Rest of World,RoW,0.004,0.07,1212
A.02.01.012,Turnips,Greece,GR,0.943,0.07,1251
A.02.01.012,Turnips,Rest of World,RoW,0.057,0.07,1251
A.02.02.001,Garlic,Greece,GR,0.893,0.07,1252
A.02.02.001,Garlic,Rest of World,RoW,0.107,0.07,1252
A.02.02.002,Onions,Greece,GR,0.972,0.07,1253.02
