RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
"A.01.02.001.002","Durum wheat grain","Hungary","HU",0.957,0.045,0111
"A.01.02.001.002","Durum wheat grain","Rest of World","RoW",0.043,0.045,0111
"A.01.02.001.003","Common wheat grain","Hungary","HU",0.957,0.045,0111
"A.01.02.001.003","Common wheat grain","Rest of World","RoW",0.043,0.045,0111
"A.01.02.001.004","Durum wheat grain","Hungary","HU",0.957,0.045,0111
"A.01.02.001.004","Durum wheat grain","Rest of World","RoW",0.043,0.045,0111
"A.01.02.001","Common wheat grain","Hungary","HU",0.957,0.045,0111
"A.01.02.001","Common wheat grain","Rest of World","RoW",0.043,0.045,0111
"A.01.02.002.001","Barley grains","Hungary","HU",0.876,0.045,0115
"A.01.02.002.001","Barley grains","Rest of World","RoW",0.124,0.045,0115
"A.01.02.003","Maize grain","Hungary","HU",0.977,0.045,0112
"A.01.02.003","Maize grain","Rest of World","RoW",0.023,0.045,0112
"A.01.02.004","Rye grain","Hungary","HU",0.994,0.045,0116
"A.01.02.004","Rye grain","Rest of World","RoW",0.006,0.045,0116
"A.01.02.005","Spelt grain","Hungary","HU",0.957,0.045,0111
"A.01.02.005","Spelt grain","Rest of World","RoW",0.043,0.045,0111
"A.01.02.006","Buckwheat","Rest of World","RoW",1,0.06,01192
"A.01.02.007","Millet grain","Rest of World","RoW",1,0.045,01193
"A.01.02.007","Millet grain","Hungary","HU",0.727,0.045,0118
"A.01.02.007","Millet grain","Ukraine","UA",0.155,0.045,0118
"A.01.02.007","Millet grain","Rest of World","RoW",0.119,0.045,0118
"A.01.02.008","Oat grain","Hungary","HU",0.969,0.045,0117
"A.01.02.008","Oat grain","Rest of World","RoW",0.031,0.045,0117
"A.01.02.009.007","Indian rice grain","Rest of World","RoW",1,0.045,0113
"A.01.02.009","Rice grain","Rest of World","RoW",1,0.045,0113
"A.01.02.010.002","Sorghum grain","Hungary","HU",0.969,0.045,0114
