SUA Code,SUA Name,Producer Country Name,Producer Country Code,Share,Waste
"01371","Almonds, in shell","USA","US",0.792,0.06
"01371","Almonds, in shell","Rest of World","RoW",0.208,0.06
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","India","IN",0.571,0.07
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Rest of World","RoW",0.429,0.07
"01341","Apples","France","FR",0.165,0.07
"01341","Apples","Ireland","IE",0.139,0.07
"01341","Apples","Rest of World","RoW",0.696,0.07
"01343","Apricots","Spain","ES",0.113,0.07
"01343","Apricots","Turkey","TR",0.77,0.07
"01343","Apricots","Rest of World","RoW",0.118,0.07
"01379.01","Areca nuts","India","IN",0.101,0.06
"01379.01","Areca nuts","Thailand","TH",0.818,0.06
"01379.01","Areca nuts","Rest of World","RoW",0.081,0.06
"01216","Artichokes","Turkey","TR",1,0.07
"01211","Asparagus","Peru","PE",0.46,0.07
"01211","Asparagus","Spain","ES",0.149,0.07
"01211","Asparagus","Rest of World","RoW",0.391,0.07
"01311","Avocados","Chile","CL",0.204,0.07
"01311","Avocados","Israel","IL",0.13,0.07
"01311","Avocados","Peru","PE",0.265,0.07
"01311","Avocados","South Africa","ZA",0.216,0.07
"01311","Avocados","Rest of World","RoW",0.186,0.07
"01312","Bananas","Rest of World","RoW",1,0.07
"0115","Barley, average","Ireland","IE",0.78,0.045
"0115","Barley, average","Rest of World","RoW",0.22,0.045
"01701","Beans, dry","Ireland","IE",0.854,0.06
"01701","Beans, dry","Rest of World","RoW",0.146,0.06
"01355.01","Blueberries","Morocco","MA",0.129,0.07
"01355.01","Blueberries","Spain","ES",0.581,0.07
"01355.01","Blueberries","Rest of World","RoW",0.29,0.07
"01377","Brazil nuts, in shell","USA","US",0.792,0.06
"01377","Brazil nuts, in shell","Rest of World","RoW",0.208,0.06
"01702","Broad beans and horse beans, dry","Germany","DE",0.867,0.06
"01702","Broad beans and horse beans, dry","Rest of World","RoW",0.133,0.06
"01243","Broad beans and horse beans, green","Germany","DE",0.867,0.07
"01243","Broad beans and horse beans, green","Rest of World","RoW",0.133,0.07
"01192","Buckwheat","Lithuania","LT",0.512,0.06
"01192","Buckwheat","Poland","PL",0.206,0.06
"01192","Buckwheat","Russia","RU",0.112,0.06
"01192","Buckwheat","Rest of World","RoW",0.17,0.06
"01212","Cabbages","Ireland","IE",0.634,0.07
"01212","Cabbages","United Kingdom","GB",0.169,0.07
"01212","Cabbages","Rest of World","RoW",0.197,0.07
"01195","Canary seed","Canada","CA",0.986,0.06
"01195","Canary seed","Rest of World","RoW",0.014,0.06
"01229","Cantaloupes and other melons","Brazil","BR",0.465,0.07
"01229","Cantaloupes and other melons","Costa Rica","CR",0.103,0.07
"01229","Cantaloupes and other melons","Spain","ES",0.333,0.07
"01229","Cantaloupes and other melons","Rest of World","RoW",0.099,0.07
"01251","Carrots and turnips","Ireland","IE",0.675,0.07
"01251","Carrots and turnips","United Kingdom","GB",0.165,0.07
"01251","Carrots and turnips","Rest of World","RoW",0.159,0.07
"01372","Cashew nuts, in shell","Ghana","GH",0.105,0.06
"01372","Cashew nuts, in shell","India","IN",0.237,0.06
"01372","Cashew nuts, in shell","Cote d'Ivoire","CI",0.317,0.06
"01372","Cashew nuts, in shell","Rest of World","RoW",0.34,0.06
"01520.01","Cassava, fresh","Rest of World","RoW",1,0.07
"01213","Cauliflowers and broccoli, average","Brazil","BR",0.465,0.07
"01213","Cauliflowers and broccoli, average","Costa Rica","CR",0.103,0.07
"01213","Cauliflowers and broccoli, average","Spain","ES",0.333,0.07
