RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
"A.01.02.001.002","Durum wheat grain","France","FR",0.131,0.045,0111
"A.01.02.001.002","Durum wheat grain","Italy","IT",0.531,0.045,0111
"A.01.02.001.002","Durum wheat grain","Rest of World","RoW",0.337,0.045,0111
"A.01.02.001.003","Common wheat grain","France","FR",0.131,0.045,0111
"A.01.02.001.003","Common wheat grain","Italy","IT",0.531,0.045,0111
"A.01.02.001.003","Common wheat grain","Rest of World","RoW",0.337,0.045,0111
"A.01.02.001.004","Durum wheat grain","France","FR",0.131,0.045,0111
"A.01.02.001.004","Durum wheat grain","Italy","IT",0.531,0.045,0111
"A.01.02.001.004","Durum wheat grain","Rest of World","RoW",0.337,0.045,0111
"A.01.02.001","Common wheat grain","France","FR",0.131,0.045,0111
"A.01.02.001","Common wheat grain","Italy","IT",0.531,0.045,0111
"A.01.02.001","Common wheat grain","Rest of World","RoW",0.337,0.045,0111
"A.01.02.002.001","Barley grains","France","FR",0.249,0.045,0115
"A.01.02.002.001","Barley grains","Germany","DE",0.102,0.045,0115
"A.01.02.002.001","Barley grains","Italy","IT",0.49,0.045,0115
"A.01.02.002.001","Barley grains","Rest of World","RoW",0.158,0.045,0115
"A.01.02.003","Maize grain","Italy","IT",0.656,0.045,0112
"A.01.02.003","Maize grain","Ukraine","UA",0.1,0.045,0112
"A.01.02.003","Maize grain","Rest of World","RoW",0.243,0.045,0112
"A.01.02.004","Rye grain","Austria","AT",0.107,0.045,0116
"A.01.02.004","Rye grain","Germany","DE",0.383,0.045,0116
"A.01.02.004","Rye grain","Italy","IT",0.325,0.045,0116
"A.01.02.004","Rye grain","Rest of World","RoW",0.184,0.045,0116
"A.01.02.005","Spelt grain","France","FR",0.131,0.045,0111
"A.01.02.005","Spelt grain","Italy","IT",0.531,0.045,0111
"A.01.02.005","Spelt grain","Rest of World","RoW",0.337,0.045,0111
"A.01.02.006","Buckwheat","Poland","PL",0.656,0.06,01192
"A.01.02.006","Buckwheat","Rest of World","RoW",0.344,0.06,01192
"A.01.02.007","Millet grain","Guinea","GN",0.685,0.045,01193
"A.01.02.007","Millet grain","Mali","ML",0.313,0.045,01193
"A.01.02.007","Millet grain","Rest of World","RoW",0.002,0.045,01193
"A.01.02.007","Millet grain","France","FR",0.19,0.045,0118
"A.01.02.007","Millet grain","India","IN",0.155,0.045,0118
"A.01.02.007","Millet grain","Russia","RU",0.164,0.045,0118
"A.01.02.007","Millet grain","Ukraine","UA",0.169,0.045,0118
"A.01.02.007","Millet grain","Rest of World","RoW",0.322,0.045,0118
"A.01.02.008","Oat grain","Italy","IT",0.882,0.045,0117
"A.01.02.008","Oat grain","Rest of World","RoW",0.118,0.045,0117
"A.01.02.009.007","Indian rice grain","Latvia","LV",0.803,0.045,0113
"A.01.02.009.007","Indian rice grain","Rest of World","RoW",0.197,0.045,0113
"A.01.02.009","Rice grain","Latvia","LV",0.803,0.045,0113
"A.01.02.009","Rice grain","Rest of World","RoW",0.197,0.045,0113
"A.01.02.010.002","Sorghum grain","Italy","IT",0.701,0.045,0114
"A.01.02.010.002","Sorghum grain","Ukraine","UA",0.113,0.045,0114
"A.01.02.010.002","Sorghum grain","Rest of World","RoW",0.186,0.045,0114
"A.02.01.001","Arrowroots","China","CN",0.128,0.24,01599.10
"A.02.01.001","Arrowroots","France","FR",0.265,0.24,01599.10
"A.02.01.001","Arrowroots","Cote d'Ivoire","CI",0.151,0.24,01599.10
"A.02.01.001","Arrowroots","Nicaragua","NI",0.104,0.24,01599.10
"A.02.01.001","Arrowroots","Togo","TG",0.106,0.24,01599.10
"A.02.01.001","Arrowroots","Rest of World","RoW",0.246,0.24,01599.10
"A.02.01.002","Beetroots","China","CN",0.128,0.24,01599.10
"A.02.01.002","Beetroots","France","FR",0.265,0.24,01599.10
"A.02.01.002","Beetroots","Cote d'Ivoire","CI",0.151,0.24,01599.10
"A.02.01.002","Beetroots","Nicaragua","NI",0.104,0.24,01599.10
"A.02.01.002","Beetroots","Togo","TG",0.106,0.24,01599.10
"A.02.01.002","Beetroots","Rest of World","RoW",0.246,0.24,01599.10
"A.02.01.003","Carrots","Italy","IT",0.972,0.07,01251
"A.02.01.003","Carrots","Rest of World","RoW",0.028,0.07,01251
"A.02.01.004","Celeriacs","China","CN",0.128,0.24,01599.10
"A.02.01.004","Celeriacs","France","FR",0.265,0.24,01599.10
"A.02.01.004","Celeriacs","Cote d'Ivoire","CI",0.151,0.24,01599.10
"A.02.01.004","Celeriacs","Nicaragua","NI",0.104,0.24,01599.10
"A.02.01.004","Celeriacs","Togo","TG",0.106,0.24,01599.10
"A.02.01.004","Celeriacs","Rest of World","RoW",0.246,0.24,01599.10
"A.02.01.005","Horseradish roots","China","CN",0.128,0.24,01599.10
"A.02.01.005","Horseradish roots","France","FR",0.265,0.24,01599.10
"A.02.01.005","Horseradish roots","Cote d'Ivoire","CI",0.151,0.24,01599.10
"A.02.01.005","Horseradish roots","Nicaragua","NI",0.104,0.24,01599.10
"A.02.01.005","Horseradish roots","Togo","TG",0.106,0.24,01599.10
"A.02.01.005","Horseradish roots","Rest of World","RoW",0.246,0.24,01599.10
"A.02.01.006","Parsley roots","China","CN",0.128,0.24,01599.10
"A.02.01.006","Parsley roots","France","FR",0.265,0.24,01599.10
"A.02.01.006","Parsley roots","Cote d'Ivoire","CI",0.151,0.24,01599.10
"A.02.01.006","Parsley roots","Nicaragua","NI",0.104,0.24,01599.10
"A.02.01.006","Parsley roots","Togo","TG",0.106,0.24,01599.10
"A.02.01.006","Parsley roots","Rest of World","RoW",0.246,0.24,01599.10
"A.02.01.007","Parsnip roots","China","CN",0.128,0.24,01599.10
"A.02.01.007","Parsnip roots","France","FR",0.265,0.24,01599.10
"A.02.01.007","Parsnip roots","Cote d'Ivoire","CI",0.151,0.24,01599.10
"A.02.01.007","Parsnip roots","Nicaragua","NI",0.104,0.24,01599.10
"A.02.01.007","Parsnip roots","Togo","TG",0.106,0.24,01599.10
"A.02.01.007","Parsnip roots","Rest of World","RoW",0.246,0.24,01599.10
"A.02.01.008","Radishes","Italy","IT",0.938,0.07,01212
"A.02.01.008","Radishes","Rest of World","RoW",0.062,0.07,01212
"A.02.01.009","Salsifies","Italy","IT",0.198,0.06,01445
"A.02.01.009","Salsifies","Russia","RU",0.287,0.06,01445
"A.02.01.009","Salsifies","Ukraine","UA",0.154,0.06,01445
"A.02.01.009","Salsifies","Rest of World","RoW",0.361,0.06,01445
"A.02.01.010","Swedes","Italy","IT",0.938,0.07,01212
"A.02.01.010","Swedes","Rest of World","RoW",0.062,0.07,01212
"A.02.01.012","Turnips","Italy","IT",0.972,0.07,01251
"A.02.01.012","Turnips","Rest of World","RoW",0.028,0.07,01251
"A.02.02.001","Garlic","Italy","IT",0.51,0.07,01252
"A.02.02.001","Garlic","Spain","ES",0.326,0.07,01252
"A.02.02.001","Garlic","Rest of World","RoW",0.164,0.07,01252
"A.02.02.002","Onions","Italy","IT",0.811,0.07,01253.02
"A.02.02.002","Onions","Rest of World","RoW",0.189,0.07,01253.02
"A.02.02.003","Shallots","Italy","IT",0.811,0.07,01253.02
"A.02.02.003","Shallots","Rest of World","RoW",0.189,0.07,01253.02
"A.02.02.004","Spring onions","Italy","IT",0.811,0.07,01253.02
"A.02.02.004","Spring onions","Rest of World","RoW",0.189,0.07,01253.02
"A.02.02.005","Chives","Italy","IT",0.811,0.07,01253.02
"A.02.02.005","Chives","Rest of World","RoW",0.189,0.07,01253.02
"A.02.03.001","Tomatoes","Italy","IT",0.877,0.07,01234
"A.02.03.001","Tomatoes","Rest of World","RoW",0.123,0.07,01234
"A.02.03.002","Sweet peppers","Italy","IT",0.809,0.07,01231
"A.02.03.002","Sweet peppers","Spain","ES",0.16,0.07,01231
"A.02.03.002","Sweet peppers","Rest of World","RoW",0.031,0.07,01231
"A.02.03.003","Chilli pepper (Capsicum frutescens)","Italy","IT",0.809,0.07,01231
"A.02.03.003","Chilli pepper (Capsicum frutescens)","Spain","ES",0.16,0.07,01231
"A.02.03.003","Chilli pepper (Capsicum frutescens)","Rest of World","RoW",0.031,0.07,01231
"A.02.03.003","Chilli pepper (Capsicum frutescens)","Italy","IT",0.809,0.07,01652
"A.02.03.003","Chilli pepper (Capsicum frutescens)","Spain","ES",0.16,0.07,01652
"A.02.03.003","Chilli pepper (Capsicum frutescens)","Rest of World","RoW",0.031,0.07,01652
"A.02.03.004","Aubergines","Italy","IT",0.945,0.07,01233
"A.02.03.004","Aubergines","Rest of World","RoW",0.055,0.07,01233
"A.02.03.005","Okra","Rest of World","RoW",1,0.07,01359.90
"A.02.03.006","Cucumbers","Italy","IT",0.814,0.07,01232
"A.02.03.006","Cucumbers","Spain","ES",0.129,0.07,01232
"A.02.03.006","Cucumbers","Rest of World","RoW",0.057,0.07,01232
"A.02.03.007","Gherkins","Italy","IT",0.814,0.07,01232
"A.02.03.007","Gherkins","Spain","ES",0.129,0.07,01232
"A.02.03.007","Gherkins","Rest of World","RoW",0.057,0.07,01232
"A.02.03.008","Courgettes","Italy","IT",0.956,0.07,01235
"A.02.03.008","Courgettes","Rest of World","RoW",0.044,0.07,01235
"A.02.03.009","Melons","Italy","IT",0.949,0.07,01229
"A.02.03.009","Melons","Rest of World","RoW",0.051,0.07,01229
"A.02.03.010","Pumpkins","Italy","IT",0.956,0.07,01235
"A.02.03.010","Pumpkins","Rest of World","RoW",0.044,0.07,01235
"A.02.03.011","Watermelons","Italy","IT",0.911,0.07,01221
"A.02.03.011","Watermelons","Rest of World","RoW",0.089,0.07,01221
"A.02.03.012","Sweet corn","France","FR",0.557,0.07,01290.01
"A.02.03.012","Sweet corn","Hungary","HU",0.389,0.07,01290.01
"A.02.03.012","Sweet corn","Rest of World","RoW",0.054,0.07,01290.01
"A.02.04.001","Broccoli","Italy","IT",0.949,0.07,01213
"A.02.04.001","Broccoli","Rest of World","RoW",0.051,0.07,01213
"A.02.04.002","Cauliflowers","Italy","IT",0.949,0.07,01213
"A.02.04.002","Cauliflowers","Rest of World","RoW",0.051,0.07,01213
"A.02.04.003","Brussels sprouts","Italy","IT",0.938,0.07,01212
