RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
"A.01.02.001.002","Durum wheat grain","Rest of World","RoW",1,0.045,0111
"A.01.02.001.003","Common wheat grain","Rest of World","RoW",1,0.045,0111
"A.01.02.001.004","Durum wheat grain","Rest of World","RoW",1,0.045,0111
"A.01.02.001","Common wheat grain","Rest of World","RoW",1,0.045,0111
"A.01.02.002.001","Barley grains","Rest of World","RoW",1,0.045,0115
"A.01.02.003","Maize grain","Rest of World","RoW",1,0.045,0112
"A.01.02.004","Rye grain","Poland","PL",0.998,0.045,0116
"A.01.02.004","Rye grain","Rest of World","RoW",0.002,0.045,0116
"A.01.02.005","Spelt grain","Rest of World","RoW",1,0.045,0111
"A.01.02.006","Buckwheat","Poland","PL",0.939,0.06,01192
"A.01.02.006","Buckwheat","Rest of World","RoW",0.061,0.06,01192
"A.01.02.007","Common millet grain","Poland","PL",0.946,0.045,0118
"A.01.02.007","Common millet grain","Rest of World","RoW",0.054,0.045,0118
"A.01.02.008","Oat grain","Rest of World","RoW",1,0.045,0117
"A.01.02.009.007","Indian rice grain","Poland","PL",0.999,0.045,0113
"A.01.02.009.007","Indian rice grain","Rest of World","RoW",0.001,0.045,0113
"A.01.02.009","Rice grain","Poland","PL",0.999,0.045,0113
"A.01.02.009","Rice grain","Rest of World","RoW",0.001,0.045,0113
"A.02.01.001","Arrowroots","Rest of World","RoW",1,0.24,01599.10
"A.02.01.002","Beetroots","Rest of World","RoW",1,0.24,01599.10
"A.02.01.003","Carrots","Rest of World","RoW",1,0.07,01251
"A.02.01.004","Celeriacs","Rest of World","RoW",1,0.24,01599.10
"A.02.01.005","Horseradish roots","Rest of World","RoW",1,0.24,01599.10
"A.02.01.006","Parsley roots","Rest of World","RoW",1,0.24,01599.10
"A.02.01.007","Parsnip roots","Rest of World","RoW",1,0.24,01599.10
"A.02.01.008","Radishes","Rest of World","RoW",1,0.07,01212
"A.02.01.009","Salsifies","Ukraine","UA",0.787,0.06,01445
"A.02.01.009","Salsifies","Rest of World","RoW",0.213,0.06,01445
