RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
"A.01.02.001.002","Durum wheat grain","Sweden","SE",0.786,0.045,0111
"A.01.02.001.002","Durum wheat grain","Rest of World","RoW",0.214,0.045,0111
"A.01.02.001.003","Common wheat grain","Sweden","SE",0.786,0.045,0111
"A.01.02.001.003","Common wheat grain","Rest of World","RoW",0.214,0.045,0111
"A.01.02.001.004","Durum wheat grain","Sweden","SE",0.786,0.045,0111
"A.01.02.001.004","Durum wheat grain","Rest of World","RoW",0.214,0.045,0111
"A.01.02.001","Common wheat grain","Sweden","SE",0.786,0.045,0111
"A.01.02.001","Common wheat grain","Rest of World","RoW",0.214,0.045,0111
"A.01.02.002.001","Barley grains","Sweden","SE",0.966,0.045,0115
"A.01.02.002.001","Barley grains","Rest of World","RoW",0.034,0.045,0115
"A.01.02.003","Maize grain","France","FR",0.268,0.045,0112
"A.01.02.003","Maize grain","Germany","DE",0.146,0.045,0112
"A.01.02.003","Maize grain","Rest of World","RoW",0.586,0.045,0112
"A.01.02.004","Rye grain","Sweden","SE",0.924,0.045,0116
"A.01.02.004","Rye grain","Rest of World","RoW",0.076,0.045,0116
"A.01.02.005","Spelt grain","Sweden","SE",0.786,0.045,0111
"A.01.02.005","Spelt grain","Rest of World","RoW",0.214,0.045,0111
"A.01.02.006","Buckwheat","Lithuania","LT",0.117,0.06,01192
"A.01.02.006","Buckwheat","Poland","PL",0.613,0.06,01192
"A.01.02.006","Buckwheat","Rest of World","RoW",0.269,0.06,01192
"A.01.02.007","Common millet grain","China","CN",0.163,0.045,0118
"A.01.02.007","Common millet grain","Russia","RU",0.318,0.045,0118
"A.01.02.007","Common millet grain","Rest of World","RoW",0.52,0.045,0118
"A.01.02.008","Oat grain","Sweden","SE",0.99,0.045,0117
"A.01.02.008","Oat grain","Rest of World","RoW",0.01,0.045,0117
"A.01.02.009.007","Indian rice grain","Sweden","SE",1,0.045,0113
"A.01.02.009","Rice grain","Sweden","SE",1,0.045,0113
"A.02.01.001","Arrowroots","China","CN",0.612,0.24,01599.10
"A.02.01.001","Arrowroots","Thailand","TH",0.104,0.24,01599.10
"A.02.01.001","Arrowroots","Togo","TG",0.105,0.24,01599.10
"A.02.01.001","Arrowroots","Rest of World","RoW",0.18,0.24,01599.10
"A.02.01.002","Beetroots","China","CN",0.612,0.24,01599.10
"A.02.01.002","Beetroots","Thailand","TH",0.104,0.24,01599.10
"A.02.01.002","Beetroots","Togo","TG",0.105,0.24,01599.10
"A.02.01.002","Beetroots","Rest of World","RoW",0.18,0.24,01599.10
"A.02.01.003","Carrots","Sweden","SE",0.929,0.07,01251
"A.02.01.003","Carrots","Rest of World","RoW",0.071,0.07,01251
"A.02.01.004","Celeriacs","China","CN",0.612,0.24,01599.10
"A.02.01.004","Celeriacs","Thailand","TH",0.104,0.24,01599.10
"A.02.01.004","Celeriacs","Togo","TG",0.105,0.24,01599.10
"A.02.01.004","Celeriacs","Rest of World","RoW",0.18,0.24,01599.10
"A.02.01.005","Horseradish roots","China","CN",0.612,0.24,01599.10
"A.02.01.005","Horseradish roots","Thailand","TH",0.104,0.24,01599.10
"A.02.01.005","Horseradish roots","Togo","TG",0.105,0.24,01599.10
"A.02.01.005","Horseradish roots","Rest of World","RoW",0.18,0.24,01599.10
"A.02.01.006","Parsley roots","China","CN",0.612,0.24,01599.10
"A.02.01.006","Parsley roots","Thailand","TH",0.104,0.24,01599.10
"A.02.01.006","Parsley roots","Togo","TG",0.105,0.24,01599.10
"A.02.01.006","Parsley roots","Rest of World","RoW",0.18,0.24,01599.10
"A.02.01.007","Parsnip roots","China","CN",0.612,0.24,01599.10
"A.02.01.007","Parsnip roots","Thailand","TH",0.104,0.24,01599.10
"A.02.01.007","Parsnip roots","Togo","TG",0.105,0.24,01599.10
"A.02.01.007","Parsnip roots","Rest of World","RoW",0.18,0.24,01599.10
"A.02.01.008","Radishes","Germany","DE",0.396,0.07,01212
"A.02.01.008","Radishes","Sweden","SE",0.365,0.07,01212
"A.02.01.008","Radishes","Rest of World","RoW",0.239,0.07,01212
"A.02.01.009","Salsifies","Bulgaria","BG",0.177,0.06,01445
"A.02.01.009","Salsifies","France","FR",0.164,0.06,01445
"A.02.01.009","Salsifies","Hungary","HU",0.125,0.06,01445
"A.02.01.009","Salsifies","Russia","RU",0.106,0.06,01445
"A.02.01.009","Salsifies","Ukraine","UA",0.251,0.06,01445
"A.02.01.009","Salsifies","Rest of World","RoW",0.176,0.06,01445
"A.02.01.010","Swedes","Germany","DE",0.396,0.07,01212
"A.02.01.010","Swedes","Sweden","SE",0.365,0.07,01212
"A.02.01.010","Swedes","Rest of World","RoW",0.239,0.07,01212
"A.02.01.012","Turnips","Sweden","SE",0.929,0.07,01251
"A.02.01.012","Turnips","Rest of World","RoW",0.071,0.07,01251
"A.02.02.001","Garlic","Spain","ES",0.457,0.07,01252
"A.02.02.001","Garlic","Rest of World","RoW",0.543,0.07,01252
"A.02.02.002","Onions","Netherlands","NL",0.18,0.07,01253.02
"A.02.02.002","Onions","Sweden","SE",0.65,0.07,01253.02
"A.02.02.002","Onions","Rest of World","RoW",0.17,0.07,01253.02
"A.02.02.003","Shallots","Netherlands","NL",0.18,0.07,01253.02
"A.02.02.003","Shallots","Sweden","SE",0.65,0.07,01253.02
"A.02.02.003","Shallots","Rest of World","RoW",0.17,0.07,01253.02
"A.02.02.004","Spring onions","Netherlands","NL",0.18,0.07,01253.02
"A.02.02.004","Spring onions","Sweden","SE",0.65,0.07,01253.02
"A.02.02.004","Spring onions","Rest of World","RoW",0.17,0.07,01253.02
"A.02.02.005","Chives","Netherlands","NL",0.18,0.07,01253.02
"A.02.02.005","Chives","Sweden","SE",0.65,0.07,01253.02
"A.02.02.005","Chives","Rest of World","RoW",0.17,0.07,01253.02
"A.02.03.001","Tomatoes","Italy","IT",0.328,0.07,01234
"A.02.03.001","Tomatoes","Netherlands","NL",0.116,0.07,01234
"A.02.03.001","Tomatoes","Poland","PL",0.106,0.07,01234
"A.02.03.001","Tomatoes","Spain","ES",0.179,0.07,01234
"A.02.03.001","Tomatoes","Rest of World","RoW",0.27,0.07,01234
"A.02.03.002","Sweet peppers","Netherlands","NL",0.457,0.07,01231
"A.02.03.002","Sweet peppers","Spain","ES",0.365,0.07,01231
"A.02.03.002","Sweet peppers","Rest of World","RoW",0.178,0.07,01231
"A.02.03.003","Chili peppers","Netherlands","NL",0.457,0.07,01231
"A.02.03.003","Chili peppers","Spain","ES",0.365,0.07,01231
"A.02.03.003","Chili peppers","Rest of World","RoW",0.178,0.07,01231
"A.02.03.004","Aubergines","Netherlands","NL",0.537,0.07,01233
"A.02.03.004","Aubergines","Spain","ES",0.403,0.07,01233
"A.02.03.004","Aubergines","Rest of World","RoW",0.06,0.07,01233
"A.02.03.005","Okra","Spain","ES",0.108,0.07,01359.90
"A.02.03.005","Okra","Turkey","TR",0.104,0.07,01359.90
"A.02.03.005","Okra","Rest of World","RoW",0.788,0.07,01359.90
"A.02.03.006","Cucumbers","Netherlands","NL",0.135,0.07,01232
"A.02.03.006","Cucumbers","Spain","ES",0.294,0.07,01232
"A.02.03.006","Cucumbers","Sweden","SE",0.541,0.07,01232
"A.02.03.006","Cucumbers","Rest of World","RoW",0.03,0.07,01232
"A.02.03.007","Gherkins","Netherlands","NL",0.135,0.07,01232
"A.02.03.007","Gherkins","Spain","ES",0.294,0.07,01232
"A.02.03.007","Gherkins","Sweden","SE",0.541,0.07,01232
"A.02.03.007","Gherkins","Rest of World","RoW",0.03,0.07,01232
"A.02.03.008","Courgettes","Spain","ES",0.638,0.07,01235
"A.02.03.008","Courgettes","Rest of World","RoW",0.362,0.07,01235
"A.02.03.009","Melons","Brazil","BR",0.208,0.07,01229
"A.02.03.009","Melons","Spain","ES",0.63,0.07,01229
"A.02.03.009","Melons","Rest of World","RoW",0.162,0.07,01229
"A.02.03.010","Pumpkins","Spain","ES",0.638,0.07,01235
"A.02.03.010","Pumpkins","Rest of World","RoW",0.362,0.07,01235
"A.02.03.011","Watermelons","Greece","GR",0.104,0.07,01221
"A.02.03.011","Watermelons","Spain","ES",0.643,0.07,01221
"A.02.03.011","Watermelons","Rest of World","RoW",0.253,0.07,01221
"A.02.03.012","Sweet corn","France","FR",0.294,0.07,01290.01
"A.02.03.012","Sweet corn","Hungary","HU",0.312,0.07,01290.01
"A.02.03.012","Sweet corn","Thailand","TH",0.158,0.07,01290.01
"A.02.03.012","Sweet corn","USA","US",0.167,0.07,01290.01
"A.02.03.012","Sweet corn","Rest of World","RoW",0.069,0.07,01290.01
"A.02.04.001","Broccoli","Brazil","BR",0.208,0.07,01213
