"Food code (level 2)","Food name (level 2)","Food code (level 3)","Food name (level 3)","Processing facet code","Processing name","Comment","Packaging code","Packaging name"
"A.14.07","Alcoholic mixed drinks","A.14.07.003","Alcopop",,,"Mixed drinks - only mixing","P4",
"A.14.07","Alcoholic mixed drinks","A.14.07.001","Cocktail drink",,,,"P4",
"A.14.07","Alcoholic mixed drinks","A.14.07.002","Punch",,,,"P4",
"A.07.06","Amphibians, reptiles, snails, insects","A.07.06.003","Crocodile meat",,,"Raw animal product","P7",
"A.07.06","Amphibians, reptiles, snails, insects","A.07.06.001","Frog legs (Rana spp.)",,,,"P7",
"A.07.06","Amphibians, reptiles, snails, insects","A.07.06.005","Insects",,,,"P7",
"A.07.06","Amphibians, reptiles, snails, insects","A.07.06.004","Snail (Helix sp.)",,,,"P7",
"A.07.06","Amphibians, reptiles, snails, insects","A.07.06.002","Snake meat",,,,"P7",
"A.11.01","Animal fat","A.11.01.001","Butter",,,"F28.A07MH Churning included","P7",
"A.11.01","Animal fat","A.11.01.002","Butter oil",,,,"P7",
"A.11.01","Animal fat","A.11.01.005","Chicken fat",,,,"P7",
"A.11.01","Animal fat","A.11.01.007","Duck fat",,,"No process - included in slaughtering","P7",
"A.11.01","Animal fat","A.11.01.003","Ghee",,,"F28.A07MH Churning included","P7",
"A.11.01","Animal fat","A.11.01.006","Goose fat",,,,"P7",
"A.11.01","Animal fat","A.11.01.004","Pork lard (Schmaltz)",,,,"P7",
"A.11.01","Animal fat","A.11.01.009","Tallow",,,,"P7",
"A.11.01","Animal fat","A.11.01.008","Turkey fat",,,,"P7",
"A.11.01","Animal fat","A.11.01.010","Whale oil",,,,"P7",
"A.16.10","Baking ingredients","A.16.10.003","Baking powder",,,,,
"A.16.10","Baking ingredients","A.16.10.009","Cream of tartar",,,,,
"A.16.10","Baking ingredients","A.16.10.008","Gelatine",,,,,
"A.16.10","Baking ingredients","A.16.10.010","Glaze",,,,,
"A.16.10","Baking ingredients","A.16.10.007","Gum",,,,,
"A.16.10","Baking ingredients","A.16.10.006","Pectin",,,,,
"A.16.10","Baking ingredients","A.16.10.004","Powdered baking ammonia",,,,,
"A.16.10","Baking ingredients","A.16.10.002","Sodium bicarbonate",,,,,
"A.16.10","Baking ingredients","A.16.10.005","Sourdough starter",,,,,
"A.16.10","Baking ingredients","A.16.10.001","Yeast",,,,,
"A.19.04","Beans-based meals","A.19.04.001","Beans and meat meal","F28.A0BA1","Cooking and similar thermal preparation processes",,"P5",
"A.19.04","Beans-based meals","A.19.04.002","Beans and vegetables meal","F28.A0BA1","Cooking and similar thermal preparation processes",,"P5",
"A.19.04","Beans-based meals","A.19.04.003","Beans, meat, and vegetables meal","F28.A0BA1","Cooking and similar thermal preparation processes",,"P5",
"A.14.01","Beer and beer-like beverage","I.14.01.008","Beer with coke 1/1","F28.A07JZ","Bacteria fermentation",,"P4",
"A.14.01","Beer and beer-like beverage","I.14.01.006","Beer with limonade 1/1","F28.A07JZ","Bacteria fermentation",,"P4",
"A.14.01","Beer and beer-like beverage","A.14.01.004","Beer, alcohol-free","F28.A07JZ","Bacteria fermentation",,"P4",
"A.14.01","Beer and beer-like beverage","A.14.01.003","Beer, light (reduced alcohol content)","F28.A07JZ","Bacteria fermentation",,"P4",
"A.14.01","Beer and beer-like beverage","A.14.01.002","Beer, regular","F28.A07JZ","Bacteria fermentation",,"P4",
"A.14.01","Beer and beer-like beverage","A.14.01.001","Beer, strong","F28.A07JZ","Bacteria fermentation",,"P4",
"A.14.01","Beer and beer-like beverage","A.14.01.005","Beer-like beverages (Malt drink)","F28.A07JZ","Bacteria fermentation",,"P4",
"A.14.01","Beer and beer-like beverage","I.14.01.007","Malt drink","F28.A07JZ","Bacteria fermentation",,"P4",
"A.05.04","Berries and small fruits","A.05.04.014","Azarole (mediteranean medlar) (Crataegus azarolus)",,,"No process - raw commodity","P1",
"A.05.04","Berries and small fruits","A.05.04.021","Bearberry (Arctostaphylos spp.)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.022","Bilberry or whortleberry (Vaccinium spp.)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.004","Blackberries (Rubus fruticosus)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.008","Blueberries (Vaccinium corymbosum)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.007","Boysenberry (Rubus ursinus x idaeus)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.016","Cloudberry (Rubus chamaemorus)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.009","Cranberries (Vaccinium macrocarpon)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.024","Cranberry (Vaccinium spp.)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.023","Crowberry (Empetrum spp.)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.010","Currants (red, black and white) (Ribes nigrum, Ribes rubrum)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.005","Dewberries (Rubus ceasius)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.015","Elderberries (Sambucus nigra)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.011","Gooseberries (Ribes uva-crispa)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.025","Huckleberry (Vaccinium spp.)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.028","Jabuticaba (Brazilian grape tree) (Myrciaria cauliflora)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.026","Lingonberry (Vaccinium vitis-idaea)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.017","Loganberry (Rubus loganobaccus)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.013","Mulberries (Morus spp.)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.029","Physalis (Physalis peruviana)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.006","Raspberries (Rubus idaeus)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.012","Rose hips (Rosa canina)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.018","Salmonberry (Rubus spectabilis)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.030","Sea buckthorn (Hippophae rhamnoides)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.003","Strawberries (Fragaria × ananassa)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.027","Strawberry Tree (Arbutus unedo), not to be confused with the Strawberry (Fragaria)",,,,"P1",
"A.05.04","Berries and small fruits","A.05.04.001","Table grapes (Vitis euvitis)",,,,"P1",
