Food code (level 3),Food name (level 3),Processing facet code,Processing name,Comment
A.01.02.001,Wheat grain,F28.A0BZV,Polishing,F28.A07XD unspecified already included
A.01.02.002,Barley grain,F28.A0BZV,Polishing,F28.A07XD unspecified already included
A.01.02.003,Corn grain,F28.A0BZV,Polishing,F28.A07XD unspecified already included
A.01.02.004,Rye grain,F28.A0BZV,Polishing,F28.A07XD unspecified already included
A.01.02.005,Spelt grain,F28.A0BZV,Polishing,F28.A07XD unspecified already included
A.01.02.006,Buckwheat grain,F28.A0BZV,Polishing,
A.01.02.007,Millet grain,F28.A0BZV,Polishing,F28.A07XD unspecified already included
A.01.02.008,"Oats, grain",F28.A0BZV,Polishing,
A.01.02.009,Rice,F28.A0BZV,Polishing,F28.A0BZV polishing and F28.A07XD unspecifiedincluded already
A.01.02.010,Other grains,F28.A0BZV,Polishing,F28.A07XD unspecified already included
A.01.04.001,Wheat bread and rolls,F28.A07GY,Roasting,
A.01.04.002,Rye bread and rolls,F28.A07GY,Roasting,
A.01.04.003,Mixed wheat and rye bread and rolls,F28.A07GY,Roasting,
A.01.04.004,Multigrain bread and rolls,F28.A07GY,Roasting,
A.01.04.005,"Unleavened bread, crisp bread and rusk",F28.A07GY,Roasting,
A.01.04.006,Other bread,F28.A07GY,Roasting,
A.01.04.007,Bread products,F28.A07GY,Roasting,
A.01.05.001,Glass noodle,F28.A0C0R,Processed,"F28.A0C03/F28.A07LA milling/grinding is included but added process to make the pasta, could be updated to a more precise process"
A.01.05.002,"Noodle, rice",F28.A0C0R,Processed,
A.01.05.003,"Noodle, wheat flour, with eggs",F28.A0C0R,Processed,
A.01.05.004,"Noodle, wheat flour, without eggs",F28.A0C0R,Processed,
A.01.05.005,"Pasta, wheat flour, with eggs",F28.A0C0R,Processed,
A.01.05.006,"Pasta, wheat flour, without eggs",F28.A0C0R,Processed,
A.01.05.007,"Pasta, wheat flour, filled",F28.A0C0R,Processed,
A.01.05.008,"Pasta, mixed cereal flour",F28.A0C0R,Processed,
A.01.05.009,"Pasta, rye flour",F28.A0C0R,Processed,
A.01.05.010,"Pasta, soy flour",F28.A0C0R,Processed,
A.01.05.011,"Pasta, spelt flour",F28.A0C0R,Processed,
A.01.05.012,"Pasta, spelt wholemeal",F28.A0C0R,Processed,
A.01.05.013,"Pasta, wheat wholemeal, without eggs",F28.A0C0R,Processed,
A.01.05.014,"Pasta, wheat wholemeal, with eggs",F28.A0C0R,Processed,
A.01.05.015,"Pasta, gluten free",F28.A0C0R,Processed,
A.01.06.001,Cereal flakes,F28.A07LL,Puffing / expanding,
A.01.06.002,Muesli,F28.A07GY,Roasting,
A.01.06.003,Cereal bars,F28.A07GY,Roasting,
A.01.06.005,Mixed breakfast cereals,F28.A07LL,Puffing / expanding,
A.01.06.006,Grits,F28.A0BA1,Cooking and similar thermal preparation processes,
A.01.06.007,Porridge,F28.A0BA1,Cooking and similar thermal preparation processes,
A.01.07.001,Pastries and cakes,F28.A07GY,Roasting,
A.01.07.002,Biscuits (cookies),F28.A07GY,Roasting,
A.02.11.001,Cocoa beans (fermented beans) (Theobroma cacao),F28.A0CQZ,Fermentation,Roasting of beans included
A.02.11.002,Cocoa powder,F28.A0CQZ,Fermentation,
A.02.11.003,"Cocoa beverage-preparation, powder",F28.A0CQZ,Fermentation,
A.02.11.004,Cocoa mass,F28.A0CQZ,Fermentation,
A.02.13.001,Malt coffee,F28.A0BA1,Cooking and similar thermal preparation processes,
A.02.13.002,Chicory coffee,F28.A0BA1,Cooking and similar thermal preparation processes,
A.02.13.003,Rye coffee,F28.A0BA1,Cooking and similar thermal preparation processes,
A.02.13.004,Wheat coffee,F28.A0BA1,Cooking and similar thermal preparation processes,
A.02.13.005,Barley coffee,F28.A0BA1,Cooking and similar thermal preparation processes,Kanske ska vara en annan process h�r eftersom det inte kokar s� l�nge?
A.02.13.006,Fig coffee,F28.A0BA1,Cooking and similar thermal preparation processes,
A.02.13.007,Sugar beet coffee,F28.A0BA1,Cooking and similar thermal preparation processes,
A.02.13.008,Mixture of coffee imitates,F28.A0BA1,Cooking and similar thermal preparation processes,
A.02.14.001,Mushy peas (Pisum sativum),F28.A0C6N,Pulping / mashing,To mush it
A.02.14.002,Garlic pur�e,F28.A0C6N,Pulping / mashing,To pur�e it
A.02.14.004,Mixed vegetable pur�e,F28.A0C6N,Pulping / mashing,To pur�e it
A.02.14.012,"Hops (dried), including hop pellets and unconcentrated powder (Humulus lupulus)",F28.A07KG,"Drying, dehydration",
A.03.01.001,New potatoes,F28.A0BA1,Cooking and similar thermal preparation processes,
A.03.01.009,Potato croquettes,F28.A07GV,Deep frying,
A.05.09.004,"Fruit, pur�e",F28.A0C0R,Processed,
A.05.09.006,"Fruit, canned",F28.A0BYP,Canning / jarring,
A.06.08.001,"Ham, pork",F28.A07GG,Cooking in water,
A.06.08.002,"Ham, beef",F28.A07GG,Cooking in water,F28.A07XD unspecified included
A.06.08.008,Corned beef,F28.A0BA1,Cooking and similar thermal preparation processes,
A.06.08.009,Corned pork,F28.A0BA1,Cooking and similar thermal preparation processes,
A.06.09.001,Fresh and lightly cooked sausage,F28.A07GG,Cooking in water,
A.06.09.002,Uncooked smoked sausage,F28.A07KG,"Drying, dehydration",
A.06.09.003,Cooked sausage,F28.A07GG,Cooking in water,
A.06.09.004,Cooked smoked sausage,F28.A07GG,Cooking in water,
A.06.09.005,Semi-dry sausage,F28.A07KG,"Drying, dehydration",
A.06.09.006,Dry sausage,F28.A07KG,"Drying, dehydration",
A.06.10.001,Pork meat loaf,F28.A07GY,Roasting,
A.06.10.002,Beef loaf,F28.A07GY,Roasting,
A.06.10.003,Meat in aspic,F28.A0BA1,Cooking and similar thermal preparation processes,
A.06.10.004,Ham and cheese loaf,F28.A07GY,Roasting,
