"SLV-code","Livsmedelsnamn","Råvara nivå 1","Andel","Inkluderar","Tillagningsprocess nivå 1","Konverteringsfaktor nivå 1","Publikation nivå 1","Foodex2 nivå 1","Rå mängd beräknad","Beräkning rå mängd","Råvara nivå 2","Tillagningsprocess nivå 2","Konverteringsfaktor nivå 2","Publikation nivå 2","Foodex2 nivå 2","Kommentar"
"4","Kokosfett","Olja kokosolja kokosfett",100,"kokosolja, kokosfett","Rå","1","SLV - Riktlinjer för livsmedel","A037M","100","100 * 1,00",NA,NA,NA,NA,NA,NA
"10","Flytande margarin fett 82% berikad typ Milda culinesse","Fett vegetabiliskt fett och olja",82,NA,"Rå","1","SLV - Riktlinjer för livsmedel","A036V","82","82 * 1,00",NA,NA,NA,NA,NA,NA
"10","Flytande margarin fett 82% berikad typ Milda culinesse","Vatten",17,NA,"Rå","1","SLV - Riktlinjer för livsmedel","A03DL","17","17 * 1,00",NA,NA,NA,NA,NA,NA
"10","Flytande margarin fett 82% berikad typ Milda culinesse","Övrigt",1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Rå","1","SLV - Riktlinjer för livsmedel","A042Z_R","1","1 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Olja rapsolja",78,NA,"Rå","1","SLV - Riktlinjer för livsmedel","A036V","78","78 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Äggula",8,NA,"Rå","1","SLV - Riktlinjer för livsmedel","A031S","8","8 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Olja olivolja",5,NA,"Rå","1","SLV - Riktlinjer för livsmedel","A036P","5","5 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Vatten",3,NA,"Rå","1","SLV - Riktlinjer för livsmedel","A03DL","3","3 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90%","Citron",2,NA,"Rå","1","Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011","A03AH","2","2 * 1,60",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Övrigt",1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Rå","1","SLV - Riktlinjer för livsmedel","A042Z_R","1","1 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Salt",1,"Havssalt, mineralsalt","Rå","1","SLV - Riktlinjer för livsmedel","A042P","1","1 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Senapsfrön",1,NA,"Rå","1","-","A015S","1","1 * 1,00",NA,NA,NA,NA,NA,NA
"21","Majonnäs fett 90% hemlagad","Vinäger",1,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad","1","-","A044M","1","1 * 1,00",NA,NA,NA,NA,NA,NA
"23","Gravlaxsås hovmästarsås hemlagad","Olja rapsolja",40,NA,"Rå","1","SLV - Riktlinjer för livsmedel","A036V","40","40 * 1,00",NA,NA,NA,NA,NA,NA
"23","Gravlaxsås hovmästarsås hemlagad","Dill",16,NA,"Rå, tillagad","1","Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011","A00XH","16","16 * 1,00",NA,NA,NA,NA,NA,NA
