Livsmedelsnummer,Livsmedelsnamn,Råvara nivå 1,Andel,Inkluderar,Tillagningsprocess  nivå 1,Konverteringsfaktor nivå 1,Publikation nivå 1,Foodex2 nivå 1,Rå mängd beräknad,Beräkning rå mängd,Råvara nivå 2,Tillagningsprocess nivå 2,Konverteringsfaktor nivå 2,Publikation nivå 2,Foodex2 nivå 2,Kommentar,
4,Kokosfett,Fett matfettsblandning,100,"kokosolja, kokosfett",Rå,1,SLV - Riktlinjer för livsmedel,A037M,100,"100 * 1,00",Kokosnöt,Juice drickfärdig,2.8,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A014K,,
21,Majonnäs fett 90% ,Olja rapsolja,78,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,78,"78 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
21,Majonnäs fett 90% ,Äggula,8,,Rå,1,SLV - Riktlinjer för livsmedel,A031S,8,"8 * 1,00",,,,,,Faktor = logisk slutledning,
21,Majonnäs fett 90% ,Olja olivolja,5,,Rå,1,SLV - Riktlinjer för livsmedel,A036P,5,"5 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
21,Majonnäs fett 90% ,Vatten,3,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,3,"3 * 1,00",,,,,,Faktor=logiskt slutledning,
21,Majonnäs fett 90% ,Citron,2,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,3.2,"2 * 1,60",,,,,,,
21,Majonnäs fett 90% ,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
21,Majonnäs fett 90% ,Senapsfrön,1,,Rå,1,-,A015S,1,"1 * 1,00",,,,,,,
21,Majonnäs fett 90% ,Salt,1,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
21,Majonnäs fett 90% ,Vinäger ,1,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
23,Gravlaxsås hovmästarsås,Olja rapsolja,40,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,40,"40 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
23,Gravlaxsås hovmästarsås,Dill,16,,"Rå, tillagad ",1,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A00XH,16,"16 * 1,00",,,,,,,
23,Gravlaxsås hovmästarsås,Vatten,16,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,16,"16 * 1,00",,,,,,Faktor=logiskt slutledning,
23,Gravlaxsås hovmästarsås,Vinäger ,10,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
23,Gravlaxsås hovmästarsås,Socker,8,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,8,"8 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
23,Gravlaxsås hovmästarsås,Senapsfrön,8,,Rå,1,-,A015S,8,"8 * 1,00",,,,,,,
