Code,Name,Amount
A.18.02.011,"Red algae",0.0093
A.08.09.001,"Almond drink",1.1531
A.04.03.001,"Tree nuts",0.4849
A.01.07.001.038,"Sugar and similar, confectionery and water-based sweet desserts",0.3781
A.05.02.001,"Apples",50.0922
A.05.03.001,"Apricots",3.3081
A.02.07.001,"Stems/stalks eaten as vegetables",0.1418
A.02.03.004,"Aubergines",0.6439
A.05.06.014,"Avocados",0.189
A.06.08.007,"Bacon",2.535
A.16.10.001,"Yeast cultures",0.2956
A.01.07.001.048,"Baklava",0.0851
A.16.05.004,"Vinegar, wine",0.7642
A.16.05.007,"Barbecue or steak sauces",0.0851
A.01.02.002.001,"Barley groats",0.0681
A.16.01.009,"Basil",0.0153
I.16.01.025,"Basil, dry",0.0022
A.10.07.003,"Minor honey types",2.2188
A.14.01.004,"Beer, alcohol-free",6.172
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",1.0832
A.05.04.022,"Bilberries (generic)",0.1229
A.01.07.002.003,"Biscuit with inclusions, filling or coating",1.0406
A.01.07.002.010,"Biscuits, oat meal",0.6603
A.01.07.002.001,"Biscuits, sweet, plain",2.0284
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",0.2713
A.10.03.001,"Bitter chocolate",0.5246
A.02.01.005,"Wasabi roots",1.0588
A.06.09.003.001,"Blood-type sausage",0.1115
A.09.01.001,"Whole eggs",23.5984
A.06.09.004.002,"Bologna-type sausage",9.6408
A.04.02.001,"Yardlong beans (with pods)",0.0463
A.15.03,"Still bottled drinking water",1.4178
A.06.06.021,"Bovine marrowbone",0.0756
A.06.06.017,"Buffalo edible offal, non-muscle, other than liver and kidney",0.6616
A.04.03.003,"Brazil nuts and similar-",0.0047
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",88.0113
A.01.04.007.001,"Breadcrumbs",5.1021
A.06.09.004.001,"Breakfast-type sausage",2.0055
A.01.07.001.042,"Brioche type products",4.172
A.02.04.001,"Broccoli",2.2312
A.10.01.002,"Brown sugar",0.3984
A.02.04.003,"Brussels sprouts",0.2363
A.01.02.006,"Buckwheat and other pseudo-cereals and similar-",0.2552
A.01.02.001.004,"Bulgur",0.578
A.01.07.001.002,"Yeast leavened sweet doughs",11.5525
A.11.01.001,"Milk fat from other animals",3.4843
A.01.07.002.006,"Crackers and breadsticks",1.1919
A.06.01.001,"Cow, ox or bull fresh meat",8.7594
A.05.09.008.001,"Candied or sugar preserved vegetables",3.6408
A.05.09.008.008,"Candied fruit, orange peel",0.0473
A.07.01.001,"Smoked herring",0.4291
A.07.01.013,"Smoked mackerel",0.4206
A.02.15.001,"Wild fungi and similar-",4.7159
A.05.09.006.002,"Canned or jarred apple",0.2174
A.05.09.006.004,"Canned or jarred apricot",0.0945
A.04.02.005,"Hummus",0.3308
I.04.02.022,"Runner beans (dry)",0.3204
A.05.09.006.012,"Miscellaneous fruits (generic)",0.879
A.05.09.006.008,"Canned or jarred peach",0.6682
A.05.09.006.003,"Canned or jarred pear",0.3762
I.04.02.024,"Peas (dry) and similar-",0.0284
A.05.09.006.011,"Canned or jarred pineapple",0.156
A.05.09.006.005,"Canned or jarred plum",0.7355
